year,league,aveage,RG,win,lose,WL,ERA,RA9,game,starter,closer,complete,shutout,save,outs,hit,run,ER,HR,BB,IBB,K,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,K9,KBB
1950,Central,26.7,5,541,541,0.5,4.12,5.05,1106,1106,596,510,77,-99999,29522.000000000007,10227,5526,4504,933,3777,0,3725,147,25,78,42822,1.423,9.4,0.9,3.5,3.4,0.99
1950,Pacific,26.9,4.64,409,409,0.5,3.78,4.7,840,840,450,390,61,-99999,22391,7574,3898,3131,624,2371,0,3104,122,24,56,32004,1.332,9.1,0.8,2.9,3.7,1.31
1951,Central,25.7,4.76,373,373,0.5,3.85,4.81,772,772,458,314,47,-99999,20615,6907,3675,2942,495,2549,0,2365,128,42,91,29651,1.376,9,0.6,3.3,3.1,0.93
1951,Pacific,26.8,3.94,332,332,0.5,3.11,3.98,716,716,429,287,58,-99999,19176,5992,2824,2208,369,1871,0,2368,114,73,43,26694,1.23,8.4,0.5,2.6,3.3,1.27
1952,Central,25.7,4.09,416,416,0.5,3.28,4.1,840,840,498,342,93,-99999,22628,7238,3439,2748,421,2579,0,2711,162,40,90,31839,1.302,8.6,0.5,3.1,3.2,1.05
1952,Pacific,26.6,4.18,401,401,0.5,3.39,4.17,807,807,541,266,66,-99999,21807,6991,3370,2738,444,2298,0,2727,114,50,76,30433,1.278,8.7,0.5,2.8,3.4,1.19
1953,Central,24.9,4.09,381,381,0.5,3.39,4.13,770,770,498,272,64,-99999,20591,6614,3152,2588,424,2259,0,2668,157,22,79,28913,1.293,8.7,0.6,3,3.5,1.18
1953,Pacific,26.6,3.7,412,412,0.5,2.96,3.64,840,840,512,328,92,-99999,23036,7076,3105,2528,386,2399,0,3342,146,15,97,31690,1.234,8.3,0.5,2.8,3.9,1.39
1954,Central,24.5,3.73,382,382,0.5,3.12,3.76,780,780,465,315,65,-99999,20874,6606,2910,2412,410,2031,0,3077,139,13,95,28963,1.241,8.5,0.5,2.6,4,1.52
1954,Pacific,25,3.64,548,548,0.5,2.99,3.64,1123,1123,754,369,111,-99999,30315,8998,4085,3356,539,3337,0,4933,175,14,120,41690,1.221,8,0.5,3,4.4,1.48
1955,Central,23.7,3.2,386,386,0.5,2.65,3.22,790,790,487,303,110,-99999,21244.000000000004,6144,2531,2084,407,1912,111,3702,150,12,89,28732,1.138,7.8,0.5,2.4,4.7,1.94
1955,Pacific,24.4,3.65,560,560,0.5,3,3.69,1148,1148,851,297,119,-99999,30683.000000000007,9302,4195,3405,514,3135,106,5217,178,19,145,42237,1.216,8.2,0.5,2.8,4.6,1.66
1956,Central,23.6,2.99,384,384,0.5,2.45,2.97,780,780,503,277,131,-99999,21177,5753,2332,1924,398,1789,95,3834,145,9,71,28183,1.068,7.3,0.5,2.3,4.9,2.14
1956,Pacific,23.2,3.31,599,599,0.5,2.63,3.31,1232,1232,967,265,150,-99999,33256,9403,4076,3239,486,3169,160,5742,225,23,151,45067,1.134,7.6,0.4,2.6,4.7,1.81
1957,Central,23.4,3.16,381,381,0.5,2.61,3.15,780,780,507,273,97,-99999,21075,5826,2462,2036,435,1861,94,4142,141,7,78,28233,1.094,7.5,0.6,2.4,5.3,2.23
1957,Pacific,23.4,3.45,448,448,0.5,2.77,3.45,924,924,689,235,103,-99999,24903,7186,3186,2551,456,2494,80,4785,157,11,111,33977,1.166,7.8,0.5,2.7,5.2,1.92
1958,Central,23.5,3.22,378,378,0.5,2.68,3.19,780,780,518,262,91,-99999,21264,5953,2511,2112,492,1862,134,4214,121,12,115,28509,1.103,7.6,0.6,2.4,5.4,2.26
1958,Pacific,24,3.42,376,376,0.5,2.83,3.42,780,780,563,217,84,-99999,21110,6156,2671,2209,370,1876,91,4303,158,7,114,28652,1.141,7.9,0.5,2.4,5.5,2.29
1959,Central,23.4,3.32,374,374,0.5,2.83,3.32,780,780,517,263,98,-99999,21054,5924,2591,2203,505,1992,92,4440,155,10,98,28470,1.128,7.6,0.6,2.6,5.7,2.23
1959,Pacific,23.8,3.54,390,390,0.5,2.95,3.54,816,816,637,179,89,-99999,22035,6629,2885,2411,456,1900,129,4512,173,13,77,30118,1.161,8.1,0.6,2.3,5.5,2.37
1960,Central,24.1,3.26,379,379,0.5,2.82,3.28,780,780,560,220,86,-99999,20901,5903,2541,2181,497,1973,162,4302,155,9,80,28248,1.13,7.6,0.6,2.5,5.6,2.18
1960,Pacific,24,3.6,390,390,0.5,3.01,3.61,804,804,578,226,82,-99999,21627,6635,2894,2415,513,1881,114,4689,163,9,65,29623,1.181,8.3,0.6,2.3,5.9,2.49
1961,Central,24.2,3.19,378,378,0.5,2.68,3.18,780,780,567,213,87,-99999,21160.000000000004,6052,2489,2099,456,2056,146,4087,146,13,104,28604,1.15,7.7,0.6,2.6,5.2,1.99
1961,Pacific,24.7,3.82,410,410,0.5,3.16,3.85,840,840,641,199,79,-99999,22471.000000000004,7008,3205,2626,571,2063,159,4891,194,11,107,31085,1.211,8.4,0.7,2.5,5.9,2.37
1962,Central,25.1,3.1,390,390,0.5,2.63,3.06,802,802,550,252,109,-99999,21925.000000000004,6176,2484,2139,508,1837,110,4510,180,8,96,29363,1.096,7.6,0.6,2.3,5.6,2.46
1962,Pacific,24.3,3.86,390,390,0.5,3.19,3.88,796,796,609,187,69,-99999,21342,6674,3069,2522,518,1946,115,4570,199,3,90,29479,1.212,8.4,0.7,2.5,5.8,2.35
1963,Central,25.4,3.63,414,414,0.5,3.15,3.64,840,840,585,255,98,-99999,22601,6782,3047,2634,655,2348,131,3672,161,15,70,30971,1.212,8.1,0.8,2.8,4.4,1.56
1963,Pacific,24.6,3.65,442,442,0.5,3.1,3.66,900,900,674,226,77,-99999,24218,7327,3284,2778,745,2181,93,4541,232,11,71,33073,1.178,8.2,0.8,2.4,5.1,2.08
1964,Central,25.4,3.63,413,413,0.5,3.19,3.62,840,840,576,264,85,-99999,22744.000000000004,6856,3051,2689,724,2272,137,3784,182,9,75,31131,1.204,8.1,0.9,2.7,4.5,1.67
1964,Pacific,24.8,3.81,436,436,0.5,3.19,3.8,900,900,674,226,78,-99999,24382.000000000004,7600,3428,2879,706,2320,108,4348,202,11,66,33694,1.221,8.4,0.8,2.6,4.8,1.87
1965,Central,26,3.19,410,410,0.5,2.78,3.2,840,840,634,206,100,-99999,22666.000000000004,6474,2683,2334,572,2106,145,4019,163,17,96,30511,1.136,7.7,0.7,2.5,4.8,1.91
1965,Pacific,24.9,3.56,411,411,0.5,3.08,3.58,840,840,589,251,82,-99999,22586,6728,2994,2580,710,2016,103,4229,171,9,55,30748,1.161,8,0.8,2.4,5.1,2.1
1966,Central,26.3,3.34,390,390,0.5,2.94,3.37,802,802,563,239,87,-99999,21481.000000000004,6257,2678,2336,598,1920,200,3717,208,12,60,29127,1.142,7.9,0.8,2.4,4.7,1.94
1966,Pacific,25,3.32,390,390,0.5,2.88,3.36,808,808,587,221,87,-99999,21536,6323,2680,2296,625,1796,120,4057,205,15,56,29158,1.131,7.9,0.8,2.3,5.1,2.26
1967,Central,25.6,3.65,390,390,0.5,3.2,3.7,812,812,601,211,62,-99999,21653,6587,2967,2563,743,1974,159,4291,214,10,84,29699,1.186,8.2,0.9,2.5,5.4,2.17
1967,Pacific,25.2,3.47,390,390,0.5,3.05,3.51,811,811,596,215,81,-99999,21633,6508,2813,2444,637,1857,133,4293,240,7,61,29493,1.16,8.1,0.8,2.3,5.4,2.31
1968,Central,26.2,3.74,390,390,0.5,3.27,3.73,802,802,570,232,70,-99999,21707,6413,2998,2630,866,2142,133,4818,229,6,97,29739,1.182,8,1.1,2.7,6,2.25
1968,Pacific,25.8,3.72,390,390,0.5,3.26,3.74,812,812,595,217,65,-99999,21821,6602,3021,2638,748,2185,239,4184,244,11,52,30139,1.208,8.2,0.9,2.7,5.2,1.91
1969,Central,26.6,3.61,375,375,0.5,3.16,3.61,780,780,605,175,67,-99999,21066,6145,2817,2464,791,1984,107,4648,262,16,82,28736,1.158,7.9,1,2.5,6,2.34
1969,Pacific,25.4,3.71,376,376,0.5,3.23,3.75,781,781,542,239,66,-99999,20858,6389,2895,2494,734,1837,132,3767,239,4,60,28639,1.183,8.3,1,2.4,4.9,2.05
1970,Central,25.9,3.25,375,375,0.5,2.92,3.27,780,780,548,232,89,-99999,20924,5933,2534,2264,642,1887,152,4411,248,13,78,28217,1.121,7.7,0.8,2.4,5.7,2.34
1970,Pacific,25,3.99,375,375,0.5,3.58,4.03,780,780,536,244,55,-99999,20844,6345,3110,2765,821,2138,113,3966,230,11,59,28844,1.221,8.2,1.1,2.8,5.1,1.86
1971,Central,25.5,3.23,368,368,0.5,2.85,3.25,780,780,586,194,87,-99999,20927,5817,2520,2210,616,2102,164,4016,269,16,77,28300,1.135,7.5,0.8,2.7,5.2,1.91
1971,Pacific,25.9,4.24,368,368,0.5,3.78,4.27,780,780,533,247,57,-99999,20902.000000000004,6619,3308,2928,911,2134,169,3670,273,17,97,29174,1.256,8.6,1.2,2.8,4.7,1.72
1972,Central,25.6,3.85,378,378,0.5,3.45,3.86,780,780,562,218,60,-99999,20991,6339,3002,2679,773,2319,205,3974,236,13,78,29038,1.237,8.2,1,3,5.1,1.71
1972,Pacific,26.5,4.11,378,378,0.5,3.7,4.17,780,780,563,217,51,-99999,20798,6644,3209,2850,830,2284,159,3481,287,11,83,29161,1.288,8.6,1.1,3,4.5,1.52
1973,Central,25.9,3.37,376,376,0.5,3,3.39,780,780,536,244,85,-99999,20934,6063,2629,2328,679,2187,211,4012,200,15,59,28694,1.182,7.8,0.9,2.8,5.2,1.83
1973,Pacific,26.2,4.02,371,371,0.5,3.58,4.06,780,780,564,216,69,-99999,20840,6580,3135,2761,765,2402,143,3365,283,97,90,29240,1.293,8.5,1,3.1,4.4,1.4
1974,Central,26.1,3.9,367,367,0.5,3.54,3.98,778,778,551,227,59,80,20585,6365,3036,2702,826,2182,186,3952,254,13,59,28566,1.246,8.3,1.1,2.9,5.2,1.81
1974,Pacific,27,3.85,361,361,0.5,3.49,3.94,780,780,583,197,49,97,20573,6227,3000,2661,680,2392,139,3489,214,65,117,28571,1.257,8.2,0.9,3.1,4.6,1.46
1975,Central,26.7,3.72,364,364,0.5,3.37,3.78,780,780,615,165,62,103,20718,6473,2902,2589,747,2165,211,3831,249,10,75,28732,1.251,8.4,1,2.8,5,1.77
1975,Pacific,27.4,3.93,364,364,0.5,3.42,3.98,780,780,477,303,65,64,20790,6611,3065,2632,703,2139,97,3083,239,10,81,29029,1.263,8.6,0.9,2.8,4,1.44
1976,Central,26.9,4.3,360,360,0.5,3.99,4.41,780,780,599,181,40,118,20520,6959,3354,3035,1015,2214,160,3955,241,15,61,29036,1.341,9.2,1.3,2.9,5.2,1.79
1976,Pacific,28,3.72,366,366,0.5,3.34,3.8,780,780,477,303,70,97,20623.000000000004,6567,2902,2548,659,1927,66,3292,243,12,96,28484,1.236,8.6,0.9,2.5,4.3,1.71
1977,Central,26.9,4.64,363,363,0.5,4.34,4.77,780,780,616,164,39,111,20497.000000000004,7053,3620,3292,1050,2485,158,4071,264,20,83,29538,1.396,9.3,1.4,3.3,5.4,1.64
1977,Pacific,28.2,3.84,358,358,0.5,3.41,3.92,780,780,509,271,52,114,20622,6576,2997,2607,699,1826,78,3504,272,17,104,28529,1.222,8.6,0.9,2.4,4.6,1.92
1978,Central,27.2,4.62,353,353,0.5,4.25,4.73,780,780,630,150,38,126,20559,6983,3604,3236,910,2597,189,3952,249,18,101,29573,1.398,9.2,1.2,3.4,5.2,1.52
1978,Pacific,28.5,4.15,354,354,0.5,3.68,4.23,780,780,487,293,59,73,20663,6890,3234,2814,724,1876,103,3295,328,4,78,28894,1.273,9,0.9,2.5,4.3,1.76
1979,Central,27.2,4.42,352,352,0.5,4.06,4.51,780,780,636,144,58,143,20624,6828,3448,3099,945,2361,171,4567,232,9,97,29320,1.337,8.9,1.2,3.1,6,1.93
1979,Pacific,28,4.64,358,358,0.5,4.23,4.76,780,780,523,257,39,98,20525,7208,3618,3215,934,2149,104,3480,152,8,81,29360,1.368,9.5,1.2,2.8,4.6,1.62
1980,Central,27.5,4.06,360,360,0.5,3.64,4.13,780,780,571,209,41,121,20686.000000000004,6745,3163,2786,849,2142,185,4245,232,29,74,29015,1.289,8.8,1.1,2.8,5.5,1.98
1980,Pacific,28.3,5.06,366,366,0.5,4.64,5.16,780,780,510,270,33,97,20622,7202,3944,3545,1196,2505,98,3614,274,7,75,29858,1.412,9.4,1.6,3.3,4.7,1.44
1981,Central,27.6,4.04,363,363,0.5,3.71,4.12,780,780,588,192,33,131,20652,6890,3154,2839,806,2054,238,4235,203,19,93,28995,1.299,9,1.1,2.7,5.5,2.06
1981,Pacific,28.3,4.43,367,367,0.5,4.01,4.54,780,780,531,249,48,121,20540,7007,3456,3051,812,2366,91,3196,270,13,69,29367,1.369,9.2,1.1,3.1,4.2,1.35
1982,Central,27.5,3.82,352,352,0.5,3.42,3.89,780,780,609,171,57,138,20699,6597,2980,2619,753,2047,216,4191,189,17,97,28914,1.253,8.6,1,2.7,5.5,2.05
1982,Pacific,27.9,4.17,367,367,0.5,3.85,4.27,780,780,505,275,51,113,20571,6610,3253,2930,772,2468,119,3457,251,11,78,29017,1.324,8.7,1,3.2,4.5,1.4
1983,Central,27.4,4.5,367,367,0.5,4.13,4.57,780,780,589,191,50,120,20732,7091,3511,3169,935,2349,215,4013,186,24,92,29634,1.366,9.2,1.2,3.1,5.2,1.71
1983,Pacific,27.9,4.57,364,364,0.5,4.25,4.72,780,780,557,223,38,147,20419.000000000004,6949,3567,3215,882,2452,102,3245,257,8,82,29294,1.381,9.2,1.2,3.2,4.3,1.32
1984,Central,27.5,4.47,365,365,0.5,4.1,4.58,780,780,601,179,41,131,20559,6975,3490,3121,910,2467,205,4133,179,10,115,29409,1.378,9.2,1.2,3.2,5.4,1.68
1984,Pacific,28.1,4.76,356,356,0.5,4.37,4.86,780,780,535,245,41,107,20588,6833,3709,3336,945,2581,107,3403,260,13,81,29469,1.372,9,1.2,3.4,4.5,1.32
1985,Central,26.7,4.66,362,362,0.5,4.28,4.74,780,780,609,171,37,120,20735,7130,3638,3285,947,2683,175,4153,162,13,117,29959,1.42,9.3,1.2,3.5,5.4,1.55
1985,Pacific,27.5,5.19,367,367,0.5,4.68,5.3,780,780,545,235,33,109,20636,7124,4050,3578,1050,2810,119,3664,255,13,110,30108,1.444,9.3,1.4,3.7,4.8,1.3
1986,Central,26.5,3.95,367,367,0.5,3.58,4.01,780,780,615,165,44,135,20717,6740,3079,2746,810,1906,211,4691,168,9,138,28900,1.252,8.8,1.1,2.5,6.1,2.46
1986,Pacific,27.1,4.51,360,360,0.5,4.17,4.61,780,780,569,211,42,140,20600,7072,3518,3185,1006,2284,128,4243,241,8,155,29429,1.363,9.3,1.3,3,5.6,1.86
1987,Central,27,4.15,364,364,0.5,3.82,4.24,780,780,619,161,56,143,20612,6827,3234,2919,882,1983,217,4675,165,12,173,28943,1.282,8.9,1.2,2.6,6.1,2.36
1987,Pacific,26.7,4.13,358,358,0.5,3.76,4.21,780,780,504,276,54,97,20643,6799,3218,2873,804,2218,157,4194,209,16,178,29136,1.31,8.9,1.1,2.9,5.5,1.89
1988,Central,27.1,3.81,380,380,0.5,3.48,3.84,780,780,610,170,54,147,20885,6605,2968,2690,684,2199,220,4587,181,13,176,29139,1.265,8.5,0.9,2.8,5.9,2.09
1988,Pacific,26.5,4.12,381,381,0.5,3.75,4.2,780,780,509,271,65,121,20659.000000000004,6696,3211,2866,810,2431,165,4169,185,7,172,29196,1.325,8.8,1.1,3.2,5.4,1.71
1989,Central,26.8,3.91,381,381,0.5,3.57,3.93,780,780,584,196,67,141,20910,6730,3046,2764,707,2270,215,4856,197,9,180,29296,1.291,8.7,0.9,2.9,6.3,2.14
1989,Pacific,26.7,4.63,373,373,0.5,4.23,4.68,780,780,542,238,52,124,20845.000000000004,6938,3610,3268,893,2879,157,4369,200,12,168,30022,1.413,9,1.2,3.7,5.7,1.52
1990,Central,26.7,4.25,390,390,0.5,3.9,4.29,789,789,576,213,50,139,21117,6907,3357,3050,784,2604,186,5054,214,13,172,30066,1.351,8.8,1,3.3,6.5,1.94
1990,Pacific,26.4,4.7,381,381,0.5,4.26,4.75,780,780,557,223,36,120,20816,6889,3665,3284,905,2806,123,4902,212,20,241,30032,1.397,8.9,1.2,3.6,6.4,1.75
1991,Central,26.1,4.09,390,390,0.5,3.76,4.12,786,786,586,200,61,122,21084,6661,3218,2935,711,2594,171,5143,209,10,205,29780,1.317,8.5,0.9,3.3,6.6,1.98
1991,Pacific,26.3,4.2,376,376,0.5,3.88,4.24,780,780,546,234,63,116,20837,6704,3274,2993,792,2695,129,4407,170,10,223,29642,1.353,8.7,1,3.5,5.7,1.64
1992,Central,27.2,4.06,390,390,0.5,3.6,4.05,784,784,618,166,59,157,21176,6766,3180,2827,725,2688,198,5282,189,16,220,30140,1.339,8.6,0.9,3.4,6.7,1.97
1992,Pacific,26.7,4.19,380,380,0.5,3.9,4.26,780,780,544,236,66,128,20741,6691,3269,2996,729,2640,99,4800,206,13,189,29582,1.35,8.7,0.9,3.4,6.2,1.82
1993,Central,26.3,3.92,390,390,0.5,3.58,3.95,788,788,660,128,59,184,21152,6621,3091,2808,731,2681,154,5486,200,8,203,29903,1.319,8.5,0.9,3.4,7,2.05
1993,Pacific,27.1,3.93,377,377,0.5,3.58,3.97,780,780,563,217,57,145,20895,6595,3069,2770,660,2679,86,5050,168,7,220,29513,1.332,8.5,0.9,3.5,6.5,1.89
1994,Central,27.1,4.06,390,390,0.5,3.71,4.06,780,780,636,144,62,161,21082.000000000004,6844,3168,2900,685,2678,160,4990,181,15,200,29981,1.355,8.8,0.9,3.4,6.4,1.86
1994,Pacific,27.3,4.59,382,382,0.5,4.2,4.65,780,780,622,158,42,137,20768,7162,3579,3229,720,2729,98,5037,184,6,268,30078,1.429,9.3,0.9,3.5,6.5,1.85
1995,Central,27.1,4.19,390,390,0.5,3.92,4.24,782,782,643,139,64,167,20842.000000000004,6616,3274,3024,790,2751,176,5206,236,17,233,29641,1.348,8.6,1,3.6,6.7,1.89
1995,Pacific,27.8,3.82,380,380,0.5,3.47,3.82,780,780,639,141,59,175,21029,6423,2976,2702,624,2604,126,5270,207,12,235,29456,1.288,8.2,0.8,3.3,6.8,2.02
