year,league,team,aveage,RG,game,PA,AB,run,hit,single,double,triple,HR,RBI,steal,CS,BB,SO,AVG,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1950,Central,Shochiku Robins,29.9,6.63,137,5514,4939,908,1417,1010,179,49,179,825,223,61,550,551,0.287,0.358,0.452,0.81,2231,121,-99999,25,-99999,0
1950,Central,Osaka Tigers,27.8,5.47,140,5480,4960,766,1337,937,234,46,120,706,147,52,475,412,0.27,0.333,0.408,0.741,2023,106,-99999,45,-99999,0
1950,Central,Chunichi Dragons,29.4,5.44,137,5271,4787,745,1311,884,229,54,144,693,179,66,444,422,0.274,0.336,0.435,0.77,2080,102,-99999,40,-99999,0
1950,Central,Taiyo Whales,30.3,5.42,140,5500,4972,759,1356,952,258,35,111,694,180,60,488,411,0.273,0.338,0.406,0.743,2017,117,-99999,40,-99999,0
1950,Central,Yomiuri Giants,27.1,5.17,140,5461,4831,724,1297,936,208,27,126,-99999,212,65,570,490,0.269,0.346,0.401,0.747,1937,117,-99999,60,-99999,0
1950,Central,Nishinippon Pirates,29.2,4.65,136,5197,4731,633,1233,910,175,42,106,583,165,74,439,446,0.261,0.323,0.383,0.706,1810,122,-99999,27,-99999,0
1950,Central,Hiroshima Carp,28.3,3.7,138,5173,4703,511,1145,865,162,37,81,463,74,38,418,452,0.244,0.305,0.345,0.651,1624,124,-99999,52,-99999,0
1950,Central,Kokutetsu Swallows,28.2,3.48,138,5070,4626,480,1131,886,142,37,66,436,104,73,393,541,0.245,0.304,0.334,0.638,1545,114,-99999,51,-99999,0
1950,Pacific,Mainichi Orions,30.7,5.94,120,4637,4245,713,1212,836,209,43,124,640,195,79,344,367,0.286,0.339,0.443,0.782,1879,93,-99999,48,-99999,0
1950,Pacific,Nankai Hawks,26.3,5.38,120,4615,4232,645,1181,839,211,43,88,583,225,67,358,377,0.279,0.335,0.412,0.747,1742,103,-99999,25,-99999,0
1950,Pacific,Daiei Stars,29.4,4.45,120,4548,4152,534,1078,784,181,22,91,491,82,33,350,438,0.26,0.317,0.38,0.697,1576,102,-99999,46,-99999,0
1950,Pacific,Tokyu Flyers,25.3,4.37,120,4516,4164,524,1067,784,169,27,87,464,143,52,314,563,0.256,0.308,0.373,0.681,1551,86,-99999,38,-99999,0
1950,Pacific,Hankyu Braves,25.2,4.35,120,4422,4086,522,999,721,163,46,69,459,193,53,308,424,0.245,0.298,0.358,0.655,1461,83,-99999,28,-99999,0
1950,Pacific,Nishitetsu Clippers,28.9,4.11,120,4556,4136,493,1050,784,164,23,79,451,115,63,345,445,0.254,0.311,0.362,0.673,1497,93,-99999,75,-99999,0
1950,Pacific,Kintetsu Pearls,28.4,3.89,120,4473,4081,467,987,700,179,22,86,428,94,43,352,490,0.242,0.302,0.36,0.662,1468,83,-99999,40,-99999,0
1951,Central,Yomiuri Giants,29.4,6.16,114,4480,3950,702,1151,834,191,34,92,632,192,70,457,320,0.291,0.365,0.427,0.792,1686,90,-99999,73,-99999,0
1951,Central,Shochiku Robins,29.8,5.3,115,4527,4062,609,1087,806,147,29,105,556,120,42,407,450,0.268,0.334,0.396,0.73,1607,85,-99999,58,-99999,0
1951,Central,Osaka Tigers,28.8,4.7,116,4442,3980,545,1069,798,170,34,67,502,68,34,380,312,0.269,0.332,0.379,0.711,1508,113,-99999,82,-99999,0
1951,Central,Nagoya Dragons,29.8,4.65,113,4301,3825,526,1039,775,164,33,67,474,161,75,384,317,0.272,0.338,0.384,0.722,1470,102,-99999,92,-99999,0
1951,Central,Taiyo Whales,30.9,4.65,108,4119,3727,502,943,699,141,17,86,451,66,41,356,377,0.253,0.318,0.369,0.687,1376,85,-99999,36,-99999,0
1951,Central,Hiroshima Carp,29.5,4.06,99,3761,3393,402,831,607,154,28,42,362,61,37,291,299,0.245,0.305,0.344,0.649,1167,76,-99999,77,-99999,0
1951,Central,Kokutetsu Swallows,27.8,3.64,107,3892,3537,389,868,705,111,16,36,349,142,46,274,290,0.245,0.3,0.316,0.616,1119,113,-99999,81,-99999,0
1951,Pacific,Nankai Hawks,27.2,4.77,104,3966,3660,496,1010,765,152,45,48,441,191,51,260,292,0.276,0.324,0.381,0.705,1396,74,-99999,46,-99999,0
1951,Pacific,Mainichi Orions,30.5,4.38,110,4048,3694,482,953,708,155,31,59,424,133,88,303,326,0.258,0.314,0.365,0.679,1347,72,-99999,51,-99999,0
1951,Pacific,Nishitetsu Lions,30.3,4.09,105,3965,3555,429,860,630,141,26,63,393,92,56,321,359,0.242,0.305,0.349,0.654,1242,69,-99999,89,-99999,0
1951,Pacific,Hankyu Braves,26.2,3.82,96,3542,3278,367,796,598,123,30,45,332,135,59,226,296,0.243,0.292,0.34,0.632,1114,64,-99999,38,-99999,0
1951,Pacific,Daiei Stars,29,3.72,101,3759,3481,376,831,621,142,22,46,338,59,37,225,331,0.239,0.285,0.332,0.617,1155,62,-99999,53,-99999,0
1951,Pacific,Tokyu Flyers,25.6,3.48,102,3756,3437,355,829,611,115,32,71,324,90,45,248,436,0.241,0.292,0.355,0.648,1221,55,-99999,71,-99999,0
1951,Pacific,Kintetsu Pearls,29.7,3.26,98,3537,3201,319,713,553,100,23,37,299,81,57,288,328,0.223,0.287,0.303,0.59,970,61,-99999,48,-99999,0
1952,Central,Yomiuri Giants,30.2,5.42,120,4685,4175,650,1219,905,203,34,77,598,136,56,426,317,0.292,0.358,0.412,0.77,1721,104,-99999,84,-99999,0
1952,Central,Osaka Tigers,29.4,5,120,4661,4186,600,1122,839,182,40,61,547,104,46,403,324,0.268,0.332,0.374,0.707,1567,81,-99999,72,-99999,0
1952,Central,Nagoya Dragons,28.8,4.74,120,4661,4136,569,1093,819,169,28,77,525,150,57,439,391,0.264,0.335,0.375,0.709,1549,95,-99999,86,-99999,0
1952,Central,Taiyo Whales,30.8,4.33,120,4554,4134,519,1027,757,178,35,57,462,160,53,368,379,0.248,0.31,0.35,0.66,1446,92,-99999,52,-99999,0
1952,Central,Kokutetsu Swallows,28.8,3.42,120,4318,3946,410,940,730,121,22,67,371,154,64,312,419,0.238,0.294,0.331,0.625,1306,84,-99999,60,-99999,0
1952,Central,Hiroshima Carp,30.1,3.04,120,4415,3963,365,925,733,139,24,29,333,44,44,372,372,0.233,0.299,0.303,0.602,1199,114,-99999,80,-99999,0
1952,Central,Shochiku Robins,27.9,2.72,120,4376,4084,326,912,690,149,20,53,303,127,45,259,509,0.223,0.27,0.309,0.578,1260,89,-99999,33,-99999,0
1952,Pacific,Nankai Hawks,26.7,4.91,121,4558,4168,594,1119,828,168,40,83,520,239,86,304,432,0.269,0.318,0.388,0.706,1616,74,-99999,86,-99999,0
1952,Pacific,Mainichi Dragons,30.7,4.62,120,4574,4079,554,1076,778,188,38,72,517,160,69,426,361,0.264,0.333,0.382,0.715,1556,103,-99999,69,-99999,0
