Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1952,Nagoya Dragons,fujino000mit,Mitsuhisa Fujino,27,27,37,34,4,11,1,0,0,6,0,0,3,3,0.324,0.378,0.353,0.731,12,1,0,0,NA,NA
1952,Nagoya Dragons,harada000tok,Tokuzo Harada*,32,120,544,464,81,126,24,6,4,58,19,6,68,28,0.272,0.367,0.375,0.742,174,8,2,10,NA,NA
1952,Nagoya Dragons,hattor000tsu,Tsuguhiro Hattori,32,77,136,116,11,32,6,2,4,31,7,1,15,16,0.276,0.364,0.466,0.829,54,3,1,4,NA,NA
1952,Nagoya Dragons,honda-000its,Itsuro Honda*,21,19,37,36,0,4,0,0,0,0,3,2,1,1,0.111,0.135,0.111,0.246,4,1,0,0,NA,NA
1952,Nagoya Dragons,hoshid000jir,Jiro Hoshida,32,15,21,21,0,5,0,0,0,1,0,0,0,3,0.238,0.238,0.238,0.476,5,0,0,0,NA,NA
1952,Nagoya Dragons,ishika000kat,Katsuhiko Ishikawa,18,8,5,4,0,0,0,0,0,0,0,0,1,1,0,0.2,0,0.2,0,0,0,0,NA,NA
1952,Nagoya Dragons,kanno-000tak,Takeo Kanno,22,9,11,9,0,0,0,0,0,0,0,0,1,5,0,0.1,0,0.1,0,0,0,1,NA,NA
1952,Nagoya Dragons,kato--000aki,Akiro Kato,21,5,5,5,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,1,1,0,0,NA,NA
1952,Nagoya Dragons,kato--000sus,Susumu Kato,28,73,165,142,15,31,4,1,0,19,4,5,20,26,0.218,0.315,0.261,0.575,37,3,0,3,NA,NA
1952,Nagoya Dragons,kawai-000yas,Yasuhiko Kawai,18,6,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,NA,NA
1952,Nagoya Dragons,kodama000tos,Riichi Kodama,33,119,502,434,67,115,14,2,5,54,8,4,62,39,0.265,0.358,0.341,0.699,148,14,1,5,NA,NA
1952,Nagoya Dragons,kojima000tei,Teiji Kojima*,25,3,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA
1952,Nagoya Dragons,kondo-000sad,Sadao Kondo,26,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA
1952,Nagoya Dragons,kunied000tos,Toshimichi Kunieda,32,116,469,400,62,121,13,2,1,23,35,12,43,27,0.303,0.373,0.353,0.726,141,9,2,24,NA,NA
1952,Nagoya Dragons,makino000shi,Shigeru Makino,23,117,444,394,63,96,10,1,2,21,27,12,35,34,0.244,0.305,0.289,0.595,114,6,0,15,NA,NA
1952,Nagoya Dragons,matsum000kaz,Kazuo Matsumoto,28,58,137,119,14,16,1,0,1,9,3,1,13,7,0.135,0.226,0.168,0.394,20,5,1,4,NA,NA
1952,Nagoya Dragons,mitomi000tsu,Tsuneo Mitomi*,31,24,44,41,3,6,1,0,0,1,0,0,1,3,0.146,0.167,0.171,0.337,7,0,0,2,NA,NA
1952,Nagoya Dragons,miyash000nob,Nobuaki Miyashita,27,38,38,37,3,6,2,0,0,2,0,0,1,2,0.162,0.184,0.216,0.4,8,1,0,0,NA,NA
1952,Nagoya Dragons,nishiz000mic,Michio Nishizawa,30,113,488,433,79,153,27,1,20,98,8,1,54,34,0.353,0.426,0.559,0.985,242,15,1,0,NA,NA
1952,Nagoya Dragons,noguch000aki,Akira Noguchi,34,114,437,401,40,108,20,4,8,63,1,0,32,35,0.269,0.326,0.399,0.725,160,9,2,2,NA,NA
1952,Nagoya Dragons,oshima000nob,Nobuo Oshima*,30,43,90,83,3,16,1,1,1,8,0,1,5,13,0.193,0.239,0.265,0.504,22,0,0,2,NA,NA
1952,Nagoya Dragons,ozawa-000shi,Shigemitsu Ozawa,18,7,4,2,0,0,0,0,0,0,0,0,1,1,0,0.333,0,0.333,0,0,0,1,NA,NA
1952,Nagoya Dragons,sugish000shi,Shigeru Sugishita,26,65,155,142,13,34,5,1,2,11,0,0,9,19,0.239,0.29,0.331,0.621,47,2,1,3,NA,NA
1952,Nagoya Dragons,sugiya000sat,Satoru Sugiyama,26,99,415,360,68,110,29,5,27,84,11,8,52,53,0.306,0.396,0.639,1.035,230,11,2,1,NA,NA
1952,Nagoya Dragons,suzuki008tak,Takashi Suzuki*,21,75,196,182,15,41,6,0,0,11,5,0,8,17,0.225,0.262,0.258,0.52,47,1,1,5,NA,NA
1952,Nagoya Dragons,takagi000kim,Kimio Takagi*,21,17,24,22,2,4,0,0,1,1,0,0,2,5,0.182,0.25,0.318,0.568,7,0,0,0,NA,NA
1952,Nagoya Dragons,tokuna000kik,Kikuo Tokunaga,20,13,9,9,2,2,0,0,0,2,0,0,0,1,0.222,0.222,0.222,0.444,2,0,0,0,NA,NA
1952,Nagoya Dragons,ukisu-000shi,Shigeki Ukisu,18,2,6,6,0,1,0,0,0,0,0,0,0,3,0.167,0.167,0.167,0.333,1,0,0,0,NA,NA
1952,Nagoya Dragons,yamasa000zen,Zenpei Yamazaki,26,98,250,233,23,54,5,2,1,22,19,4,12,10,0.232,0.272,0.283,0.556,66,5,1,4,NA,NA
