Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1955,Mainichi Orions,arakaw000hir,Hiroshi Arakawa*,24,116,424,374,46,99,21,2,3,34,2,3,44,31,0.265,0.343,0.356,0.699,133,5,1,4,1,1
1955,Mainichi Orions,arakaw000sho,Shoji Arakawa,31,28,25,21,1,2,0,0,0,0,0,0,3,3,0.095,0.208,0.095,0.304,2,0,0,1,0,0
1955,Mainichi Orions,aramak000ats,Atsushi Aramaki*,29,49,86,76,5,13,2,0,0,2,1,0,6,20,0.171,0.232,0.197,0.429,15,0,0,4,0,0
1955,Mainichi Orions,arimac000mas,Masaaki Arimachi,19,96,225,195,17,39,5,0,1,18,0,0,22,33,0.2,0.296,0.241,0.537,47,3,5,2,1,0
1955,Mainichi Orions,betto-000kao,Kaoru Betto,34,73,265,239,35,66,15,1,4,24,9,9,23,15,0.276,0.338,0.398,0.736,95,3,0,2,1,4
1955,Mainichi Orions,daiku-000mas,Masaru Daiku,19,4,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,1,0,0
1955,Mainichi Orions,ebara-000yos,Yoshimi Ebara#,30,26,33,32,2,7,1,0,0,2,0,0,0,8,0.219,0.219,0.25,0.469,8,0,0,1,0,0
1955,Mainichi Orions,enomot000kih,Kihachi Enomoto*,18,139,592,490,84,146,24,7,16,67,12,9,87,55,0.298,0.411,0.474,0.884,232,7,10,0,5,5
1955,Mainichi Orions,go----000sho,Shosei Go?,39,107,193,167,33,55,2,0,1,23,13,5,21,19,0.329,0.403,0.359,0.762,60,1,1,2,2,2
1955,Mainichi Orions,hashim000chi,Chikara Hashimoto,21,3,2,2,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,1,0,0,0,0,0
1955,Mainichi Orions,hondo-000yas,Yasuya Hondo,37,78,223,208,10,44,5,0,1,10,3,0,10,14,0.212,0.255,0.25,0.505,52,6,2,3,0,1
1955,Mainichi Orions,iiyama000hei,Heiichi Iiyama,20,7,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1955,Mainichi Orions,itoh--000nor,Noritada Ito,18,9,9,9,0,2,1,0,0,1,0,0,0,3,0.222,0.222,0.333,0.556,3,0,0,0,0,0
1955,Mainichi Orions,katsur000tak,Takao Katsuragi,19,34,66,65,5,11,3,0,2,5,0,2,1,9,0.169,0.182,0.308,0.49,20,3,0,0,0,0
1955,Mainichi Orions,kawai-000man,Manabu Kawai,18,4,7,7,0,3,1,0,0,0,1,0,0,0,0.429,0.429,0.571,1,4,0,0,0,0,0
1955,Mainichi Orions,kayaha000min,Minoru Kayahara,25,47,75,68,8,16,2,1,0,10,2,3,5,10,0.235,0.28,0.294,0.574,20,1,0,0,2,0
1955,Mainichi Orions,komori000kos,Kosei Komori,23,126,525,462,62,107,16,5,6,32,19,18,47,51,0.232,0.304,0.327,0.631,151,8,2,12,2,0
1955,Mainichi Orions,luis--001cha,Charles Luis,30,135,551,509,45,133,31,5,9,73,9,7,35,40,0.261,0.305,0.395,0.7,201,18,0,0,7,6
1955,Mainichi Orions,miyake001tak,Takuzo Miyake,34,114,318,286,41,79,14,4,15,46,18,6,27,28,0.276,0.334,0.511,0.845,146,9,0,1,4,1
1955,Mainichi Orions,miyaza002kaz,Kazuo Miyazaki,22,30,24,21,0,2,0,0,0,2,0,0,1,8,0.095,0.13,0.095,0.226,2,0,0,1,1,0
1955,Mainichi Orions,mizuno000haj,Hajime Mizuno*,21,23,36,32,4,8,3,0,0,3,1,1,4,4,0.25,0.333,0.344,0.677,11,0,0,0,0,0
1955,Mainichi Orions,nakaga001tak,Takashi Nakagawa,19,49,85,75,3,10,1,0,0,5,1,0,5,20,0.133,0.188,0.147,0.334,11,0,0,5,0,0
1955,Mainichi Orions,nishim000yuk,Yukio Nishimoto*,35,41,39,30,2,5,1,0,0,6,1,0,5,3,0.167,0.27,0.2,0.47,6,0,0,2,2,0
