Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1959,Kokutetsu Swallows,ai----000tos,Toshiharu Ai,24,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,Kokutetsu Swallows,akagi-000ken,Kenichi Akagi*,22,54,113,105,13,22,3,0,0,8,0,1,6,28,0.21,0.25,0.238,0.488,25,0,0,1,1,0
1959,Kokutetsu Swallows,akaike000aki,Akitoshi Akaike,21,10,3,3,2,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0
1959,Kokutetsu Swallows,doi---000sho,Shosuke Doi,21,102,308,289,24,54,4,8,2,18,7,5,8,59,0.187,0.214,0.277,0.491,80,7,2,9,0,0
1959,Kokutetsu Swallows,hakota000jun,Jun Hakota,27,105,404,384,43,95,9,2,11,44,8,1,14,36,0.247,0.277,0.367,0.644,141,6,2,3,1,0
1959,Kokutetsu Swallows,hiraiw000tsu,Tsuguo Hiraiwa,23,33,47,40,4,5,0,0,2,4,1,0,5,16,0.125,0.234,0.275,0.509,11,0,1,0,1,0
1959,Kokutetsu Swallows,iida--000tok,Tokuji Iida,35,127,486,442,52,131,25,7,4,29,10,9,38,43,0.296,0.351,0.412,0.762,182,7,0,4,2,1
1959,Kokutetsu Swallows,ishida000mas,Masaaki Ishida*,23,41,45,39,0,11,0,0,0,5,0,0,4,11,0.282,0.356,0.282,0.638,11,1,1,0,1,2
1959,Kokutetsu Swallows,iwashi000mor,Morimichi Iwashita*,27,123,459,429,44,120,23,5,2,38,25,11,20,64,0.28,0.311,0.371,0.682,159,4,1,6,3,0
1959,Kokutetsu Swallows,kaneda002mas,Masaichi Kaneda*,25,58,109,101,6,12,1,1,1,3,0,0,6,28,0.119,0.168,0.178,0.346,18,0,0,2,0,0
1959,Kokutetsu Swallows,kitaga000yos,Yoshio Kitagawa,26,54,116,108,10,19,4,2,1,10,0,0,3,26,0.176,0.195,0.278,0.473,30,1,0,3,2,0
1959,Kokutetsu Swallows,koya--000tos,Toshio Koya,20,25,2,1,0,0,0,0,0,0,0,0,1,1,0,0.5,0,0.5,0,0,0,0,0,0
1959,Kokutetsu Swallows,machid000yuk,Yukihiko Machida,25,111,400,357,51,92,27,7,10,50,14,3,35,93,0.258,0.328,0.457,0.784,163,8,4,0,4,0
1959,Kokutetsu Swallows,matsud000kiy,Kiyoshi Matsuda*,28,101,308,270,35,70,17,4,1,16,6,4,31,40,0.259,0.34,0.363,0.703,98,2,2,5,0,0
