Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1959,Osaka Tigers,asagoe000kei,Keiichi Asagoe,22,70,132,131,5,30,2,2,2,8,1,0,0,31,0.229,0.235,0.321,0.555,42,6,1,0,0,0
1959,Osaka Tigers,fujimo000kat,Katsumi Fujimoto,21,127,502,450,54,125,19,4,24,81,4,4,45,63,0.278,0.343,0.498,0.84,224,8,2,0,5,4
1959,Osaka Tigers,fujish000nob,Noboru Fujishige?,28,35,66,63,4,15,3,0,0,0,0,0,2,9,0.238,0.273,0.286,0.558,18,1,1,0,0,0
1959,Osaka Tigers,furuka000kei,Keizo Furukawa,25,14,15,14,0,4,1,0,0,0,0,0,1,2,0.286,0.333,0.357,0.69,5,0,0,0,0,0
1959,Osaka Tigers,honma-000mas,Masaru Honma,20,2,2,2,1,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,1,0,0,0,0,0
1959,Osaka Tigers,hoshiy000yos,Shintoku Hoshiyama*,20,9,10,10,0,2,0,0,0,0,0,0,0,3,0.2,0.2,0.2,0.4,2,0,0,0,0,0
1959,Osaka Tigers,ishida000hir,Hirozo Ishida,27,6,6,6,1,1,1,0,0,1,0,0,0,1,0.167,0.167,0.333,0.5,2,0,0,0,0,0
1959,Osaka Tigers,ishiga000kaz,Kazuo Ishigaki,27,33,40,38,5,6,5,0,0,2,0,0,1,8,0.158,0.2,0.29,0.49,11,0,1,0,0,0
1959,Osaka Tigers,ishika000yos,Yoshiteru Ishikawa,22,38,51,45,1,5,0,1,0,0,0,0,1,11,0.111,0.13,0.156,0.286,7,0,0,5,0,1
1959,Osaka Tigers,itoh--000kos,Koshiro Ito*,21,82,99,88,8,21,1,0,0,2,2,2,8,15,0.239,0.302,0.25,0.552,22,0,0,3,0,0
1959,Osaka Tigers,kamata000min,Minoru Kamata,20,106,371,360,31,86,16,4,2,17,1,6,2,23,0.239,0.245,0.322,0.567,116,8,1,7,1,0
1959,Osaka Tigers,koyama000mas,Masaaki Koyama,24,52,127,122,8,25,3,0,1,6,0,0,2,30,0.205,0.224,0.254,0.478,31,1,1,2,0,0
1959,Osaka Tigers,izaki-000kin,Kinya Maeoka,21,10,10,9,1,1,0,0,0,0,0,0,1,3,0.111,0.2,0.111,0.311,1,0,0,0,0,0
1959,Osaka Tigers,miyake000hid,Hideshi Miyake,25,130,551,497,62,133,26,6,18,63,30,11,44,68,0.268,0.325,0.453,0.778,225,12,1,4,5,3
1959,Osaka Tigers,mizuka000shi,Shizuya Mizukami,27,39,63,54,8,9,0,0,0,2,0,1,7,12,0.167,0.262,0.167,0.429,9,0,0,2,0,0
1959,Osaka Tigers,muraya000min,Minoru Murayama,22,54,101,93,3,15,3,0,0,3,0,0,3,32,0.161,0.196,0.194,0.389,18,2,1,4,0,0
1959,Osaka Tigers,nakamu000kaz,Kazuomi Nakamura,23,27,14,10,0,1,0,0,0,0,0,0,2,6,0.1,0.25,0.1,0.35,1,0,0,2,0,0
1959,Osaka Tigers,namiki000ter,Teruo Namiki*,20,98,274,248,18,47,6,2,4,24,8,5,18,42,0.19,0.247,0.278,0.525,69,2,2,3,3,1
1959,Osaka Tigers,nishio000shi,Shigetaka Nishio*,25,37,48,40,2,4,0,0,0,1,0,0,2,8,0.1,0.163,0.1,0.263,4,0,1,5,0,0
1959,Osaka Tigers,nishiy002kaz,Kazuyoshi Nishiyama,25,105,295,265,17,64,15,4,4,22,4,3,24,21,0.242,0.31,0.374,0.683,99,10,3,1,2,1
1959,Osaka Tigers,otsu--000ats,Atsushi Otsu,27,115,416,378,31,90,14,0,5,24,4,7,27,16,0.238,0.292,0.315,0.607,119,8,2,8,1,1
1959,Osaka Tigers,takair000kaz,Kazuo Takaira,19,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1959,Osaka Tigers,tatsui000kun,Kunisuke Tatsuichi,20,44,92,86,11,19,6,0,1,4,4,1,5,13,0.221,0.264,0.326,0.589,28,0,0,1,0,0
1959,Osaka Tigers,toi---000gor,Goro Toi*,19,75,129,125,8,31,5,3,1,17,0,0,4,21,0.248,0.271,0.36,0.631,45,3,0,0,0,0
1959,Osaka Tigers,tokaji000mas,Masao Tokaji,20,36,30,28,1,7,3,0,0,1,0,0,2,5,0.25,0.3,0.357,0.657,10,3,0,0,0,0
1959,Osaka Tigers,tokuam000shi,Shigeru Tokuami,35,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1959,Osaka Tigers,umemot000mas,Masayuki Umemoto,22,23,13,13,0,1,1,0,0,0,0,0,0,5,0.077,0.077,0.154,0.231,2,0,0,0,0,0
1959,Osaka Tigers,wada--001isa,Isao Wada*,26,17,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,Osaka Tigers,watana000sho,Shozo Watanabe,26,24,20,19,0,3,0,0,0,0,0,0,0,7,0.158,0.158,0.158,0.316,3,0,0,1,0,0
1959,Osaka Tigers,yamamo002tet,Tetsuya Yamamoto,24,122,339,321,17,61,10,2,1,15,2,2,8,43,0.19,0.21,0.243,0.453,78,7,1,6,3,1
1959,Osaka Tigers,yokoya001koj,Mitsutsugu Yokoyama,26,123,446,407,36,104,23,4,8,37,8,6,20,71,0.256,0.302,0.391,0.693,159,5,7,12,0,1
1959,Osaka Tigers,yoshid000yos,Yoshio Yoshida,25,130,522,467,60,127,18,8,5,32,13,7,29,20,0.272,0.319,0.377,0.696,176,5,4,21,1,0
