Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1961,Daimai Orions,arakaw000hir,Hiroshi Arakawa*,30,46,45,39,0,7,2,0,0,3,0,0,5,5,0.18,0.267,0.231,0.498,9,0,0,0,1,0
1961,Daimai Orions,aramak000ats,Atsushi Aramaki*,35,25,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1961,Daimai Orions,daigo-000tak,Takeo Daigo,22,53,102,95,5,17,3,0,0,6,0,0,4,24,0.179,0.216,0.211,0.426,20,5,1,0,2,0
1961,Daimai Orions,desa--000dic,Dick DeSa,20,24,33,31,2,3,1,0,1,1,0,0,0,15,0.097,0.097,0.226,0.323,7,0,0,2,0,0
1961,Daimai Orions,enomot000kih,Kihachi Enomoto*,24,137,597,543,93,180,28,7,8,42,9,8,43,22,0.332,0.389,0.453,0.842,246,16,9,0,2,2
1961,Daimai Orions,fukuts000kat,Katsuya Fukutsuka,22,57,80,77,5,15,3,1,0,3,0,0,2,14,0.195,0.215,0.26,0.475,20,0,0,1,0,0
1961,Daimai Orions,hatta-000tad,Tadashi Hatta*,24,121,424,397,57,98,14,4,6,35,9,0,16,50,0.247,0.276,0.348,0.624,138,7,1,8,2,0
1961,Daimai Orions,iio---000tak,Takao Iio,27,7,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1961,Daimai Orions,ishika000sus,Susumu Ishikawa*,29,86,133,121,20,32,4,1,2,12,13,2,10,21,0.265,0.326,0.364,0.689,44,2,1,1,0,0
1961,Daimai Orions,kamijo000tak,Takahiro Kamijo,20,37,53,50,5,7,1,0,0,1,0,0,3,15,0.14,0.189,0.16,0.349,8,1,0,0,0,0
1961,Daimai Orions,kamiya000mas,Masami Kamiya?,22,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1961,Daimai Orions,katsur000tak,Takao Katsuragi,25,136,544,513,59,137,28,4,16,85,17,4,11,51,0.267,0.282,0.431,0.713,221,12,3,8,9,0
1961,Daimai Orions,kobaya000hid,Hideyuki Kobayashi*,21,6,5,4,1,1,0,0,0,0,0,0,1,3,0.25,0.4,0.25,0.65,1,0,0,0,0,0
1961,Daimai Orions,komori000kos,Kosei Komori,29,98,217,205,17,44,7,1,6,19,2,1,11,43,0.215,0.255,0.346,0.601,71,6,0,1,0,0
1961,Daimai Orions,mihira000har,Haruki Mihira*,22,40,62,55,2,4,0,0,0,2,0,0,4,27,0.073,0.136,0.073,0.208,4,1,0,3,0,0
1961,Daimai Orions,miura-004mas,Masayoshi Miura,27,7,1,0,0,0,0,0,0,0,0,0,1,0,NA,1,NA,NA,0,0,0,0,0,0
1961,Daimai Orions,nakaga001tak,Takashi Nakagawa,25,26,15,15,2,2,0,0,1,1,0,0,0,7,0.133,0.133,0.333,0.467,5,0,0,0,0,0
1961,Daimai Orions,nakani000kat,Katsumi Nakanishi,26,29,43,38,4,5,1,0,0,0,0,0,1,15,0.132,0.154,0.158,0.312,6,0,0,4,0,0
1961,Daimai Orions,nishit001wil,Bill Nishita,30,33,31,26,1,4,2,0,0,2,0,0,0,4,0.154,0.148,0.231,0.379,6,0,0,4,1,0
1961,Daimai Orions,ono---002sho,Shoichi Ono*,27,58,87,79,5,12,2,0,1,4,0,0,3,30,0.152,0.181,0.215,0.396,17,2,0,4,1,0
1961,Daimai Orions,sakai-000kat,Katsuji Sakai,23,22,20,15,1,0,0,0,0,1,0,0,3,7,0,0.167,0,0.167,0,0,0,2,0,0
1961,Daimai Orions,sakamo000bun,Bunjiro Sakamoto,35,98,222,204,18,44,3,3,3,17,2,2,8,34,0.216,0.244,0.304,0.548,62,6,1,5,4,2
1961,Daimai Orions,sudo--000yut,Yutaka Sudo,24,60,122,118,8,27,3,1,1,6,2,0,3,19,0.229,0.254,0.297,0.551,35,2,1,0,0,0
1961,Daimai Orions,sugish000shi,Shigeru Sugishita,35,32,27,26,1,4,0,0,0,2,0,0,0,10,0.154,0.154,0.154,0.308,4,0,0,1,0,0
1961,Daimai Orions,tamiya000ken,Kenjiro Tamiya*,33,130,560,509,83,167,35,1,11,71,6,3,39,32,0.328,0.382,0.466,0.848,237,11,8,0,4,3
1961,Daimai Orions,tanimo000min,Minoru Tanimoto,24,110,359,333,25,86,20,1,10,52,0,0,16,29,0.258,0.296,0.414,0.711,138,14,4,1,5,3
1961,Daimai Orions,uemura000yos,Yoshinobu Uemura,26,21,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,Daimai Orions,wako--000tom,Tomoo Wako,24,52,59,54,3,9,0,0,0,3,0,0,0,26,0.167,0.164,0.167,0.33,9,0,0,4,1,0
1961,Daimai Orions,yamauc001kaz,Kazuhiro Yamauchi,29,140,582,498,87,155,32,6,25,112,6,2,72,37,0.311,0.394,0.55,0.944,274,7,2,0,10,13
1961,Daimai Orions,yanagi001tos,Toshio Yanagida,24,114,405,367,56,92,27,2,6,36,10,2,32,58,0.251,0.313,0.384,0.697,141,6,2,2,2,0
1961,Daimai Orions,yato--000tak,Takao Yato,27,135,376,351,41,82,12,4,6,37,8,2,18,58,0.234,0.27,0.342,0.611,120,9,0,5,2,1
