Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1961,Nishitetsu Lions,hanai-000yu-,Yu Hanai*,29,87,240,214,27,50,11,3,3,26,2,0,21,25,0.234,0.307,0.355,0.662,76,6,2,2,1,0
1961,Nishitetsu Lions,hata--000tak,Takayuki Hata*,23,51,72,67,3,12,1,0,0,0,0,0,1,24,0.179,0.191,0.194,0.385,13,1,0,4,0,0
1961,Nishitetsu Lions,inao--000kaz,Kazuhisa Inao,24,80,150,132,16,26,8,0,1,10,2,0,11,37,0.197,0.259,0.28,0.539,37,6,0,7,0,0
1961,Nishitetsu Lions,inoue-000tad,Tadayuki Inoue,25,91,110,103,8,17,7,0,2,6,0,1,4,16,0.165,0.202,0.291,0.493,30,5,1,1,1,0
1961,Nishitetsu Lions,inoue-002yos,Yoshio Inoue*,19,44,24,24,1,1,1,0,0,0,0,0,0,7,0.042,0.042,0.083,0.125,2,1,0,0,0,0
1961,Nishitetsu Lions,kanbar000tak,Takahiko Kanbara,23,2,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
1961,Nishitetsu Lions,kawai-000yas,Yasuhiko Kawai,27,101,336,314,26,84,18,1,12,46,4,1,12,67,0.268,0.293,0.446,0.739,140,7,1,5,4,3
1961,Nishitetsu Lions,kido--000nor,Norifumi Kido,22,132,443,409,40,81,7,3,5,33,7,1,26,95,0.198,0.247,0.267,0.514,109,8,1,6,1,4
1961,Nishitetsu Lions,kondo-001mit,Mitsuro Kondo*,23,28,12,11,2,2,0,0,0,1,0,0,0,4,0.182,0.182,0.182,0.364,2,0,0,1,0,0
1961,Nishitetsu Lions,kuroka000toy,Toyohisa Kurokawa,19,4,6,6,0,3,0,0,0,2,0,0,0,0,0.5,0.5,0.5,1,3,0,0,0,0,0
1961,Nishitetsu Lions,miyake000tak,Takao Miyake,22,61,74,71,3,14,2,0,1,5,0,0,3,19,0.197,0.23,0.268,0.497,19,1,0,0,0,0
1961,Nishitetsu Lions,miyosh000mam,Mamoru Miyoshi*,20,4,5,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
1961,Nishitetsu Lions,nakaji000jun,Junichi Nakajima,23,36,14,12,0,3,0,0,0,0,0,0,0,3,0.25,0.25,0.25,0.5,3,0,0,2,0,0
1961,Nishitetsu Lions,nakani000fut,Futoshi Nakanishi,28,99,301,253,48,77,6,1,21,54,4,6,44,42,0.304,0.405,0.585,0.99,148,8,1,0,3,13
1961,Nishitetsu Lions,nishim000sad,Sadao Nishimura,26,13,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1961,Nishitetsu Lions,ogi---000aki,Akira Ogi,26,123,453,408,45,99,19,1,9,52,11,7,33,69,0.243,0.304,0.36,0.664,147,13,4,5,3,3
1961,Nishitetsu Lions,ogi---000tak,Takao Ogi,26,33,34,34,4,6,0,1,0,1,0,0,0,4,0.177,0.177,0.235,0.412,8,1,0,0,0,0
1961,Nishitetsu Lions,oyane-000hir,Hiroomi Oyane,25,17,16,13,1,2,0,0,0,0,0,0,3,5,0.154,0.313,0.154,0.466,2,0,0,0,0,0
1961,Nishitetsu Lions,sekigu000sei,Seiji Sekiguchi,35,79,204,185,13,37,7,1,2,27,0,2,15,28,0.2,0.261,0.281,0.542,52,7,1,1,2,1
1961,Nishitetsu Lions,shimab000yuk,Yukio Shimabara,28,37,26,23,2,3,1,0,0,0,0,0,1,11,0.13,0.167,0.174,0.341,4,0,0,2,0,0
1961,Nishitetsu Lions,sugima000osa,Isao Sugimachi,19,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,Nishitetsu Lions,suzuki002yuk,Yukio Suzuki*,19,5,8,7,0,2,0,0,0,0,0,1,1,1,0.286,0.375,0.286,0.661,2,0,0,0,0,0
1961,Nishitetsu Lions,takaku000ter,Teruyuki Takakura,26,121,522,485,76,146,23,5,15,37,18,9,29,65,0.301,0.346,0.462,0.808,224,12,4,4,0,2
