Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1966,Sankei Atoms,akai--000kiy,Kiyoji Akai*,22,12,9,9,1,1,0,0,0,0,0,0,0,3,0.111,0.111,0.111,0.222,1,0,0,0,0,0
1966,Sankei Atoms,aso---000san,Saneo Aso,28,31,36,36,2,5,0,0,1,8,0,0,0,5,0.139,0.139,0.222,0.361,8,1,0,0,0,0
1966,Sankei Atoms,fukuto000kun,Kunio Fukutomi*,23,117,302,267,25,57,6,5,3,15,5,3,22,45,0.214,0.274,0.307,0.581,82,4,1,10,2,1
1966,Sankei Atoms,hosoda000mas,Masahiko Hosoda,19,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966,Sankei Atoms,ishido000shi,Shiroku Ishido,25,52,66,52,4,10,2,0,0,5,0,0,5,17,0.192,0.283,0.231,0.514,12,0,2,6,1,0
1966,Sankei Atoms,ishiok000koz,Kozo Ishioka,25,33,30,30,2,4,0,1,0,0,0,0,0,9,0.133,0.133,0.2,0.333,6,0,0,0,0,0
1966,Sankei Atoms,jackso001lou,Lou Jackson*,30,97,385,346,39,88,11,3,20,43,11,8,32,62,0.254,0.327,0.477,0.804,165,3,6,0,1,7
1966,Sankei Atoms,kobuch000tai,Taisuke Kobuchi,31,90,228,208,26,57,9,2,10,27,5,3,15,48,0.274,0.324,0.481,0.805,100,5,1,3,1,0
1966,Sankei Atoms,kurash000kes,Kesanori Kurashima,26,2,2,1,0,0,0,0,0,0,0,0,1,1,0,0.5,0,0.5,0,0,0,0,0,0
1966,Sankei Atoms,maruya000kan,Kanji Maruyama,26,124,508,461,47,105,12,3,4,19,6,11,31,54,0.228,0.288,0.293,0.581,135,9,8,8,0,0
1966,Sankei Atoms,mejias001rom,Román Mejías,40,30,55,52,2,15,4,0,0,4,0,0,0,14,0.289,0.296,0.365,0.662,19,0,1,1,1,0
1966,Sankei Atoms,morita002yos,Yoshimi Moritaki,28,20,7,7,0,2,0,1,0,0,0,0,0,3,0.286,0.286,0.571,0.857,4,0,0,0,0,0
1966,Sankei Atoms,murata000gen,Genichi Murata,28,42,63,56,1,7,1,0,0,1,0,0,4,21,0.125,0.183,0.143,0.326,8,1,0,3,0,0
1966,Sankei Atoms,muto--000shi,Shiro Muto*,22,83,165,151,11,30,3,3,3,15,2,1,7,23,0.199,0.242,0.318,0.56,48,7,2,4,1,1
1966,Sankei Atoms,nakaji000set,Setsuo Nakajima,22,43,86,80,8,12,1,1,1,3,0,0,3,12,0.15,0.209,0.225,0.434,18,1,3,0,0,0
1966,Sankei Atoms,negoro000hir,Hiromitsu Negoro,29,57,73,72,0,7,1,0,0,3,0,0,1,10,0.097,0.11,0.111,0.221,8,0,0,0,0,0
1966,Sankei Atoms,nishio000sei,Seikichi Nishioka,29,10,17,16,0,0,0,0,0,1,0,0,0,2,0,0.059,0,0.059,0,0,1,0,0,0
1966,Sankei Atoms,aizawa000mas,Masaru Ogata,26,19,4,2,0,0,0,0,0,0,0,0,1,0,0,0.333,0,0.333,0,0,0,1,0,0
1966,Sankei Atoms,okajim000hir,Hiroharu Okajima,31,112,315,280,24,58,8,0,5,21,5,2,22,33,0.207,0.274,0.289,0.563,81,5,4,8,1,2
1966,Sankei Atoms,okamot002yos,Yoshitaka Okamoto,25,121,332,313,9,65,11,0,2,21,2,6,10,28,0.208,0.241,0.262,0.503,82,9,4,4,1,3
1966,Sankei Atoms,otsuka000tor,Toru Otsuka,21,14,6,6,3,1,0,0,0,0,0,1,0,1,0.167,0.167,0.167,0.333,1,0,0,0,0,0
