Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1967,Taiyo Whales,agcaoi001fra,Francis Agcaoili*,28,75,148,132,13,34,5,0,4,13,0,0,14,22,0.258,0.331,0.386,0.718,51,5,1,0,1,0
1967,Taiyo Whales,akiyam000nob,Noboru Akiyama,33,2,2,2,0,1,0,0,0,1,0,0,0,1,0.5,0.5,0.5,1,1,0,0,0,0,0
1967,Taiyo Whales,doi---000kiy,Kiyoshi Doi,34,71,123,105,4,26,3,0,2,9,0,2,8,18,0.248,0.301,0.333,0.634,35,2,0,10,0,1
1967,Taiyo Whales,ejiri-000aki,Akira Ejiri*,24,117,316,297,36,73,11,4,7,21,4,5,10,22,0.246,0.283,0.381,0.664,113,7,6,2,1,0
1967,Taiyo Whales,fukush000his,Hisaaki Fukushima,20,5,6,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1967,Taiyo Whales,furuta000tad,Tadashi Furuta,20,49,45,40,9,9,1,0,0,1,1,2,0,6,0.225,0.244,0.25,0.494,10,1,1,4,0,0
1967,Taiyo Whales,hayash000ken,Kenzo Hayashi,24,40,56,52,2,5,2,0,0,1,1,1,2,16,0.096,0.13,0.135,0.264,7,1,0,2,0,0
1967,Taiyo Whales,hirama000mas,Masaji Hiramatsu,19,16,20,18,0,2,1,0,0,0,0,0,0,7,0.111,0.111,0.167,0.278,3,0,0,2,0,0
1967,Taiyo Whales,hiraok000ich,Ichiro Hiraoka*,21,57,12,9,0,0,0,0,0,0,0,0,1,5,0,0.1,0,0.1,0,0,0,2,0,0
1967,Taiyo Whales,imai--000tsu,Tsutomu Imai*,22,3,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1967,Taiyo Whales,inagaw000mak,Makoto Inagawa,30,29,16,16,0,3,0,1,0,3,0,0,0,8,0.188,0.188,0.313,0.5,5,0,0,0,0,0
1967,Taiyo Whales,itoh--001isa,Isao Ito,25,106,321,289,23,68,16,0,5,22,1,2,25,46,0.235,0.305,0.343,0.648,99,7,4,3,0,4
1967,Taiyo Whales,kanemi000hid,Hidenori Kanemitsu*,32,71,85,78,4,12,2,0,1,10,0,0,5,10,0.154,0.212,0.218,0.43,17,1,1,0,1,1
1967,Taiyo Whales,kito--001hir,Hiroshi Kito*,24,15,13,12,0,2,0,0,0,0,0,0,1,4,0.167,0.231,0.167,0.398,2,0,0,0,0,0
1967,Taiyo Whales,kondo-000aki,Akihito Kondo,29,128,438,398,38,99,19,1,7,27,8,9,19,52,0.249,0.282,0.354,0.637,141,8,0,20,1,1
1967,Taiyo Whales,kondo-000kaz,Kazuhiko Kondo*,31,119,483,422,62,138,18,0,7,33,6,8,37,54,0.327,0.385,0.419,0.805,177,4,5,16,3,0
1967,Taiyo Whales,kusaka000mas,Masakatsu Kusaka,22,78,52,49,7,9,2,0,0,3,0,3,2,12,0.184,0.231,0.225,0.455,11,1,1,0,0,0
1967,Taiyo Whales,kuwata000tak,Takeshi Kuwata,30,118,444,400,62,106,14,1,27,63,5,2,35,73,0.265,0.333,0.508,0.84,203,9,6,2,1,2
1967,Taiyo Whales,matsub000mak,Makoto Matsubara,23,126,451,409,41,101,28,0,14,58,5,6,36,65,0.247,0.312,0.418,0.73,171,15,3,2,1,0
1967,Taiyo Whales,matsuo000kos,Kosuke Matsuoka,24,123,447,406,36,99,19,2,0,20,11,13,30,70,0.244,0.303,0.301,0.603,122,5,5,4,2,1
1967,Taiyo Whales,mine--000kun,Kuniyasu Mine,26,23,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1967,Taiyo Whales,morina000chi,Chikara Morinaka#,27,47,91,85,6,8,1,0,1,2,0,0,2,37,0.094,0.115,0.141,0.256,12,0,0,4,0,0
1967,Taiyo Whales,nishi-000mit,Mitsuo Nishi,28,25,15,13,1,3,2,0,0,0,0,0,0,1,0.231,0.231,0.385,0.615,5,1,0,2,0,0
1967,Taiyo Whales,ogawa-000tos,Toshiaki Ogawa,28,5,5,5,0,1,0,0,0,0,0,0,0,1,0.2,0.2,0.2,0.4,1,0,0,0,0,0
1967,Taiyo Whales,oikawa000nob,NObushi Oikawa,23,30,23,18,1,3,0,0,0,0,1,0,1,4,0.167,0.211,0.167,0.377,3,0,0,4,0,0
1967,Taiyo Whales,oishi-000kat,Katsuhiko Oishi,22,9,6,5,3,1,0,1,0,0,1,1,1,1,0.2,0.333,0.6,0.933,3,0,0,0,0,0
1967,Taiyo Whales,ono---002sho,Shoichi Ono*,33,24,12,12,0,3,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0.5,3,0,0,0,0,0
1967,Taiyo Whales,osada-000yuk,Yukio Osada*,28,109,340,316,37,85,18,0,16,49,0,2,20,45,0.269,0.314,0.478,0.791,151,10,1,2,1,1
1967,Taiyo Whales,sasaki000kic,Yoshiro Sasaki,27,34,14,13,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0
1967,Taiyo Whales,sato--000iss,Issei Sato,22,2,5,5,1,2,0,0,1,2,0,0,0,1,0.4,0.4,1,1.4,5,1,0,0,0,0
1967,Taiyo Whales,sekine000tom,Tomoo Sekine,23,23,30,26,2,4,1,0,0,1,0,0,3,7,0.154,0.267,0.192,0.459,5,0,1,0,0,0
1967,Taiyo Whales,shibat000nob,Nobuo Shibata,20,11,7,6,1,1,0,0,0,0,2,0,1,1,0.167,0.286,0.167,0.452,1,1,0,0,0,0
1967,Taiyo Whales,shigem000sho,Shozo Shigematsu,27,107,218,204,21,40,8,0,4,13,4,1,8,37,0.196,0.228,0.294,0.522,60,3,1,3,2,0
1967,Taiyo Whales,shimad000gen,Gentaro Shimada,27,15,10,10,0,2,0,0,0,0,0,0,0,1,0.2,0.2,0.2,0.4,2,1,0,0,0,0
1967,Taiyo Whales,stuart004ric,Dick Stuart,34,125,474,432,62,121,18,0,33,79,1,1,37,100,0.28,0.342,0.551,0.893,238,15,4,0,1,4
1967,Taiyo Whales,sugimo000kim,Kimitaka Sugimoto,28,50,54,50,2,11,3,1,1,7,0,0,3,13,0.22,0.259,0.38,0.639,19,1,0,0,1,0
1967,Taiyo Whales,takaga000yos,Yoshihiro Takagaki,18,14,13,13,2,3,0,0,0,1,0,0,0,6,0.231,0.231,0.231,0.462,3,1,0,0,0,0
1967,Taiyo Whales,takaha001shi,Shigeyuki Takahashi,22,57,62,57,1,7,2,0,0,5,0,0,3,26,0.123,0.167,0.158,0.325,9,1,0,2,0,0
1967,Taiyo Whales,yamada000tad,Tadao Yamada,24,18,6,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
1967,Taiyo Whales,yamash000rit,Ritsuo Yamashita,22,23,11,9,0,3,0,0,0,1,0,0,1,4,0.333,0.4,0.333,0.733,3,0,0,1,0,0
