Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1969,Yomiuri Giants,aiba--000yos,Yoshihiro Aiba,25,53,70,62,7,12,1,0,1,3,0,0,7,12,0.194,0.275,0.258,0.534,16,4,0,1,0,0
1969,Yomiuri Giants,doi---002sho,Shozo Doi,27,129,490,429,66,116,12,3,6,42,10,7,33,45,0.27,0.331,0.354,0.686,152,6,7,19,2,0
1969,Yomiuri Giants,hayash000chi,Chiyosaku Hayashi*,22,14,12,12,2,4,2,0,0,2,1,0,0,3,0.333,0.333,0.5,0.833,6,0,0,0,0,0
1969,Yomiuri Giants,horiuc000tsu,Tsuneo Horiuchi,21,41,83,74,4,9,1,0,2,4,0,0,1,18,0.122,0.133,0.216,0.35,16,0,0,8,0,0
1969,Yomiuri Giants,jonouc000kun,Kunio Jonouchi,29,20,41,36,1,1,0,0,0,1,0,0,0,20,0.028,0.028,0.028,0.056,1,1,0,5,0,0
1969,Yomiuri Giants,kaneda002mas,Masaichi Kaneda*,35,20,35,32,2,7,0,0,0,4,0,0,1,8,0.219,0.265,0.219,0.484,7,0,1,1,0,0
1969,Yomiuri Giants,kawauc000kaz,Kazutomi Kawauchi*,21,12,9,8,2,1,0,0,1,1,0,0,1,3,0.125,0.222,0.5,0.722,4,0,0,0,0,0
1969,Yomiuri Giants,kunima000aki,Akira Kunimatsu*,34,113,310,269,29,61,14,0,5,26,2,0,34,21,0.227,0.312,0.335,0.646,90,9,1,2,4,1
1969,Yomiuri Giants,kurata000mak,Makoto Kurata,23,3,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1969,Yomiuri Giants,kuroe-000yuk,Yukinobu Kuroe,30,130,530,481,64,141,16,2,7,63,8,4,34,56,0.293,0.34,0.378,0.719,182,13,3,7,5,0
1969,Yomiuri Giants,kuwata000tak,Takeshi Kuwata,32,13,17,14,0,0,0,0,0,0,0,0,3,8,0,0.177,0,0.177,0,1,0,0,0,0
1969,Yomiuri Giants,miyata000yuk,Yukinori Miyata,29,15,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1969,Yomiuri Giants,mori--000mas,Masahiko Mori*,32,115,372,340,22,87,13,0,8,39,0,1,26,29,0.256,0.313,0.365,0.677,124,11,3,1,2,6
1969,Yomiuri Giants,morina000kat,Katsuya Morinaga*,35,59,63,60,2,13,1,1,1,11,0,0,3,9,0.217,0.254,0.317,0.571,19,3,0,0,0,0
1969,Yomiuri Giants,nagash000shi,Shigeo Nagashima,33,126,546,502,71,156,23,2,32,115,1,1,38,58,0.311,0.359,0.556,0.915,279,15,2,0,4,1
1969,Yomiuri Giants,nakamu001min,Minoru Nakamura,30,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,Yomiuri Giants,oh----000sad,Sadaharu Oh*,29,130,576,452,112,156,24,0,44,103,5,2,111,61,0.345,0.472,0.69,1.163,312,7,5,0,8,12
1969,Yomiuri Giants,osumi-000mas,Masato Osumi*,21,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,Yomiuri Giants,senda-000kei,Keisuke Senda,26,46,17,16,13,4,3,0,0,1,5,1,0,3,0.25,0.294,0.438,0.732,7,0,1,0,0,0
1969,Yomiuri Giants,shibat000isa,Isao Shibata#,25,111,394,349,44,80,15,1,9,32,35,10,36,67,0.229,0.31,0.355,0.666,124,7,5,4,0,3
1969,Yomiuri Giants,suetsu000tos,Toshimitsu Suetsugu,27,118,333,303,36,78,17,1,9,40,4,4,24,50,0.257,0.316,0.409,0.725,124,6,2,4,0,0
