Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1970,Lotte Orions,altman001geo,George Altman*,37,122,481,426,66,136,19,1,30,77,3,2,44,50,0.319,0.385,0.58,0.965,247,5,5,1,5,4
1970,Lotte Orions,arito-000mic,Michiyo Arito,23,130,533,467,88,143,25,5,25,80,27,12,50,100,0.306,0.38,0.542,0.922,253,3,9,2,5,1
1970,Lotte Orions,daigo-000tak,Takeo Daigo,31,127,435,385,33,93,8,1,5,49,5,8,32,50,0.242,0.295,0.307,0.602,118,6,1,8,9,2
1970,Lotte Orions,doi---001ken,Kenji Doi,20,7,6,6,0,2,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0.667,2,0,0,0,0,0
1970,Lotte Orions,enomot000kih,Kihachi Enomoto*,33,110,354,303,42,86,10,0,15,39,7,1,49,46,0.284,0.384,0.465,0.85,141,5,1,0,1,5
1970,Lotte Orions,etoh--000shi,Shinichi Eto,32,72,181,146,21,42,4,0,11,31,1,1,30,23,0.288,0.409,0.541,0.95,79,6,2,0,3,3
1970,Lotte Orions,hasega000kaz,Kazuo Hasegawa*,25,60,45,44,3,10,3,1,0,4,2,0,1,8,0.227,0.244,0.341,0.585,15,1,0,0,0,1
1970,Lotte Orions,hiraok000ich,Ichiro Hiraoka*,24,24,3,3,0,1,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0.667,1,0,0,0,0,0
1970,Lotte Orions,hirose000osa,Osamu Hirose,23,58,78,73,1,14,4,1,0,3,1,2,4,10,0.192,0.234,0.274,0.508,20,2,0,1,0,0
1970,Lotte Orions,iijima000hid,Hideo Iijima,27,50,0,0,19,0,0,0,0,0,12,9,0,0,NA,NA,NA,NA,0,0,0,0,0,0
1970,Lotte Orions,iishii000rei,Reiji Iishi*,27,28,28,23,0,4,0,0,0,3,0,0,3,5,0.174,0.25,0.174,0.424,4,0,0,0,2,0
1970,Lotte Orions,iizuka000yos,Yoshihiro Iizuka*,25,64,97,86,24,23,6,0,0,2,14,2,5,13,0.267,0.315,0.337,0.652,29,4,1,5,0,0
1970,Lotte Orions,ikebe-000tak,Takenori Ikebe,26,125,524,467,71,128,17,1,22,61,14,7,23,65,0.274,0.312,0.456,0.768,213,9,4,27,3,1
1970,Lotte Orions,ishida000tsu,Tsugunobu Ishida,28,17,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1970,Lotte Orions,iwasak000tad,Tadayoshi Iwasaki,21,62,46,42,7,13,2,0,1,4,3,2,3,7,0.31,0.356,0.429,0.784,18,1,0,1,0,0
1970,Lotte Orions,kitaru000mas,Masaaki Kitaru,23,44,106,89,7,14,1,0,0,6,0,0,7,21,0.157,0.212,0.169,0.381,15,1,0,7,3,0
1970,Lotte Orions,koyama000mas,Masaaki Koyama,35,39,90,80,2,6,0,0,0,1,0,0,3,14,0.075,0.119,0.075,0.194,6,2,1,6,0,0
1970,Lotte Orions,lopez-002art,Art López*,33,120,485,457,65,143,20,0,21,69,4,3,18,24,0.313,0.344,0.495,0.838,226,10,5,2,3,0
1970,Lotte Orions,maeda-000kos,Kosuke Maeda*,25,20,3,3,0,1,0,0,0,0,0,0,0,2,0.333,0.333,0.333,0.667,1,0,0,0,0,0
1970,Lotte Orions,maeda-000mas,Masuho Maeda,31,98,204,176,26,55,10,0,7,25,4,5,22,17,0.313,0.387,0.489,0.876,86,2,0,5,1,0
1970,Lotte Orions,mizuta000mic,Michio Mizutani,23,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,Lotte Orions,murata000cho,Choji Murata,20,26,25,21,1,1,0,0,0,1,0,0,0,12,0.048,0.048,0.048,0.095,1,0,0,4,0,0
1970,Lotte Orions,narita000fum,Fumio Narita,23,42,108,99,9,13,2,0,2,7,0,0,3,38,0.131,0.165,0.212,0.377,21,2,1,5,0,0
1970,Lotte Orions,nishid001tak,Takayuki Nishida,29,91,53,45,16,8,0,4,1,7,11,1,4,6,0.178,0.275,0.422,0.697,19,1,2,2,0,0
1970,Lotte Orions,otsuka000yas,Yasuo Otsuka,26,24,35,29,1,2,1,0,0,1,0,1,5,7,0.069,0.206,0.103,0.309,3,0,0,1,0,0
1970,Lotte Orions,sakaki000shi,Shinichi Sakaki,24,23,20,20,0,1,0,0,0,0,0,0,0,2,0.05,0.05,0.05,0.1,1,0,0,0,0,0
1970,Lotte Orions,sato--000kei,Keiji Sato,19,4,2,1,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0.5,0,0,0,0,0,0
1970,Lotte Orions,sato--000mot,Motohiko Sato,27,32,25,23,3,7,0,0,0,0,1,0,0,5,0.304,0.333,0.304,0.638,7,0,1,1,0,0
1970,Lotte Orions,senda-000kei,Keisuke Senda,27,116,263,243,24,55,10,3,1,13,16,6,12,43,0.226,0.266,0.305,0.57,74,4,1,7,0,0
1970,Lotte Orions,tokuts000tak,Takahiro Tokutsu*,23,53,51,47,5,11,2,1,0,3,0,0,3,6,0.234,0.294,0.319,0.613,15,3,1,0,0,0
1970,Lotte Orions,tsumas000yos,Yoshiro Tsumajima,31,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,Lotte Orions,yagisa000sor,Soroku Yagisawa,25,44,23,21,1,3,2,0,0,5,0,0,1,6,0.143,0.182,0.238,0.42,5,0,0,1,0,0
1970,Lotte Orions,yamaza000hir,Hiroyuki Yamazaki,23,129,520,474,64,117,16,3,25,75,15,12,36,80,0.247,0.298,0.452,0.749,214,4,1,3,6,4
1970,Lotte Orions,yoshio000sat,Satoru Yoshioka*,21,1,1,0,0,0,0,0,0,0,0,0,1,0,NA,1,NA,NA,0,0,0,0,0,0
