Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1972,Chunichi Dragons,chihar000yoz,Yozaburo Chihara*,30,32,37,35,1,9,1,0,0,2,0,0,2,9,0.257,0.297,0.286,0.583,10,2,0,0,0,1
1972,Chunichi Dragons,ejima-000tak,Takumi Ejima,22,93,270,245,22,47,12,1,4,15,0,1,21,37,0.192,0.263,0.298,0.561,73,16,3,0,1,2
1972,Chunichi Dragons,etoh--000sho,Shozo Eto,30,77,125,108,7,33,4,0,2,16,0,0,12,11,0.306,0.374,0.398,0.772,43,2,1,2,2,2
1972,Chunichi Dragons,hishik000aki,Akira Hishikawa,25,11,30,28,2,3,0,0,1,2,0,1,2,3,0.107,0.167,0.214,0.381,6,1,0,0,0,0
1972,Chunichi Dragons,hoshin000sen,Senichi Hoshino,25,48,23,21,2,5,0,0,0,1,0,0,2,4,0.238,0.304,0.238,0.542,5,1,0,0,0,0
1972,Chunichi Dragons,ide---000tak,Takashi Ide,28,48,12,12,1,5,0,0,0,0,0,0,0,2,0.417,0.417,0.417,0.833,5,0,0,0,0,0
1972,Chunichi Dragons,iida--000yuk,Yukio Iida,25,54,94,84,9,16,1,0,2,10,1,4,8,20,0.191,0.269,0.274,0.543,23,3,1,1,0,0
1972,Chunichi Dragons,inaba-000mit,Mitsuo Inaba,23,38,90,80,3,14,2,0,0,2,0,0,4,33,0.175,0.214,0.2,0.414,16,1,0,6,0,0
1972,Chunichi Dragons,itoh--000his,Hisatoshi Ito,28,25,20,18,0,3,0,0,0,2,0,0,0,7,0.167,0.167,0.167,0.333,3,0,0,2,0,0
1972,Chunichi Dragons,kaneko000kat,Katsumi Kaneko,23,17,10,10,2,1,0,0,1,1,0,0,0,3,0.1,0.1,0.4,0.5,4,2,0,0,0,0
1972,Chunichi Dragons,kawauc000yas,Yasuo Kawauchi,26,23,5,5,1,2,0,0,0,0,0,0,0,1,0.4,0.4,0.4,0.8,2,0,0,0,0,0
1972,Chunichi Dragons,kimata000tat,Tatsuhiko Kimata,27,125,496,448,51,120,14,1,21,48,2,2,42,54,0.268,0.331,0.444,0.775,199,15,2,0,4,2
1972,Chunichi Dragons,masaok000shi,Shinji Masaoka,22,41,56,52,1,10,0,0,0,0,0,0,3,10,0.192,0.236,0.192,0.429,10,1,0,1,0,0
1972,Chunichi Dragons,matsum002yuk,Yukitsura Matsumoto*,25,43,62,54,1,4,0,0,0,0,0,0,3,15,0.074,0.123,0.074,0.197,4,2,0,5,0,0
1972,Chunichi Dragons,miller003joh,John Miller,28,127,520,468,63,110,13,4,27,81,1,4,44,80,0.235,0.298,0.453,0.751,212,9,1,0,7,0
1972,Chunichi Dragons,misawa000jun,Jun Misawa*,19,33,11,10,0,2,0,0,0,0,0,0,0,2,0.2,0.2,0.2,0.4,2,0,0,1,0,0
1972,Chunichi Dragons,miyosh000shi,Shinichi Miyoshi,22,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1972,Chunichi Dragons,mizuta000his,Hisanobu Mizutani,31,31,50,46,0,12,4,0,0,3,0,0,0,7,0.261,0.261,0.348,0.609,16,1,0,4,0,0
1972,Chunichi Dragons,morita001yos,Yoshiya Morita#,24,24,0,0,9,0,0,0,0,0,5,3,0,0,NA,NA,NA,NA,0,0,0,0,0,0
1972,Chunichi Dragons,naka--000tos,Toshio Naka*,36,68,217,186,20,43,4,1,1,12,7,5,21,15,0.231,0.306,0.28,0.586,52,5,0,8,2,1
1972,Chunichi Dragons,nishid000tor,Toru Nishida,27,45,35,31,12,6,2,1,0,0,0,1,3,6,0.194,0.286,0.323,0.608,10,1,1,0,0,0
1972,Chunichi Dragons,oshima000yas,Yasunori Oshima,21,124,437,387,51,89,14,2,14,38,9,7,41,79,0.23,0.306,0.385,0.691,149,9,2,5,2,3
1972,Chunichi Dragons,osumi-000mas,Masato Osumi*,24,21,18,17,0,2,1,0,0,2,0,0,0,3,0.118,0.111,0.177,0.288,3,0,0,0,1,0
1972,Chunichi Dragons,shibuy000yuk,Yukiharu Shibuya,25,32,32,29,1,4,0,0,0,0,0,0,0,7,0.138,0.138,0.138,0.276,4,0,0,3,0,0
1972,Chunichi Dragons,shimat000kin,Kinji Shimatani,27,126,463,404,51,99,20,1,13,45,8,11,45,69,0.245,0.328,0.396,0.724,160,12,5,9,0,3
1972,Chunichi Dragons,shinta002hir,Hiroshi Shintaku,28,28,49,42,3,6,2,1,0,1,0,0,7,16,0.143,0.265,0.238,0.503,10,1,0,0,0,1
1972,Chunichi Dragons,shirat000mas,Masataka Shirataki,23,3,7,7,0,1,0,0,0,0,0,0,0,2,0.143,0.143,0.143,0.286,1,0,0,0,0,0
