Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1972,Toei Flyers,christ002rob,Bob Christian,26,107,327,295,37,72,9,1,11,31,6,3,24,30,0.244,0.306,0.393,0.699,116,10,3,3,2,1
1972,Toei Flyers,fujiwa000mak,Makoto Fujiwara,27,43,43,40,2,6,0,0,0,2,0,0,1,13,0.15,0.171,0.15,0.321,6,1,0,2,0,0
1972,Toei Flyers,harimo000isa,Isao Harimoto*,32,127,548,472,93,169,25,4,31,89,10,5,69,37,0.358,0.44,0.625,1.065,295,4,3,0,4,12
1972,Toei Flyers,imai--000tsu,Tsutomu Imai*,27,25,25,24,3,4,2,0,2,8,0,0,1,2,0.167,0.2,0.5,0.7,12,1,0,0,0,0
1972,Toei Flyers,kaneda000tam,Tomehiro Kaneda,25,52,103,92,13,22,3,0,3,12,0,0,3,18,0.239,0.263,0.37,0.633,34,0,0,8,0,0
1972,Toei Flyers,kataok000ken,Ken Kataoka,25,8,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,1,0,0
1972,Toei Flyers,kato--000tos,Toshio Kato,24,121,376,323,36,78,13,1,10,39,2,2,38,67,0.242,0.343,0.381,0.724,123,15,13,0,2,2
1972,Toei Flyers,minaga000yas,Yasuo Minagawa,24,25,9,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
1972,Toei Flyers,misawa000kes,Kesaharu Misawa*,31,80,108,91,4,24,4,1,1,12,0,0,15,12,0.264,0.38,0.363,0.742,33,2,2,0,0,0
1972,Toei Flyers,miyaza000sho,Shoji Miyazaki,29,48,16,14,0,0,0,0,0,0,0,0,1,8,0,0.067,0,0.067,0,0,0,1,0,0
1972,Toei Flyers,morina000chi,Chikara Morinaka#,32,30,56,50,3,10,0,0,0,0,1,0,1,13,0.2,0.231,0.2,0.431,10,0,1,4,0,0
1972,Toei Flyers,nakaha000isa,Isamu Nakahara*,21,7,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1972,Toei Flyers,nakaha000mas,Katsutoshi Nakahara,27,47,44,40,3,4,2,0,0,2,0,0,3,9,0.1,0.163,0.15,0.313,6,2,0,1,0,1
1972,Toei Flyers,oba---000sus,Susumu Oba*,31,14,5,5,0,2,0,0,0,0,0,0,0,1,0.4,0.4,0.4,0.8,2,0,0,0,0,0
1972,Toei Flyers,ogata-000tos,Toshifumi Ogata,23,49,10,10,18,1,0,0,0,1,1,0,0,2,0.1,0.1,0.1,0.2,1,0,0,0,0,0
1972,Toei Flyers,okamur000koj,Koji Okamura,31,65,138,126,3,25,7,0,1,12,0,0,6,14,0.198,0.243,0.278,0.52,35,6,2,2,2,0
1972,Toei Flyers,oshita000tsu,Tsuyoshi Oshita,27,124,522,467,67,126,22,3,3,39,39,12,30,20,0.27,0.317,0.349,0.666,163,5,5,14,6,0
1972,Toei Flyers,osugi-000kat,Katsuo Osugi,27,130,559,492,81,145,18,1,40,101,0,1,57,58,0.295,0.376,0.579,0.955,285,21,8,0,2,9
1972,Toei Flyers,ozaki-000yuk,Yukio Ozaki,27,17,6,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
1972,Toei Flyers,haku--000jin,In-cheon Paek,28,126,529,486,67,153,33,3,19,80,20,13,35,32,0.315,0.362,0.512,0.874,249,16,2,4,2,3
1972,Toei Flyers,sakamo000tos,Toshizo Sakamoto,28,126,566,496,75,138,13,1,16,62,6,6,41,30,0.278,0.336,0.405,0.741,201,12,4,21,4,0
1972,Toei Flyers,sakudo000sus,Susumu Sakudo,29,28,37,33,3,6,1,0,1,1,0,0,4,6,0.182,0.27,0.303,0.573,10,2,0,0,0,0
1972,Toei Flyers,saruwa000hir,Hiroshige Saruwatari,23,26,2,2,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
1972,Toei Flyers,sendo-000mik,Mikio Sendo*,24,65,203,182,21,51,8,0,4,24,2,1,12,21,0.28,0.325,0.39,0.715,71,4,2,3,4,0
1972,Toei Flyers,suenag000yos,Yoshiyuki Suenaga*,24,87,225,182,23,50,10,1,1,24,4,5,24,19,0.275,0.37,0.357,0.727,65,4,7,6,6,1
1972,Toei Flyers,takaha001hir,Hiroshi Takahashi,26,89,320,281,36,68,11,0,6,29,5,8,28,33,0.242,0.321,0.345,0.666,97,7,5,5,1,3
1972,Toei Flyers,takaha000nao,Naoki Takahashi,27,23,30,24,0,1,0,0,0,1,0,0,0,6,0.042,0.042,0.042,0.083,1,1,0,6,0,0
1972,Toei Flyers,takaha004yos,Yoshimasa Takahashi,28,38,63,51,1,9,2,0,0,1,0,0,2,11,0.177,0.208,0.216,0.423,11,0,0,10,0,0
1972,Toei Flyers,uda---000tos,Toshoku Uda,23,16,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1972,Toei Flyers,yaezaw000ken,Kenichi Yaezawa,20,13,15,14,0,1,0,0,0,0,0,0,0,6,0.071,0.071,0.071,0.143,1,0,0,1,0,0
1972,Toei Flyers,yamamo000tsu,Tsuneyoshi Yamamoto,32,16,1,0,0,0,0,0,0,0,0,0,1,0,NA,1,NA,NA,0,0,0,0,0,0
1972,Toei Flyers,yamaza003tak,Takeaki Yamasaki*,31,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,Toei Flyers,yokoya000har,Haruhisa Yokoyama,22,16,4,4,0,1,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.5,1,0,0,0,0,0
1972,Toei Flyers,yoshid000mak,Makoto Yoshida,22,35,19,17,2,3,1,0,0,0,0,0,0,6,0.177,0.177,0.235,0.412,4,1,0,2,0,0
