Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1974,Taiheiyo Club Lions,alou--001mat,Matty Alou*,35,50,208,202,18,63,12,0,2,11,0,7,2,19,0.312,0.324,0.401,0.725,81,1,2,1,1,0
1974,Taiheiyo Club Lions,buford002don,Don Buford#,37,108,453,382,55,126,16,1,14,43,15,8,63,39,0.33,0.43,0.487,0.917,186,2,5,2,1,4
1974,Taiheiyo Club Lions,fujii-000eij,Eiji Fujii*,34,105,368,320,26,74,16,0,4,38,3,1,44,31,0.231,0.324,0.319,0.643,102,8,1,1,2,7
1974,Taiheiyo Club Lions,fujii-000nob,Nobuyuki Fujii,25,48,121,105,13,23,5,0,3,12,1,0,13,21,0.219,0.311,0.352,0.663,37,1,1,2,0,1
1974,Taiheiyo Club Lions,fukuto000kun,Kunio Fukutomi*,31,113,407,365,36,95,19,1,4,42,6,5,33,48,0.26,0.321,0.351,0.672,128,3,2,2,5,0
1974,Taiheiyo Club Lions,hamaur001tor,Toru Hamaura,21,22,25,25,1,5,0,0,0,0,0,0,0,2,0.2,0.2,0.2,0.4,5,0,0,0,0,0
1974,Taiheiyo Club Lions,higash000mas,Masayoshi Higashida,28,65,204,178,15,33,3,0,8,17,1,2,25,39,0.185,0.289,0.337,0.626,60,9,1,0,0,1
1974,Taiheiyo Club Lions,higash000osa,Osamu Higashio,24,27,41,37,3,7,0,0,0,2,1,1,0,7,0.189,0.189,0.189,0.378,7,2,0,4,0,0
1974,Taiheiyo Club Lions,howard002fra,Frank Howard,37,1,3,2,0,0,0,0,0,0,0,0,1,0,0,0.333,0,0.333,0,0,0,0,0,0
1974,Taiheiyo Club Lions,ihara-001har,Haruki Ihara,25,44,80,78,5,19,3,0,1,8,0,1,1,12,0.244,0.25,0.321,0.571,25,2,0,0,1,0
1974,Taiheiyo Club Lions,ishii-000shi,Shigeo Ishii,35,34,53,44,4,11,4,0,1,3,0,1,4,7,0.25,0.313,0.409,0.722,18,1,0,5,0,0
1974,Taiheiyo Club Lions,kataok000shi,Shinnosuke Kataoka,26,86,229,207,14,40,5,0,5,22,2,1,20,28,0.193,0.263,0.29,0.553,60,8,0,1,1,1
1974,Taiheiyo Club Lions,kato--000haj,Hajime Kato,24,36,69,56,2,4,0,0,0,0,0,0,2,22,0.071,0.119,0.071,0.19,4,0,1,10,0,0
1974,Taiheiyo Club Lions,kawaha001aki,Akira Kawahara,25,32,49,45,4,6,2,0,0,2,0,0,1,19,0.133,0.152,0.178,0.33,8,0,0,3,0,0
1974,Taiheiyo Club Lions,kawano000yui,Yuichi Kawano,23,23,37,36,0,6,0,0,0,0,0,0,0,6,0.167,0.167,0.167,0.333,6,0,0,1,0,0
1974,Taiheiyo Club Lions,kikuka000sho,Shojiro Kikukawa,29,79,234,199,18,41,4,0,2,16,3,1,20,10,0.206,0.281,0.256,0.537,51,3,1,13,1,1
1974,Taiheiyo Club Lions,kusuki000tor,Toru Kusuki,23,48,93,82,9,12,1,0,3,14,1,1,6,23,0.146,0.211,0.268,0.479,22,0,1,3,1,0
1974,Taiheiyo Club Lions,machii000nob,Noboru Machii,19,26,9,8,3,1,0,0,0,2,1,1,1,1,0.125,0.222,0.125,0.347,1,0,0,0,0,0
1974,Taiheiyo Club Lions,mayumi001aki,Akinobu Mayumi,20,23,11,10,4,2,0,0,0,0,1,1,1,5,0.2,0.273,0.2,0.473,2,0,0,0,0,0
1974,Taiheiyo Club Lions,miura-000kiy,Kiyohiro Miura,35,27,33,29,2,4,0,0,0,0,0,0,2,9,0.138,0.194,0.138,0.331,4,0,0,2,0,0
1974,Taiheiyo Club Lions,miwa--000sat,Satoru Miwa,28,27,9,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
1974,Taiheiyo Club Lions,miyade000kat,Katsutoshi Miyadera,33,52,108,98,4,21,3,1,0,4,0,2,8,21,0.214,0.28,0.265,0.546,26,3,1,1,0,0
1974,Taiheiyo Club Lions,motoi-000mit,Mitsuo Motoi,27,114,451,391,50,95,10,1,12,37,9,4,43,57,0.243,0.326,0.366,0.692,143,9,6,9,2,1
1974,Taiheiyo Club Lions,nagai-000tam,Tamotsu Nagai*,20,14,1,1,0,1,1,0,0,0,0,0,0,0,1,1,2,3,2,0,0,0,0,0
1974,Taiheiyo Club Lions,nakamu003mas,Masayoshi Nakamura,27,7,8,6,0,0,0,0,0,0,0,1,2,2,0,0.25,0,0.25,0,0,0,0,0,0
1974,Taiheiyo Club Lions,ota---001tak,Takuji Ota,23,49,73,61,8,18,3,1,2,9,2,2,10,13,0.295,0.397,0.475,0.873,29,1,1,0,1,0
1974,Taiheiyo Club Lions,shinob000zen,Masanori Shinobu,25,1,2,0,0,0,0,0,0,0,0,0,2,0,NA,1,NA,NA,0,0,0,0,0,0
1974,Taiheiyo Club Lions,suzuki000har,Haruhiko Suzuki*,22,11,12,11,1,1,0,0,0,0,0,0,1,3,0.091,0.167,0.091,0.258,1,0,0,0,0,0
1974,Taiheiyo Club Lions,takaha001fum,Fumio Takahashi*,26,113,297,261,29,59,7,1,4,18,12,7,13,23,0.226,0.261,0.307,0.567,80,1,0,21,2,0
1974,Taiheiyo Club Lions,takeno000mas,Masashi Takenouchi,29,119,481,419,59,108,17,1,22,73,11,4,43,62,0.258,0.346,0.461,0.806,193,12,15,1,3,3
1974,Taiheiyo Club Lions,tanaka003aki,Akira Tanaka,29,50,34,29,3,8,1,0,0,2,0,0,1,6,0.276,0.3,0.31,0.61,9,0,0,4,0,0
1974,Taiheiyo Club Lions,umeda-000kun,Kunizo Umeda,27,121,392,344,33,75,5,2,1,21,18,8,32,52,0.218,0.291,0.253,0.544,87,6,4,11,1,1
1974,Taiheiyo Club Lions,wakana001yos,Yoshiharu Wakana,20,6,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,Taiheiyo Club Lions,yanagi000yut,Yutaka Yanagida,22,44,38,38,2,7,1,0,0,1,0,0,0,11,0.184,0.184,0.211,0.395,8,0,0,0,0,0
1974,Taiheiyo Club Lions,yoneya000tet,Tetsuo Yoneyama,26,64,114,110,12,22,3,0,2,13,1,0,4,13,0.2,0.228,0.282,0.51,31,3,0,0,0,0
1974,Taiheiyo Club Lions,yoshim000ken,Kenji Yoshimura,23,18,4,4,1,1,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,1,0,0,0,0,0
