Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1975,Hiroshima Toyo Carp,fukaza000shu,Shuichi Fukazawa,27,108,93,87,19,18,2,0,1,7,9,2,3,10,0.207,0.239,0.264,0.504,23,0,1,1,1,0
1975,Hiroshima Toyo Carp,hopkin001gai,Gail Hopkins*,32,130,547,496,72,127,20,1,33,91,1,2,36,53,0.256,0.317,0.5,0.817,248,15,10,1,4,2
1975,Hiroshima Toyo Carp,ikegay000koj,Kojiro Ikegaya,23,46,85,81,2,11,1,0,1,7,0,0,1,26,0.136,0.146,0.185,0.332,15,1,0,3,0,0
1975,Hiroshima Toyo Carp,kanesh000mot,Motoyasu Kaneshiro,22,16,9,9,1,1,0,0,0,0,0,0,0,5,0.111,0.111,0.111,0.222,1,0,0,0,0,0
1975,Hiroshima Toyo Carp,kimoto000shi,Shigemi Kimoto,21,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,Hiroshima Toyo Carp,kinosh000tom,Tomio Kinoshita,24,26,12,12,1,1,0,0,0,0,0,0,0,0,0.083,0.083,0.083,0.167,1,1,0,0,0,0
1975,Hiroshima Toyo Carp,kinuga000sac,Sachio Kinugasa,28,130,532,479,66,132,22,1,21,71,18,4,44,61,0.276,0.34,0.457,0.797,219,21,5,0,4,2
1975,Hiroshima Toyo Carp,kodama001yos,Yoshihiro Kodama,29,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,Hiroshima Toyo Carp,kubo--000tos,Toshimi Kubo,25,80,62,57,12,17,2,1,1,13,5,1,2,11,0.298,0.344,0.421,0.765,24,2,2,1,0,0
1975,Hiroshima Toyo Carp,michih000hir,Hiroyuki Michihara,26,75,157,149,8,30,3,1,1,3,0,1,6,19,0.201,0.237,0.255,0.492,38,4,1,1,0,2
1975,Hiroshima Toyo Carp,mimura000tos,Toshiyuki Mimura,26,122,502,442,67,124,21,3,10,42,3,5,43,47,0.281,0.35,0.41,0.759,181,7,5,10,2,1
1975,Hiroshima Toyo Carp,miyamo000yuk,Yukinobu Miyamoto,30,44,16,15,1,3,1,0,0,3,0,0,0,7,0.2,0.25,0.267,0.517,4,0,1,0,0,0
1975,Hiroshima Toyo Carp,mizunu000shi,Shiro Mizunuma,28,116,283,255,22,53,7,2,1,19,11,4,20,31,0.208,0.271,0.263,0.534,67,6,2,6,0,7
1975,Hiroshima Toyo Carp,mizuta000jit,Jitsuo Mizutani,27,121,389,358,29,102,14,1,13,37,5,1,22,39,0.285,0.326,0.439,0.764,157,10,1,5,3,5
1975,Hiroshima Toyo Carp,moriok000shi,Shigeki Morioka*,22,28,27,27,1,5,1,0,0,0,1,0,0,6,0.185,0.185,0.222,0.407,6,1,0,0,0,0
1975,Hiroshima Toyo Carp,nagamo000hir,Hiroaki Nagamoto,22,28,14,14,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
1975,Hiroshima Toyo Carp,omata-000sus,Susumu Omata*,23,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1975,Hiroshima Toyo Carp,oshita000tsu,Tsuyoshi Oshita,30,117,510,471,59,127,12,1,3,19,44,20,27,43,0.27,0.314,0.319,0.633,150,4,4,7,1,0
1975,Hiroshima Toyo Carp,saeki-000kaz,Kazushi Saeki,23,44,86,81,0,6,0,0,0,3,0,0,3,27,0.074,0.106,0.074,0.18,6,2,0,1,1,0
1975,Hiroshima Toyo Carp,sano--000yos,Yoshiyuki Sano,31,17,17,16,2,4,0,1,0,2,0,0,1,4,0.25,0.294,0.375,0.669,6,1,0,0,0,0
1975,Hiroshima Toyo Carp,schein001ric,Richie Scheinblum#,32,117,417,374,31,105,17,0,13,56,1,3,36,38,0.281,0.344,0.431,0.774,161,11,2,1,4,6
1975,Hiroshima Toyo Carp,sonoda000tos,Toshihiko Sonoda,30,61,149,142,15,35,5,0,1,6,2,1,5,13,0.247,0.27,0.303,0.573,43,4,0,1,1,0
1975,Hiroshima Toyo Carp,sotoko000yos,Yoshiro Sotokoba,30,45,111,101,9,22,4,2,0,8,0,0,1,25,0.218,0.221,0.297,0.518,30,0,0,7,2,0
1975,Hiroshima Toyo Carp,wako--000tom,Tomoo Wako,38,21,16,16,1,1,0,0,0,0,0,0,0,6,0.063,0.063,0.063,0.125,1,0,0,0,0,0
1975,Hiroshima Toyo Carp,watana003hir,Hiroki Watanabe*,27,56,13,13,0,1,0,0,0,0,0,0,0,6,0.077,0.077,0.077,0.154,1,0,0,0,0,0
1975,Hiroshima Toyo Carp,yamamo006kaz,Kazuyoshi Yamamoto*,36,71,144,129,6,27,6,1,2,18,0,0,13,12,0.209,0.278,0.318,0.596,41,5,0,0,2,2
1975,Hiroshima Toyo Carp,yamamo002koj,Koji Yamamoto,28,130,526,451,86,144,21,0,30,84,24,9,67,39,0.319,0.406,0.565,0.971,255,6,2,1,5,6
1975,Hiroshima Toyo Carp,yoneya000tet,Tetsuo Yoneyama,27,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
