Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1978,Nankai Hawks,arai--000hir,Hiromasa Arai*,26,116,387,344,31,87,8,4,1,17,6,5,24,25,0.253,0.304,0.308,0.612,106,5,2,15,2,1
1978,Nankai Hawks,fujiwa000mit,Mitsuru Fujiwara,31,99,414,396,44,100,8,0,2,15,13,8,15,18,0.253,0.282,0.288,0.57,114,14,1,2,0,1
1978,Nankai Hawks,horii-000kaz,Kazuto Horii,30,51,9,9,13,1,0,0,0,0,8,3,0,1,0.111,0.111,0.111,0.222,1,0,0,0,0,0
1978,Nankai Hawks,kadota000hir,Hiromitsu Kadota*,30,106,406,360,37,90,13,0,15,44,3,2,37,59,0.25,0.324,0.411,0.735,148,4,4,1,4,3
1978,Nankai Hawks,katahi000shu,Shinsaku Katahira*,28,101,314,290,25,71,6,0,15,37,0,2,15,29,0.245,0.293,0.421,0.714,122,3,6,0,3,0
1978,Nankai Hawks,kono--000tak,Takayuki Kono,23,107,452,398,47,98,18,5,3,23,16,5,27,38,0.246,0.298,0.339,0.638,135,10,3,23,1,2
1978,Nankai Hawks,kubode000yuj,Yuji Kubodera,19,104,329,299,22,61,8,3,6,20,7,6,18,37,0.204,0.248,0.311,0.559,93,1,0,10,2,0
1978,Nankai Hawks,kuroda000mas,Masahiro Kuroda,30,117,333,283,22,52,8,0,4,14,1,2,23,46,0.184,0.283,0.254,0.538,72,6,17,8,2,0
1978,Nankai Hawks,matsum000yos,Yoshiyuki Matsumoto,26,24,35,35,3,7,1,0,1,4,0,0,0,9,0.2,0.2,0.314,0.514,11,0,0,0,0,0
1978,Nankai Hawks,may---001car,Carlos May*,30,123,487,414,51,129,17,2,12,80,8,3,54,57,0.312,0.398,0.449,0.847,186,14,10,2,7,2
1978,Nankai Hawks,nakade000ken,Kenji Nakade,23,23,21,19,2,5,0,0,0,1,0,0,1,6,0.263,0.3,0.263,0.563,5,0,0,1,0,0
1978,Nankai Hawks,oda---000yos,Yoshihito Oda,31,102,328,298,19,70,9,0,5,25,3,2,12,28,0.235,0.283,0.315,0.598,94,11,9,6,3,3
1978,Nankai Hawks,sadaok000chi,Chiaki Sadaoka,25,111,388,352,30,80,12,1,3,33,3,4,19,75,0.227,0.273,0.293,0.566,103,6,6,4,7,1
1978,Nankai Hawks,sakata000tak,Takashi Sakata#,27,46,70,64,7,13,1,0,0,6,0,0,2,9,0.203,0.235,0.219,0.454,14,1,1,2,1,0
1978,Nankai Hawks,sakura000ter,Teruhide Sakurai,30,53,150,134,10,21,2,0,1,7,1,0,12,17,0.157,0.231,0.194,0.425,26,4,1,3,0,0
1978,Nankai Hawks,tateis000mit,Mitsuo Tateishi,20,12,6,6,0,1,0,0,0,1,0,0,0,1,0.167,0.167,0.167,0.333,1,0,0,0,0,0
1978,Nankai Hawks,tolan-001rob,Bobby Tolan*,32,98,393,360,31,96,10,1,6,36,6,5,18,38,0.267,0.32,0.35,0.67,126,6,11,2,2,0
1978,Nankai Hawks,toyama000yos,Yoshiaki Toyama*,30,16,15,13,0,1,0,0,0,1,0,0,1,2,0.077,0.133,0.077,0.21,1,0,0,0,1,0
1978,Nankai Hawks,tsurus000shi,Shigeki Tsurusaki,24,9,7,4,0,0,0,0,0,0,0,0,2,3,0,0.333,0,0.333,0,0,0,1,0,0
1978,Nankai Hawks,wada--000tor,Toru Wada,32,27,35,34,4,6,0,0,2,4,0,0,1,6,0.177,0.2,0.353,0.553,12,0,0,0,0,0
1978,Nankai Hawks,yamamo004mas,Masao Yamamoto,24,16,22,22,3,3,1,0,1,2,3,0,0,8,0.136,0.136,0.318,0.455,7,0,0,0,0,0
1978,Nankai Hawks,yoneta000nob,Nobuo Yonetani,28,51,121,103,7,19,1,0,1,9,1,2,14,13,0.185,0.283,0.223,0.507,23,7,1,1,2,0
