Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1981,Hankyu Braves,cage--001way,Wayne Cage*,29,124,470,424,52,101,19,0,31,74,2,2,43,122,0.238,0.311,0.502,0.813,213,13,2,0,1,3
1981,Hankyu Braves,fujimo000mas,Masaharu Fujimoto,28,68,29,24,7,8,1,0,2,6,2,1,0,5,0.333,0.346,0.625,0.971,15,0,1,3,1,0
1981,Hankyu Braves,fukumo000yut,Yutaka Fukumoto*,33,130,584,495,90,142,22,7,14,48,54,15,80,65,0.287,0.386,0.444,0.83,220,3,1,6,2,2
1981,Hankyu Braves,hosoka000yas,Yasuo Hosokawa,28,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,Hankyu Braves,ishimi000kaz,Kazuhiko Ishimine,20,36,46,42,3,9,1,1,2,5,0,0,4,15,0.214,0.283,0.429,0.711,18,0,0,0,0,0
1981,Hankyu Braves,kataok000shi,Shinnosuke Kataoka,33,49,102,96,7,29,7,0,0,8,0,1,4,11,0.302,0.33,0.375,0.705,36,4,0,2,0,0
1981,Hankyu Braves,kato--002hid,Hideji Kato*,33,127,534,468,63,147,25,2,17,79,4,3,54,67,0.314,0.384,0.485,0.869,227,5,4,0,8,3
1981,Hankyu Braves,kawamu000ken,Kenichiro Kawamura,33,42,73,68,5,15,3,0,1,7,0,0,5,14,0.221,0.274,0.309,0.583,21,2,0,0,0,0
1981,Hankyu Braves,kobaya002shi,Shinya Kobayashi*,28,121,412,380,46,107,23,2,3,37,6,5,27,22,0.282,0.327,0.376,0.703,143,7,0,2,3,1
1981,Hankyu Braves,kudo--000hir,Hiroyoshi Kudo,26,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0
1981,Hankyu Braves,marcan001rob,Robert Marcano,30,126,489,447,51,119,19,2,13,67,12,8,31,30,0.266,0.316,0.405,0.721,181,14,3,5,3,2
1981,Hankyu Braves,matsun002hir,Hiromi Matsunaga#,20,73,105,92,15,30,1,1,2,15,4,3,8,10,0.326,0.404,0.424,0.828,39,4,4,1,0,0
1981,Hankyu Braves,minoda000koj,Koji Minoda,29,116,494,432,66,123,20,0,10,40,26,6,33,41,0.285,0.339,0.401,0.74,173,8,4,22,3,1
1981,Hankyu Braves,nakaza000shi,Shinji Nakazawa,35,86,181,163,13,38,9,1,6,22,0,1,9,39,0.233,0.28,0.411,0.691,67,7,2,6,1,0
1981,Hankyu Braves,ohashi000yut,Yutaka Ohashi,35,10,9,9,1,2,0,0,0,2,1,0,0,4,0.222,0.222,0.222,0.444,2,0,0,0,0,0
1981,Hankyu Braves,osumi-000mas,Masato Osumi*,33,3,2,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1981,Hankyu Braves,sasamo000shi,Shinji Sasamoto,29,74,144,127,19,35,4,1,2,15,5,2,12,15,0.276,0.343,0.37,0.713,47,1,1,4,0,2
1981,Hankyu Braves,sato--000shi,Shigetaka Sato*,25,35,49,45,4,9,0,0,1,2,2,2,2,10,0.2,0.265,0.267,0.532,12,1,2,0,0,0
1981,Hankyu Braves,shimat000kin,Kinji Shimatani,36,114,429,383,57,108,14,1,23,64,3,2,37,49,0.282,0.345,0.504,0.849,193,11,1,6,2,3
1981,Hankyu Braves,takai-000yas,Yasuhiro Takai,36,85,138,115,14,27,1,0,9,24,0,1,22,32,0.235,0.355,0.478,0.833,55,1,0,0,1,1
1981,Hankyu Braves,yagi--000shi,Shigeru Yagi,27,36,30,29,4,6,1,0,0,1,0,1,0,8,0.207,0.207,0.241,0.448,7,0,0,1,0,0
1981,Hankyu Braves,yamada000his,Hisashi Yamada,32,34,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,Hankyu Braves,yamamo003mas,Masafumi Yamamori,20,101,62,53,15,11,0,2,0,4,2,0,6,9,0.208,0.288,0.283,0.571,15,0,0,3,0,0
1981,Hankyu Braves,yonemu000osa,Osamu Yonemura,22,15,5,4,0,0,0,0,0,0,0,0,1,2,0,0.2,0,0.2,0,0,0,0,0,0
1981,Hankyu Braves,yoshiz000tos,Toshiyuki Yoshizawa,26,38,40,36,4,4,0,0,0,0,2,1,3,4,0.111,0.2,0.111,0.311,4,1,1,0,0,0
1981,Hankyu Braves,yumiok000kei,Keijiro Yumioka,23,130,419,377,42,80,11,4,4,30,15,7,16,23,0.212,0.246,0.294,0.541,111,11,2,21,3,0
