Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1981,Osaka Kintetsu Buffaloes,abe---000nar,Narihiro Abe*,34,20,11,11,2,3,0,0,0,1,1,0,0,1,0.273,0.273,0.273,0.545,3,0,0,0,0,0
1981,Osaka Kintetsu Buffaloes,arita-000shu,Shuzo Arita,29,95,280,237,25,58,9,1,7,31,0,4,36,49,0.245,0.347,0.38,0.726,90,11,2,3,2,0
1981,Osaka Kintetsu Buffaloes,fujise000shi,Shiro Fujise,27,85,60,52,15,7,0,0,0,1,15,2,3,8,0.135,0.193,0.135,0.328,7,1,1,3,1,0
1981,Osaka Kintetsu Buffaloes,fukiis000tok,Tokuichi Fukiishi,28,126,454,412,47,101,13,1,10,48,13,8,23,25,0.245,0.286,0.354,0.64,146,7,2,13,4,0
1981,Osaka Kintetsu Buffaloes,hada--000koi,Koichi Hada,28,107,342,304,39,71,6,1,17,39,3,2,34,47,0.234,0.308,0.428,0.736,130,9,0,1,3,0
1981,Osaka Kintetsu Buffaloes,hampto001isa,Ike Hampton#,29,72,254,226,35,52,9,0,15,32,5,3,24,66,0.23,0.3,0.469,0.769,106,9,0,1,3,1
1981,Osaka Kintetsu Buffaloes,harris001vic,Vic Harris#,31,124,494,447,58,120,17,4,22,74,13,7,43,44,0.269,0.337,0.472,0.809,211,10,3,1,0,0
1981,Osaka Kintetsu Buffaloes,hirano000mit,Mitsuyasu Hirano,32,121,522,482,53,125,19,6,10,50,12,8,33,57,0.259,0.304,0.386,0.69,186,9,0,2,5,0
1981,Osaka Kintetsu Buffaloes,ishiwa000shi,Shigeru Ishiwata,32,59,144,131,16,25,4,1,2,13,6,0,11,14,0.191,0.259,0.282,0.541,37,3,1,1,0,0
1981,Osaka Kintetsu Buffaloes,kanemi000yas,Yasuaki Kanemitsu,24,18,13,9,3,0,0,0,0,0,1,0,4,1,0,0.308,0,0.308,0,0,0,0,0,0
1981,Osaka Kintetsu Buffaloes,kuriha000shi,Shigeru Kurihashi*,29,92,325,278,38,73,15,1,11,41,6,7,38,32,0.263,0.363,0.442,0.806,123,8,7,0,2,1
1981,Osaka Kintetsu Buffaloes,moriwa000hir,Hiroshi Moriwaki,20,57,63,57,10,18,4,0,2,7,1,0,4,9,0.316,0.371,0.491,0.862,28,2,1,1,0,0
1981,Osaka Kintetsu Buffaloes,nagao-000yas,Yasunori Nagao*,31,67,128,121,8,26,3,0,3,12,3,2,4,8,0.215,0.24,0.314,0.554,38,1,0,3,0,0
1981,Osaka Kintetsu Buffaloes,nakane000mas,Masahiro Nakane*,26,3,5,4,2,2,0,0,1,1,0,0,1,1,0.5,0.6,1.25,1.85,5,0,0,0,0,0
1981,Osaka Kintetsu Buffaloes,nashid001mas,Masataka Nashida,27,106,411,374,44,102,16,0,17,48,5,3,29,47,0.273,0.327,0.452,0.779,169,12,3,1,4,0
1981,Osaka Kintetsu Buffaloes,ogawa-000tor,Toru Ogawa*,35,116,410,359,50,106,20,2,9,35,5,1,41,12,0.295,0.37,0.437,0.807,157,2,3,4,3,2
1981,Osaka Kintetsu Buffaloes,oishi-001dai,Daijiro Oishi,22,77,20,19,14,6,0,0,0,0,11,5,0,4,0.316,0.35,0.316,0.666,6,0,1,0,0,0
1981,Osaka Kintetsu Buffaloes,haku--000jin,In-cheon Paek,37,84,214,194,19,44,11,0,4,23,2,2,14,12,0.227,0.293,0.345,0.638,67,6,4,2,0,0
1981,Osaka Kintetsu Buffaloes,ryan--001cra,Craig Ryan*,28,30,76,71,8,17,2,1,4,14,0,0,5,10,0.239,0.29,0.465,0.754,33,2,0,0,0,0
1981,Osaka Kintetsu Buffaloes,sano--001mot,Motokuni Sano,23,6,7,6,0,0,0,0,0,0,0,0,0,4,0,0.143,0,0.143,0,0,1,0,0,0
1981,Osaka Kintetsu Buffaloes,sasaki000kyo,Kyosuke Sasaki,31,91,288,253,31,66,7,1,4,21,14,3,21,17,0.261,0.329,0.344,0.673,87,3,6,5,3,0
1981,Osaka Kintetsu Buffaloes,shimam000koh,Kohei Shimamoto*,29,101,283,256,36,69,10,0,11,34,5,3,19,38,0.27,0.332,0.438,0.77,112,5,6,0,2,1
1981,Osaka Kintetsu Buffaloes,yamamo002kaz,Kazunori Yamamoto*,23,23,28,21,4,4,1,0,0,3,0,0,4,3,0.191,0.393,0.238,0.631,5,2,3,0,0,0
