Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1998,Nippon Ham Fighters,arai--000sho,Shogo Arai*,25,5,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1998,Nippon Ham Fighters,brooks002jer,Jerry Brooks,31,129,523,459,58,112,8,1,25,73,1,1,53,64,0.244,0.329,0.429,0.758,197,26,7,0,4,6
1998,Nippon Ham Fighters,hashig000hid,Hideki Hashigami,32,91,94,83,11,25,3,0,1,12,5,2,9,20,0.301,0.366,0.374,0.739,31,2,0,1,1,1
1998,Nippon Ham Fighters,ide---001tat,Tatsuya Ide,27,130,334,296,38,64,11,2,6,28,10,5,20,56,0.216,0.263,0.328,0.591,97,4,0,15,3,0
1998,Nippon Ham Fighters,ishimo001tsu,Tsutomu Ishimoto#,25,2,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,0,0,0,0,0,0
1998,Nippon Ham Fighters,kaneko001mak,Makoto Kaneko,22,127,442,380,53,100,10,2,4,26,11,3,40,42,0.263,0.337,0.332,0.668,126,7,2,20,0,0
1998,Nippon Ham Fighters,kataok001ats,Atsushi Kataoka*,29,133,584,466,89,140,26,1,17,83,2,0,113,93,0.3,0.435,0.47,0.905,219,8,1,0,4,1
1998,Nippon Ham Fighters,komaki001yui,Yuichi Komaki,31,4,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1998,Nippon Ham Fighters,nakamu001yut,Yutaka Nakamura,25,12,15,13,1,1,1,0,0,1,0,0,1,3,0.077,0.143,0.154,0.297,2,0,0,1,0,0
1998,Nippon Ham Fighters,naraha001hir,Hiroshi Narahara,30,128,464,364,72,102,6,4,1,25,30,6,60,50,0.28,0.388,0.327,0.715,119,9,4,36,0,1
1998,Nippon Ham Fighters,nemoto001ryu,Ryuki Nemoto*,25,12,22,22,2,2,0,0,1,1,0,1,0,3,0.091,0.091,0.227,0.318,5,1,0,0,0,0
1998,Nippon Ham Fighters,nishi-000shu,Shunji Nishi,33,36,38,36,2,11,1,1,1,7,0,0,2,7,0.306,0.342,0.472,0.814,17,2,0,0,0,0
1998,Nippon Ham Fighters,nishiu001kat,Katsuhiro Nishiura,23,134,562,485,83,119,24,4,20,62,18,6,67,109,0.245,0.338,0.435,0.773,211,14,3,2,5,2
1998,Nippon Ham Fighters,noguch001tos,Toshihiro Noguchi,27,109,312,268,37,63,14,3,10,34,6,3,21,61,0.235,0.293,0.422,0.715,113,3,3,15,5,0
1998,Nippon Ham Fighters,ochiai001hir,Hiromitsu Ochiai,44,59,192,162,11,38,6,0,2,18,0,1,26,22,0.235,0.344,0.309,0.652,50,12,2,0,2,0
1998,Nippon Ham Fighters,ogasaw001mic,Michihiro Ogasawara*,24,71,98,86,7,26,5,0,1,9,1,1,11,17,0.302,0.378,0.395,0.773,34,3,0,0,1,1
1998,Nippon Ham Fighters,ogawa-000koi,Koichi Ogawa*,33,41,45,37,5,5,0,0,1,6,0,0,6,9,0.135,0.25,0.216,0.466,8,3,0,1,1,0
1998,Nippon Ham Fighters,taguch001mas,Masanori Taguchi,27,60,139,118,7,24,2,0,1,12,0,1,7,29,0.203,0.26,0.246,0.506,29,4,2,12,0,0
1998,Nippon Ham Fighters,tanaka002yuk,Yukio Tanaka,30,107,482,420,62,115,28,0,24,63,2,0,53,102,0.274,0.361,0.512,0.873,215,8,6,0,3,6
1998,Nippon Ham Fighters,ueda--001yos,Yoshinori Ueda*,24,120,288,248,32,60,17,1,2,15,4,2,32,58,0.242,0.331,0.343,0.674,85,7,2,4,2,1
1998,Nippon Ham Fighters,wilson001nig,Nigel Wilson*,28,133,569,506,65,129,13,0,33,124,1,1,56,141,0.255,0.332,0.476,0.809,241,5,4,0,3,7
1998,Nippon Ham Fighters,yamash000kaz,Kazuhiko Yamashita,35,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
