Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
2000,Orix Blue Wave,arias-001geo,George Arias,28,116,461,412,66,103,21,0,26,61,2,0,43,110,0.25,0.323,0.49,0.814,202,6,3,0,3,4
2000,Orix Blue Wave,fujii-001yas,Yasuo Fujii*,37,112,324,280,36,64,15,2,18,54,0,0,36,62,0.229,0.315,0.489,0.804,137,2,2,0,6,2
2000,Orix Blue Wave,fujita001jir,Jiro Fujitate,29,71,123,109,7,29,7,0,3,23,0,1,13,24,0.266,0.342,0.413,0.754,45,4,0,0,1,0
2000,Orix Blue Wave,fukuto001hir,Hiroki Fukutome,25,15,21,19,0,1,0,0,0,1,0,0,1,6,0.053,0.095,0.053,0.148,1,1,0,0,1,0
2000,Orix Blue Wave,goshim001yuj,Yuji Goshima*,24,45,134,122,13,32,6,0,2,16,0,1,12,25,0.262,0.328,0.361,0.689,44,4,0,0,0,0
2000,Orix Blue Wave,hidaka001tak,Takeshi Hidaka*,22,101,307,256,31,52,9,0,6,34,1,1,35,34,0.203,0.304,0.309,0.613,79,6,3,11,2,0
2000,Orix Blue Wave,igaras001aki,Akihito Igarashi*,32,112,221,180,30,43,8,0,4,26,0,1,30,24,0.239,0.344,0.35,0.694,63,4,0,9,2,1
2000,Orix Blue Wave,kase--001tos,Toshihiro Kase*,23,27,5,4,1,0,0,0,0,0,0,0,1,2,0,0.2,0,0.2,0,0,0,0,0,0
2000,Orix Blue Wave,katsur001iku,Ikuro Katsuragi*,22,12,30,26,4,5,2,0,2,3,1,0,3,10,0.192,0.3,0.5,0.8,13,0,1,0,0,0
2000,Orix Blue Wave,kawano001ryo,Ryo Kawano,29,7,10,9,1,1,0,0,1,3,0,0,0,3,0.111,0.2,0.444,0.644,4,0,1,0,0,0
2000,Orix Blue Wave,matsum001shu,Shuichiro Matsumoto*,28,38,55,42,5,7,1,0,0,4,0,3,9,11,0.167,0.314,0.191,0.504,8,0,0,4,0,0
2000,Orix Blue Wave,merced001orl,Orlando Merced#,33,23,85,80,9,18,2,1,2,15,0,0,4,14,0.225,0.259,0.35,0.609,28,0,0,0,1,0
2000,Orix Blue Wave,minami000tok,Tokitaka Minamibuchi,34,8,9,7,1,2,0,0,0,0,0,0,2,2,0.286,0.444,0.286,0.73,2,0,0,0,0,0
2000,Orix Blue Wave,miwa--001tak,Takashi Miwa,30,74,170,143,11,26,4,0,2,7,1,0,11,23,0.182,0.248,0.252,0.5,36,5,2,13,1,0
2000,Orix Blue Wave,neel--001tro,Troy Neel*,34,55,185,156,21,35,6,0,7,28,0,0,25,47,0.224,0.341,0.397,0.738,62,5,3,0,1,0
2000,Orix Blue Wave,nunnal001jon,Jon Nunnally*,28,42,134,115,18,19,7,0,5,15,2,0,19,44,0.165,0.284,0.357,0.64,41,3,0,0,0,1
2000,Orix Blue Wave,ogawa-001hir,Hirofumi Ogawa,33,101,269,241,28,63,10,0,5,45,3,1,24,66,0.261,0.325,0.365,0.69,88,4,0,1,3,1
2000,Orix Blue Wave,ohshim001koi,Koichi Oshima#,33,119,509,382,64,108,17,1,1,33,1,1,90,46,0.283,0.418,0.34,0.758,130,4,0,35,2,0
2000,Orix Blue Wave,saitoh001hid,Hidemitsu Saito,25,58,25,22,5,2,0,0,0,2,2,0,3,9,0.091,0.2,0.091,0.291,2,0,0,0,0,0
2000,Orix Blue Wave,satake001man,Manabu Satake,25,55,83,75,14,16,6,1,2,10,1,2,5,22,0.213,0.268,0.4,0.668,30,1,1,1,1,0
2000,Orix Blue Wave,shioza001mak,Makoto Shiozaki,27,130,462,393,45,103,17,6,1,35,5,7,41,69,0.262,0.335,0.344,0.678,135,7,4,20,4,0
2000,Orix Blue Wave,sugimo000nao,Naofumi Sugimoto,29,11,3,2,0,1,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1,1,0,0,1,0,0
2000,Orix Blue Wave,suzuki001ich,Ichiro Suzuki*,26,105,459,395,73,153,22,1,12,73,21,1,54,36,0.387,0.46,0.539,0.999,213,3,4,0,6,16
2000,Orix Blue Wave,taguch001so-,So Taguchi,30,129,578,509,77,142,26,3,8,49,8,2,55,80,0.279,0.353,0.389,0.742,198,12,3,11,0,1
2000,Orix Blue Wave,takaha001nob,Nobuo Takahashi*,28,9,7,7,0,1,0,0,0,0,0,0,0,2,0.143,0.143,0.143,0.286,1,1,0,0,0,0
2000,Orix Blue Wave,tani--001yos,Yoshitomo Tani,27,134,584,529,78,150,26,3,9,73,23,9,43,71,0.284,0.338,0.395,0.733,209,14,4,1,7,0
2000,Orix Blue Wave,yanagi001yui,Yuichi Yanagisawa,28,9,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
