Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
2000,Seibu Lions,akada-001sho,Shogo Akada#,19,31,79,65,10,10,0,1,1,3,2,0,13,26,0.154,0.304,0.231,0.535,15,2,1,0,0,0
2000,Seibu Lions,fernan001oct,Tony Fernández#,38,103,440,370,64,121,24,1,11,74,2,4,58,47,0.327,0.418,0.487,0.905,180,10,5,0,7,9
2000,Seibu Lions,furuya001tsu,Tsuyoshi Furuya,30,11,21,17,2,3,1,0,0,1,0,1,2,4,0.177,0.25,0.235,0.485,4,0,0,1,1,0
2000,Seibu Lions,harai-001kaz,Kazuya Harai,32,21,32,28,2,5,0,1,0,1,1,1,2,5,0.179,0.233,0.25,0.483,7,0,0,2,0,0
2000,Seibu Lions,hirats000kat,Katsuhiro Hiratsuka,34,83,212,175,17,43,11,0,1,18,0,1,33,28,0.246,0.364,0.326,0.689,57,10,0,3,1,0
2000,Seibu Lions,inubus001tos,Toshiaki Inubushi,28,5,8,7,1,1,0,0,1,2,0,0,0,3,0.143,0.143,0.571,0.714,4,0,0,1,0,0
2000,Seibu Lions,itoh--001tsu,Tsutomu Ito,37,94,277,245,21,52,9,0,5,19,3,2,22,48,0.212,0.282,0.31,0.592,76,3,2,7,1,0
2000,Seibu Lions,jeffer001reg,Reggie Jefferson#,31,89,311,281,27,73,12,0,10,48,0,0,24,75,0.26,0.323,0.409,0.732,115,13,3,1,2,0
2000,Seibu Lions,kaizuk001mas,Masahide Kaizuka*,25,70,110,102,5,20,5,0,0,15,3,0,6,28,0.196,0.236,0.245,0.482,25,3,0,0,2,1
2000,Seibu Lions,kakiuc001tet,Tetsuya Kakiuchi,30,108,352,301,38,70,17,1,13,51,1,2,42,91,0.233,0.331,0.425,0.757,128,7,4,2,3,3
2000,Seibu Lions,kawada001yus,Yusuke Kawada*,32,31,53,41,12,11,0,2,1,6,1,1,6,13,0.268,0.362,0.439,0.801,18,0,0,6,0,0
2000,Seibu Lions,kuroda001sat,Satoshi Kuroda,25,58,116,99,8,19,2,0,1,2,4,0,7,19,0.192,0.245,0.242,0.488,24,1,0,10,0,0
2000,Seibu Lions,matsui001kaz,Kazuo Matsui#,24,135,611,550,99,177,40,11,23,90,26,3,46,60,0.322,0.372,0.56,0.932,308,8,2,6,7,5
2000,Seibu Lions,matsuz001dai,Daisuke Matsuzaka,19,28,1,1,0,1,0,0,0,2,0,0,0,0,1,1,1,2,1,0,0,0,0,0
2000,Seibu Lions,miyaji001kat,Katsuhiko Miyaji*,28,21,68,60,8,16,3,0,2,9,0,1,4,7,0.267,0.303,0.417,0.72,25,0,0,2,2,0
2000,Seibu Lions,nakaji001sat,Satoshi Nakajima,31,78,217,182,19,43,6,0,2,26,0,0,17,33,0.236,0.304,0.302,0.606,55,7,2,13,3,0
2000,Seibu Lions,ohtomo001sus,Susumu Otomo*,26,82,289,238,47,58,10,0,2,19,4,2,40,48,0.244,0.357,0.311,0.668,74,0,2,9,0,0
2000,Seibu Lions,ohtsuk001koj,Koji Otsuka#,32,17,28,26,3,6,3,0,1,3,1,1,1,12,0.231,0.259,0.462,0.721,12,0,0,1,0,0
2000,Seibu Lions,ozeki-001tat,Tatsuya Ozeki*,23,125,417,340,50,89,11,4,1,32,7,5,43,54,0.262,0.353,0.327,0.679,111,1,7,23,4,1
2000,Seibu Lions,paul--001cor,Corey Paul*,31,47,141,124,17,30,7,1,4,18,1,2,16,34,0.242,0.333,0.411,0.745,51,2,1,0,0,0
2000,Seibu Lions,shimiz002mas,Masaji Shimizu,35,72,139,102,26,26,2,2,0,9,11,3,28,15,0.255,0.415,0.314,0.729,32,0,0,9,0,0
2000,Seibu Lions,suzuki001ken,Ken Suzuki*,30,119,443,386,36,96,17,0,6,52,0,1,47,40,0.249,0.333,0.339,0.672,131,14,4,1,5,2
2000,Seibu Lions,takagi001hir,Hiroyuki Takagi*,27,61,118,97,9,16,0,0,0,3,1,0,11,10,0.165,0.261,0.165,0.426,16,2,2,7,1,0
2000,Seibu Lions,takagi001tai,Taisei Takagi*,26,94,374,316,47,74,18,2,9,44,3,4,47,66,0.234,0.337,0.389,0.726,123,3,2,9,0,1
2000,Seibu Lions,takaya001his,Hisashi Takayama,18,4,9,8,3,1,0,0,0,0,0,0,1,4,0.125,0.222,0.125,0.347,1,0,0,0,0,0
2000,Seibu Lions,tamano001hir,Hiromasa Tamano,22,69,172,158,14,33,6,0,2,13,2,0,8,35,0.209,0.247,0.285,0.532,45,4,0,6,0,0
2000,Seibu Lions,ueda--001hir,Hiroaki Ueda#,31,77,20,15,9,2,0,0,0,0,3,2,0,2,0.133,0.133,0.133,0.267,2,1,0,5,0,0
2000,Seibu Lions,wada--001kaz,Kazuhiro Wada,28,55,189,170,20,52,10,0,1,24,9,2,15,17,0.306,0.36,0.382,0.742,65,6,1,0,3,0
