Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
2000,Yokohama Bay Stars,aikawa002ryo,Ryoji Aikawa,23,39,82,73,6,16,2,0,0,7,0,0,3,11,0.219,0.266,0.247,0.512,18,2,2,3,1,0
2000,Yokohama Bay Stars,akimot001koh,Kosaku Akimoto,32,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2000,Yokohama Bay Stars,arai--001yuk,Yukio Arai*,35,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,Yokohama Bay Stars,awano-001hid,Hideyuki Awano*,35,12,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2000,Yokohama Bay Stars,betanc001raf,Rafael Betancourt,25,11,7,7,0,2,0,0,0,2,0,0,0,2,0.286,0.286,0.286,0.571,2,0,0,0,0,0
2000,Yokohama Bay Stars,fukumo001kaz,Kazuo Fukumori,23,41,20,19,4,5,1,0,0,1,0,0,0,7,0.263,0.263,0.316,0.579,6,0,0,1,0,0
2000,Yokohama Bay Stars,haru--001tos,Toshio Haru,30,60,237,219,30,66,14,0,8,17,3,4,13,31,0.301,0.348,0.475,0.822,104,10,3,1,1,0
2000,Yokohama Bay Stars,hosomi001kaz,Kazushi Hosomi,27,13,19,18,0,1,0,0,0,1,0,0,0,8,0.056,0.053,0.056,0.108,1,0,0,0,1,0
2000,Yokohama Bay Stars,inoue-001jun,Jun Inoue*,30,61,67,62,9,15,1,0,0,4,3,0,4,25,0.242,0.284,0.258,0.542,16,0,0,0,1,1
2000,Yokohama Bay Stars,ishii-003tak,Takuro Ishii*,29,134,619,546,91,165,19,5,10,50,35,11,61,83,0.302,0.375,0.41,0.785,224,5,4,5,3,3
