Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
2001,Fukuoka Daiei Hawks,akiyam001koj,Koji Akiyama,39,82,287,269,31,77,13,3,11,32,1,0,17,43,0.286,0.331,0.48,0.811,129,6,1,0,0,0
2001,Fukuoka Daiei Hawks,arakan001his,Hisao Arakane,22,2,7,6,1,1,0,0,0,0,0,1,1,1,0.167,0.286,0.167,0.452,1,0,0,0,0,0
2001,Fukuoka Daiei Hawks,bonish001koj,Koji Bonishi*,32,40,74,63,2,12,0,0,0,5,0,0,6,10,0.191,0.292,0.191,0.482,12,1,3,2,0,0
2001,Fukuoka Daiei Hawks,deguch001yud,Yudai Deguchi,29,6,7,7,0,1,0,0,0,0,0,0,0,1,0.143,0.143,0.143,0.286,1,0,0,0,0,0
2001,Fukuoka Daiei Hawks,hamana001chi,Chihiro Hamana*,31,42,78,72,7,14,1,0,2,3,1,0,5,27,0.194,0.247,0.292,0.539,21,1,0,1,0,0
2001,Fukuoka Daiei Hawks,hayash001tak,Takaya Hayashi,28,49,21,18,4,4,0,0,1,6,0,0,2,7,0.222,0.3,0.389,0.689,7,0,0,1,0,0
2001,Fukuoka Daiei Hawks,honma-001mit,Mitsuru Homma*,28,29,59,56,9,11,1,1,2,6,0,0,1,14,0.196,0.211,0.357,0.568,20,2,0,2,0,0
2001,Fukuoka Daiei Hawks,iguchi001tad,Tadahito Iguchi,26,140,636,552,104,144,26,1,30,97,44,9,61,117,0.261,0.346,0.475,0.821,262,14,12,9,2,0
2001,Fukuoka Daiei Hawks,johjim001ken,Kenji Johjima,25,140,578,534,63,138,18,0,31,95,9,4,31,55,0.258,0.305,0.466,0.772,249,17,6,5,2,2
2001,Fukuoka Daiei Hawks,kawasa001mun,Munenori Kawasaki*,20,1,5,4,1,0,0,0,0,1,0,0,1,0,0,0.2,0,0.2,0,0,0,0,0,0
2001,Fukuoka Daiei Hawks,kokubo001hir,Hiroki Kokubo,29,138,605,535,108,155,32,1,44,123,6,1,62,97,0.29,0.364,0.6,0.964,321,6,3,0,5,3
2001,Fukuoka Daiei Hawks,matsun001nob,Nobuhiko Matsunaka*,27,130,551,479,81,160,29,0,36,122,2,0,57,77,0.334,0.412,0.62,1.032,297,6,10,0,5,5
2001,Fukuoka Daiei Hawks,mitche002ant,Tony Mitchell#,30,65,214,181,17,35,1,0,10,20,0,0,30,72,0.193,0.313,0.365,0.678,66,4,2,0,1,0
2001,Fukuoka Daiei Hawks,moriya001kaz,Kazuto Moriyama#,27,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,Fukuoka Daiei Hawks,murama001ari,Arihito Muramatsu*,28,121,261,242,34,60,3,6,0,18,14,2,15,28,0.248,0.293,0.31,0.603,75,4,1,2,1,1
2001,Fukuoka Daiei Hawks,nonoga001tak,Takeshi Nonogaki,29,48,75,68,7,15,2,0,1,5,2,0,2,17,0.221,0.254,0.294,0.548,20,4,1,4,0,0
2001,Fukuoka Daiei Hawks,okoshi001mot,Motoi Okoshi,30,81,27,26,12,6,0,1,0,1,4,0,1,3,0.231,0.259,0.308,0.567,8,0,0,0,0,0
2001,Fukuoka Daiei Hawks,ohmich001nor,Noriyoshi Omichi,31,104,335,302,35,98,20,0,5,36,0,3,24,36,0.325,0.374,0.44,0.814,133,4,1,6,2,0
2001,Fukuoka Daiei Hawks,ohno--001rin,Rin Ono,28,6,11,9,0,1,0,0,0,1,0,0,2,4,0.111,0.273,0.111,0.384,1,0,0,0,0,0
2001,Fukuoka Daiei Hawks,shibah001hir,Hiroshi Shibahara*,27,139,644,587,95,177,35,2,7,49,8,7,46,102,0.302,0.351,0.404,0.755,237,4,1,6,4,1
2001,Fukuoka Daiei Hawks,torigo001yus,Yusuke Torigoe,29,122,358,304,34,53,9,3,2,16,6,4,26,85,0.174,0.241,0.243,0.484,74,2,1,26,1,0
2001,Fukuoka Daiei Hawks,uchino001tok,Takashi Uchinokura,29,17,19,17,0,3,1,0,0,2,0,0,2,5,0.177,0.263,0.235,0.499,4,0,0,0,0,0
2001,Fukuoka Daiei Hawks,valdes001ped,Pedro Valdés*,28,137,611,526,95,163,31,0,21,81,1,1,77,85,0.31,0.394,0.489,0.883,257,13,0,2,6,4
2001,Fukuoka Daiei Hawks,yoshim001ryo,Ryo Yoshimoto,21,2,3,3,1,1,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0.667,1,0,0,0,0,0
