Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
2008,Yakult Swallows,aoki--001nor,Nori Aoki*,26,112,500,444,85,154,29,5,14,64,31,9,42,47,0.347,0.413,0.529,0.942,235,10,10,1,3,6
2008,Yakult Swallows,dougla001sea,Sean Douglass,29,8,12,11,0,1,0,0,0,0,0,0,0,8,0.091,0.091,0.091,0.182,1,0,0,1,0,0
2008,Yakult Swallows,fukuch001kaz,Kazuki Fukuchi#,32,131,532,485,74,155,22,7,9,61,42,13,29,90,0.32,0.366,0.45,0.815,218,7,8,7,3,0
2008,Yakult Swallows,fukuka001mas,Masakazu Fukukawa,31,105,287,241,22,50,7,1,7,35,1,2,34,59,0.208,0.306,0.332,0.638,80,8,1,9,2,5
2008,Yakult Swallows,gonzal001dic,Dicky Gonzalez,29,8,14,13,3,5,1,0,0,2,0,0,1,2,0.385,0.429,0.462,0.89,6,0,0,0,0,0
2008,Yakult Swallows,guiel-001aar,Aaron Guiel*,35,79,265,225,27,45,11,0,11,35,2,1,25,56,0.2,0.306,0.396,0.701,89,6,11,0,4,3
2008,Yakult Swallows,hagiwa001jun,Jun Hagiwara,34,25,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2008,Yakult Swallows,hatake001kaz,Kazuhiro Hatakeyama,25,121,479,416,43,116,22,2,9,58,2,1,53,84,0.279,0.364,0.406,0.77,169,11,5,1,4,2
2008,Yakult Swallows,iihara001yas,Yasushi Iihara,25,135,469,412,64,120,18,7,9,62,28,9,29,60,0.291,0.351,0.435,0.785,179,8,12,10,6,1
2008,Yakult Swallows,ishika001mas,Masanori Ishikawa*,28,31,64,53,2,9,1,0,0,3,0,0,1,15,0.17,0.185,0.189,0.374,10,0,0,10,0,0
2008,Yakult Swallows,kajimo001yus,Yusuke Kajimoto#,24,20,33,28,3,6,1,0,0,3,3,1,4,5,0.214,0.303,0.25,0.553,7,0,0,0,1,0
2008,Yakult Swallows,kamada001yuy,Yuya Kamada,29,16,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2008,Yakult Swallows,kato--001mik,Mikinori Kato*,23,8,5,4,0,2,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,2,0,0,1,0,0
2008,Yakult Swallows,kawaba001shi,Shingo Kawabata*,20,65,115,104,11,27,4,0,1,9,2,0,5,20,0.26,0.294,0.327,0.621,34,1,0,6,0,0
2008,Yakult Swallows,kawamo001ryo,Ryohei Kawamoto,26,65,176,154,18,39,12,1,2,21,0,1,12,50,0.253,0.324,0.383,0.707,59,6,5,3,2,1
2008,Yakult Swallows,kawash001kei,Keizo Kawashima,24,121,417,353,52,90,16,4,4,35,20,1,32,60,0.255,0.329,0.357,0.686,126,11,9,19,4,1
2008,Yakult Swallows,kawash001ryo,Ryo Kawashima*,26,20,36,27,3,4,0,0,0,1,0,0,0,4,0.148,0.148,0.148,0.296,4,0,0,9,0,0
2008,Yakult Swallows,kida--001mas,Masao Kida,39,19,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2008,Yakult Swallows,kinuga001ats,Atsushi Kinugawa,27,17,46,42,1,11,0,0,1,8,0,0,3,12,0.262,0.326,0.333,0.659,14,2,1,0,0,0
2008,Yakult Swallows,makita001usa,Usami Makitani,28,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2008,Yakult Swallows,manaka001mit,Mitsuru Manaka*,37,15,14,14,0,1,0,0,0,0,0,0,0,3,0.071,0.071,0.071,0.143,1,0,0,0,0,0
2008,Yakult Swallows,masubu001tat,Tatsuyoshi Masubuchi,20,13,20,17,0,2,0,0,0,0,0,0,2,6,0.118,0.211,0.118,0.328,2,0,0,1,0,0
2008,Yakult Swallows,matsui001kos,Kosuke Matsui,29,27,4,4,0,1,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0.5,1,0,0,0,0,0
2008,Yakult Swallows,matsum001yui,Yuichi Matsumoto*,27,80,147,134,9,34,7,0,0,15,0,0,10,21,0.254,0.303,0.306,0.609,41,4,0,2,1,0
2008,Yakult Swallows,matsuo001ken,Kenichi Matsuoka,26,65,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2008,Yakult Swallows,miyade001ryu,Ryuji Miyade,30,29,50,47,0,6,0,0,0,2,0,0,2,13,0.128,0.163,0.128,0.291,6,1,0,1,0,0
2008,Yakult Swallows,miyamo001shi,Shinya Miyamoto,37,116,482,422,47,130,11,0,3,32,3,3,26,52,0.308,0.354,0.356,0.709,150,10,5,27,2,0
2008,Yakult Swallows,murana001kyo,Kyohei Muranaka*,20,22,34,31,0,0,0,0,0,2,0,0,1,15,0,0.03,0,0.03,0,0,0,1,1,0
2008,Yakult Swallows,noguch001yos,Yoshiyuki Noguchi,27,17,34,29,8,8,1,2,2,6,1,1,5,5,0.276,0.382,0.655,1.038,19,0,0,0,0,0
2008,Yakult Swallows,onizak001yuj,Yuji Onizaki*,25,3,4,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2008,Yakult Swallows,ono---001kos,Kosei Ono,33,9,11,11,1,1,0,0,1,1,0,0,0,2,0.091,0.091,0.364,0.455,4,0,0,0,0,0
2008,Yakult Swallows,oshimo001tak,Takehiko Oshimoto,25,67,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2008,Yakult Swallows,riggs-001ada,Adam Riggs,35,30,103,94,9,19,3,0,3,11,0,1,8,25,0.202,0.272,0.33,0.602,31,3,1,0,0,0
2008,Yakult Swallows,rios--001dan,Danny Rios,35,11,20,18,1,1,0,0,0,0,0,0,0,6,0.056,0.056,0.056,0.111,1,0,0,2,0,0
2008,Yakult Swallows,saitoh001tak,Takayuki Saito*,32,25,27,26,2,6,2,0,0,2,0,0,1,4,0.231,0.259,0.308,0.567,8,0,0,0,0,0
2008,Yakult Swallows,sato--002yos,Yoshinori Satoh*,18,7,10,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0
2008,Yakult Swallows,shida-001mun,Munehiro Shida,29,40,53,45,6,10,1,0,0,1,3,1,4,5,0.222,0.286,0.244,0.53,11,2,0,4,0,0
2008,Yakult Swallows,shiroi001nor,Noriyuki Shiroishi,35,41,26,21,0,1,1,0,0,0,0,0,0,6,0.048,0.048,0.095,0.143,2,1,0,5,0,0
2008,Yakult Swallows,takaic001shu,Shun Takaichi,23,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0.5,0,0.5,0,0,0,0,0,0
2008,Yakult Swallows,takeuc001shi,Shinichi Takeuchi*,24,116,182,169,20,39,11,2,1,13,2,0,7,37,0.231,0.274,0.337,0.611,57,1,3,3,0,0
