Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
2009,Hokkaido Nippon Ham Fighters,botts-001jas,Jason Botts#,28,11,24,21,4,5,3,0,1,6,0,1,1,7,0.238,0.333,0.524,0.857,11,0,2,0,0,0
2009,Hokkaido Nippon Ham Fighters,darvis001yu-,Yu Darvish,22,23,6,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2009,Hokkaido Nippon Ham Fighters,fujii-001shu,Shugo Fujii*,32,22,3,3,0,1,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0.667,1,0,0,0,0,0
2009,Hokkaido Nippon Ham Fighters,iiyama001yuj,Yuji Iiyama,29,76,41,36,14,12,0,0,0,1,2,0,1,5,0.333,0.351,0.333,0.685,12,1,0,4,0,0
2009,Hokkaido Nippon Ham Fighters,imanam001tak,Takahiro Imanami*,24,5,4,4,0,1,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0.5,1,0,0,0,0,0
2009,Hokkaido Nippon Ham Fighters,inaba-001ats,Atsunori Inaba*,36,135,587,500,78,150,37,4,17,85,5,1,65,96,0.3,0.392,0.492,0.884,246,4,14,2,6,11
2009,Hokkaido Nippon Ham Fighters,inada-001nao,Naoto Inada*,29,65,67,65,4,18,3,0,0,7,1,0,2,7,0.277,0.299,0.323,0.622,21,1,0,0,0,0
2009,Hokkaido Nippon Ham Fighters,itoi--001yos,Yoshio Itoi*,27,131,496,425,74,130,40,3,15,58,24,6,46,93,0.306,0.381,0.52,0.901,221,6,6,18,1,8
2009,Hokkaido Nippon Ham Fighters,itokaz001kei,Keisaku Itokazu,24,13,5,5,0,1,0,0,0,0,0,0,0,2,0.2,0.2,0.2,0.4,1,0,0,0,0,0
2009,Hokkaido Nippon Ham Fighters,jimene004lui,Luis Jiménez*,27,39,127,121,13,28,5,0,5,14,0,0,5,35,0.231,0.268,0.397,0.664,48,4,1,0,0,0
2009,Hokkaido Nippon Ham Fighters,kaneko001mak,Makoto Kaneko,33,136,510,454,58,138,31,2,14,66,6,4,27,88,0.304,0.344,0.474,0.818,215,8,3,22,4,0
2009,Hokkaido Nippon Ham Fighters,kikuch001kaz,Kazumasa Kikuchi,27,58,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2009,Hokkaido Nippon Ham Fighters,konta-001tos,Toshimasa Konta*,28,56,75,65,11,15,2,1,0,4,2,1,4,22,0.231,0.271,0.292,0.564,19,0,0,5,1,1
2009,Hokkaido Nippon Ham Fighters,koyano001eii,Eiichi Koyano,28,138,581,530,65,157,33,4,11,82,7,1,27,95,0.296,0.336,0.436,0.772,231,21,6,16,2,3
2009,Hokkaido Nippon Ham Fighters,morimo001hic,Hichori Morimoto,28,107,404,316,50,78,14,4,1,29,9,2,43,52,0.247,0.341,0.326,0.667,103,2,2,43,0,0
2009,Hokkaido Nippon Ham Fighters,murata001kaz,Kazuya Murata*,23,44,61,55,15,16,1,2,0,5,8,1,4,9,0.291,0.339,0.382,0.721,21,1,0,2,0,0
2009,Hokkaido Nippon Ham Fighters,nakaji001sat,Satoshi Nakajima,40,3,4,3,1,1,0,0,0,0,0,1,0,1,0.333,0.333,0.333,0.667,1,0,0,1,0,0
2009,Hokkaido Nippon Ham Fighters,nakata001sho,Sho Nakata,20,22,38,36,3,10,2,0,0,1,0,0,1,15,0.278,0.29,0.333,0.623,12,0,0,0,1,0
2009,Hokkaido Nippon Ham Fighters,nioka-001tom,Tomohiro Nioka,33,69,187,170,25,43,5,0,4,25,0,1,10,36,0.253,0.303,0.353,0.656,60,5,3,2,2,0
2009,Hokkaido Nippon Ham Fighters,oda---001tom,Tomoyuki Oda*,30,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0
2009,Hokkaido Nippon Ham Fighters,ono---001sho,Shota Ohno,22,77,169,154,19,32,9,0,3,15,0,0,6,43,0.208,0.256,0.325,0.581,50,2,4,5,0,0
2009,Hokkaido Nippon Ham Fighters,sato--001yos,Yoshihiro Sato*,26,10,18,15,3,3,0,0,2,2,1,0,1,4,0.2,0.25,0.6,0.85,9,0,0,2,0,0
2009,Hokkaido Nippon Ham Fighters,sledge001ter,Terrmel Sledge*,32,117,487,418,53,111,27,1,27,88,1,0,58,108,0.266,0.359,0.529,0.888,221,12,6,0,5,0
2009,Hokkaido Nippon Ham Fighters,sweene001bri,Brian Sweeney,35,21,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2009,Hokkaido Nippon Ham Fighters,takagu001tak,Takayuki Takaguchi,25,3,7,5,0,0,0,0,0,0,0,0,2,1,0,0.286,0,0.286,0,0,0,0,0,0
2009,Hokkaido Nippon Ham Fighters,takaha002shi,Shinji Takahashi,30,134,558,508,66,157,22,1,8,75,7,2,35,78,0.309,0.358,0.404,0.761,205,16,5,7,3,1
2009,Hokkaido Nippon Ham Fighters,takeda001mas,Masaru Takeda*,30,24,6,4,0,0,0,0,0,0,0,0,1,3,0,0.2,0,0.2,0,0,0,1,0,0
2009,Hokkaido Nippon Ham Fighters,tanaka001ken,Kensuke Tanaka*,28,144,680,575,93,163,34,4,3,49,31,11,79,105,0.284,0.373,0.372,0.745,214,0,5,17,4,4
2009,Hokkaido Nippon Ham Fighters,tsuboi001tom,Tomochika Tsuboi*,35,84,156,146,13,39,8,0,0,15,0,0,5,23,0.267,0.292,0.322,0.614,47,4,1,2,2,1
