Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
2012,Hanshin Tigers,akiyam001tak,Takumi Akiyama*,21,2,3,3,1,1,0,0,0,0,0,0,0,2,0.333,0.333,0.333,0.667,1,0,0,0,0,0
2012,Hanshin Tigers,andoh-001yuy,Yuya Ando,34,13,21,21,1,2,0,0,0,0,0,0,0,10,0.095,0.095,0.095,0.19,2,0,0,0,0,0
2012,Hanshin Tigers,arai--001ryo,Ryota Arai,28,110,370,322,38,90,18,0,11,32,1,0,38,73,0.28,0.365,0.438,0.803,141,7,6,3,1,0
2012,Hanshin Tigers,arai--001tak,Takahiro Arai,35,122,493,460,46,115,25,0,9,52,1,3,30,85,0.25,0.296,0.363,0.659,167,12,1,0,2,2
2012,Hanshin Tigers,asai--001ryo,Ryo Asai,32,62,86,76,6,16,3,0,0,9,0,0,3,15,0.211,0.235,0.25,0.485,19,2,0,5,2,0
2012,Hanshin Tigers,brazel001cra,Craig Brazell*,32,98,295,275,21,64,11,0,12,43,0,0,18,72,0.233,0.285,0.404,0.688,111,16,2,0,0,0
2012,Hanshin Tigers,cheng-001kai,Kai Wen Cheng,23,10,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2012,Hanshin Tigers,fujii-001aki,Akihito Fujii,36,81,228,210,9,52,5,0,1,10,0,1,9,39,0.248,0.285,0.286,0.571,60,3,2,7,0,2
2012,Hanshin Tigers,fujika001shu,Shunsuke Fujikawa,24,82,74,65,10,12,0,0,0,4,1,1,2,14,0.185,0.206,0.185,0.391,12,1,0,6,1,0
2012,Hanshin Tigers,futaga000kaz,Kazuhito Futagami,25,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Hanshin Tigers,hirano001kei,Keiichi Hirano*,33,134,519,458,43,112,5,2,1,24,6,2,42,61,0.245,0.314,0.271,0.584,124,4,4,15,0,2
2012,Hanshin Tigers,hiyama001shi,Shinjiro Hiyama*,42,67,69,58,0,13,1,0,0,6,0,0,8,13,0.224,0.333,0.241,0.575,14,3,2,0,1,2
