Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
2015,Tohoku Rakuten Golden Eagles,abe---000tos,Toshihito Abe*,26,66,110,102,10,20,2,1,0,5,6,4,2,21,0.196,0.219,0.235,0.454,24,1,1,5,0,0
2015,Tohoku Rakuten Golden Eagles,akamin001gin,Ginji Akaminai*,27,82,354,316,24,95,10,1,1,36,8,3,30,19,0.301,0.359,0.348,0.707,110,5,1,3,4,1
2015,Tohoku Rakuten Golden Eagles,enomot000aoi,Aoi Enomoto*,22,15,19,18,3,1,0,0,0,0,0,0,1,5,0.056,0.105,0.056,0.161,1,0,0,0,0,0
2015,Tohoku Rakuten Golden Eagles,fernan000luc,Luciano Fernando,23,39,84,78,3,15,2,0,1,7,0,0,6,25,0.192,0.25,0.256,0.506,20,4,0,0,0,0
2015,Tohoku Rakuten Golden Eagles,fujita001kaz,Kazuya Fujita*,32,111,451,392,38,106,14,1,5,43,8,3,28,30,0.27,0.326,0.35,0.676,137,3,8,16,7,2
2015,Tohoku Rakuten Golden Eagles,fukuda001mas,Masayoshi Fukuda,23,67,210,185,20,40,7,0,1,12,5,8,13,45,0.216,0.277,0.27,0.548,50,2,3,8,1,0
2015,Tohoku Rakuten Golden Eagles,gotoh-001mit,Mitsutaka Goto*,36,117,444,413,31,98,18,0,9,42,13,8,12,48,0.237,0.265,0.346,0.611,143,8,5,10,4,0
2015,Tohoku Rakuten Golden Eagles,hijiri001ryo,Ryo Hijirisawa*,29,86,288,258,26,65,12,2,0,12,15,5,23,68,0.252,0.317,0.314,0.631,81,4,2,4,1,0
2015,Tohoku Rakuten Golden Eagles,ishimi001tad,Tadashi Ishimine*,30,54,149,133,13,32,5,0,3,14,0,1,12,36,0.241,0.308,0.346,0.654,46,2,1,3,0,0
2015,Tohoku Rakuten Golden Eagles,ito---000ryo,Ryota Ito*,25,8,23,22,2,6,1,0,2,2,1,0,0,5,0.273,0.304,0.591,0.895,13,1,1,0,0,0
2015,Tohoku Rakuten Golden Eagles,iwasak001tat,Tatsuro Iwasaki,30,44,42,38,5,10,1,0,0,6,0,0,2,12,0.263,0.3,0.29,0.59,11,0,0,2,0,0
2015,Tohoku Rakuten Golden Eagles,karash001wat,Wataru Karashima*,24,14,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015,Tohoku Rakuten Golden Eagles,kikuch001yas,Yasunori Kikuchi*,25,18,5,4,0,1,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0.5,1,1,0,1,0,0
2015,Tohoku Rakuten Golden Eagles,kitaga000rin,Rintaro Kitagawa*,22,31,86,79,8,17,3,0,0,4,3,1,6,19,0.215,0.267,0.253,0.521,20,2,0,0,1,0
2015,Tohoku Rakuten Golden Eagles,kosai-001yus,Yusuke Kosai*,32,17,47,43,2,6,1,0,0,2,0,0,3,14,0.14,0.192,0.163,0.354,7,2,0,0,1,0
2015,Tohoku Rakuten Golden Eagles,koseki000sho,Shota Koseki,23,40,78,68,6,11,1,0,1,5,0,1,3,12,0.162,0.208,0.221,0.429,15,3,1,6,0,0
2015,Tohoku Rakuten Golden Eagles,makida001aki,Akihisa Makida,33,82,172,151,17,47,5,1,1,14,4,3,14,14,0.311,0.377,0.378,0.754,57,7,3,2,2,0
2015,Tohoku Rakuten Golden Eagles,masuda001shi,Shintaro Masuda*,27,28,94,82,7,19,2,1,2,7,3,1,12,24,0.232,0.33,0.354,0.684,29,3,0,0,0,0
2015,Tohoku Rakuten Golden Eagles,matsui001kaz,Kazuo Matsui#,39,126,501,445,52,114,17,1,10,48,14,2,43,82,0.256,0.324,0.366,0.69,163,7,3,7,3,3
2015,Tohoku Rakuten Golden Eagles,mima--000man,Manabu Mima*,28,16,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2015,Tohoku Rakuten Golden Eagles,miyosh002tak,Takumi Miyoshi,22,9,33,29,2,6,1,1,0,3,0,0,1,9,0.207,0.258,0.31,0.568,9,1,1,2,0,0
2015,Tohoku Rakuten Golden Eagles,moriya001mak,Makoto Moriyama*,33,47,21,15,11,3,1,0,0,0,9,3,2,4,0.2,0.294,0.267,0.561,4,2,0,4,0,0
2015,Tohoku Rakuten Golden Eagles,murill001agu,Agustin Murillo,33,9,37,32,1,10,1,0,0,1,2,0,5,3,0.313,0.405,0.344,0.749,11,1,0,0,0,0
2015,Tohoku Rakuten Golden Eagles,nakaga001tai,Taishi Nakagawa,25,62,206,187,14,44,8,0,5,21,2,1,12,60,0.235,0.293,0.358,0.651,67,6,4,1,2,0
2015,Tohoku Rakuten Golden Eagles,nishid000tet,Tetsuro Nishida,23,62,183,168,19,37,7,0,1,8,2,4,11,44,0.22,0.268,0.28,0.548,47,4,0,4,0,0
2015,Tohoku Rakuten Golden Eagles,nishim001wat,Wataru Nishimura#,31,3,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0
2015,Tohoku Rakuten Golden Eagles,norimo000tak,Takahiro Norimoto*,24,28,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2015,Tohoku Rakuten Golden Eagles,okajim000tak,Takero Okajima*,25,41,155,137,13,23,5,2,1,13,7,2,12,15,0.168,0.232,0.256,0.487,35,0,0,4,2,0
2015,Tohoku Rakuten Golden Eagles,oyama-001kei,Keiji Oyama,34,6,6,5,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0
2015,Tohoku Rakuten Golden Eagles,pena--002wil,Wily Mo Peña,33,125,492,406,51,109,20,1,17,40,1,3,70,111,0.269,0.396,0.448,0.845,182,5,16,0,0,0
2015,Tohoku Rakuten Golden Eagles,ray---001ken,Ken Ray,40,22,3,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2015,Tohoku Rakuten Golden Eagles,sanche001gab,Gaby Sánchez,31,66,232,199,19,45,12,0,7,18,3,2,27,40,0.226,0.328,0.392,0.72,78,4,4,0,2,0
2015,Tohoku Rakuten Golden Eagles,shima-001mot,Motohiro Shima,30,117,411,338,28,74,9,1,4,18,6,3,60,69,0.219,0.338,0.287,0.625,97,11,1,11,1,4
2015,Tohoku Rakuten Golden Eagles,shimau002hir,Hiroaki Shimauchi*,25,25,81,74,6,15,2,3,0,6,5,1,4,6,0.203,0.241,0.311,0.551,23,0,0,2,1,0
2015,Tohoku Rakuten Golden Eagles,shiomi000tak,Takahiro Shiomi*,26,16,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015,Tohoku Rakuten Golden Eagles,wheele001zel,Zelous Wheeler,28,91,313,274,28,70,12,0,14,50,1,0,30,63,0.256,0.339,0.453,0.791,124,6,6,0,3,0
2015,Tohoku Rakuten Golden Eagles,yamasa001koj,Koji Yamasaki,34,40,80,71,4,10,1,0,0,2,0,0,1,12,0.141,0.153,0.155,0.308,11,1,0,8,0,0
