Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
2016,Fukuoka Softbank Hawks,akashi001ken,Kenji Akashi*,30,47,152,135,17,31,6,2,0,16,6,2,7,34,0.23,0.274,0.304,0.578,41,3,2,6,2,0
2016,Fukuoka Softbank Hawks,caniza001bar,Bárbaro Cañizares,36,16,42,39,3,7,1,0,0,3,0,0,2,11,0.18,0.238,0.205,0.443,8,1,1,0,0,0
2016,Fukuoka Softbank Hawks,egawa-001tom,Tomoaki Egawa,29,42,138,114,17,26,4,1,4,15,0,2,18,44,0.228,0.343,0.386,0.729,44,2,3,1,2,0
2016,Fukuoka Softbank Hawks,fukuda001shu,Shuhei Fukuda*,27,81,239,212,30,49,5,4,3,18,11,3,20,51,0.231,0.298,0.335,0.633,71,2,1,4,2,1
2016,Fukuoka Softbank Hawks,hasega001yuy,Yuya Hasegawa*,31,122,442,387,45,105,15,3,10,51,2,4,51,95,0.271,0.361,0.403,0.764,156,9,3,1,0,2
2016,Fukuoka Softbank Hawks,higash001nao,Nao Higashihama,26,23,7,3,0,0,0,0,0,0,0,0,2,2,0,0.4,0,0.4,0,0,0,2,0,0
2016,Fukuoka Softbank Hawks,honda-001yui,Yuichi Honda*,31,110,388,332,52,93,9,1,1,27,23,7,33,51,0.28,0.344,0.322,0.667,107,6,1,19,3,0
2016,Fukuoka Softbank Hawks,hosoka001too,Toru Hosokawa,36,49,115,93,6,21,2,0,1,6,1,0,6,28,0.226,0.28,0.28,0.56,26,4,1,15,0,0
2016,Fukuoka Softbank Hawks,imamiy000ken,Kenta Imamiya,24,137,590,497,74,122,22,5,10,56,8,4,47,86,0.246,0.312,0.37,0.682,184,7,3,38,5,0
2016,Fukuoka Softbank Hawks,inomot000ken,Kentaro Inomoto,25,5,10,8,0,0,0,0,0,0,0,0,1,5,0,0.2,0,0.2,0,0,1,0,0,0
2016,Fukuoka Softbank Hawks,iwasak001sho,Sho Iwasaki,26,35,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016,Fukuoka Softbank Hawks,kai---000tak,Takuya Kai,23,13,7,6,1,1,1,0,0,1,0,0,1,4,0.167,0.286,0.333,0.619,2,0,0,0,0,0
2016,Fukuoka Softbank Hawks,kamamo000go-,Go Kamamoto*,22,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016,Fukuoka Softbank Hawks,kaneko001kei,Keisuke Kaneko#,30,10,5,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
2016,Fukuoka Softbank Hawks,kawash001kei,Keizo Kawashima,32,20,50,40,4,5,0,0,0,3,0,3,8,10,0.125,0.286,0.125,0.411,5,0,1,1,0,0
2016,Fukuoka Softbank Hawks,kidoko001ryu,Ryuma Kidokoro*,30,84,162,148,32,39,6,1,6,19,11,1,11,45,0.264,0.315,0.439,0.754,65,0,0,3,0,0
2016,Fukuoka Softbank Hawks,makiha000tai,Taisei Makihara*,23,41,97,90,15,22,3,0,0,6,4,0,1,15,0.244,0.25,0.278,0.528,25,0,0,5,1,0
