Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
2018,Orix Buffaloes,adachi000ryo,Ryoichi Adachi,30,140,514,465,44,102,12,3,3,41,20,5,25,64,0.219,0.261,0.277,0.538,129,8,3,16,5,1
2018,Orix Buffaloes,albers001and,Andrew Albers,32,19,5,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
2018,Orix Buffaloes,fukuda002shu,Shuhei Fukuda*,25,113,345,295,39,78,8,4,1,15,16,9,31,33,0.264,0.34,0.329,0.669,97,2,3,16,0,0
2018,Orix Buffaloes,fusimi000tor,Torai Fushimi,28,76,201,186,16,51,14,1,1,17,0,0,12,39,0.274,0.325,0.376,0.701,70,6,2,1,0,0
2018,Orix Buffaloes,goto--000shu,Shunta Gotoh*,25,33,43,37,7,8,0,0,0,4,2,1,3,12,0.216,0.31,0.216,0.526,8,0,2,1,0,0
2018,Orix Buffaloes,higa--001mot,Motoki Higa,35,43,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2018,Orix Buffaloes,iida--000dai,Daisuke Iida,27,2,3,2,0,0,0,0,0,0,0,0,1,1,0,0.333,0,0.333,0,0,0,0,0,0
2018,Orix Buffaloes,ito---001hik,Hikaru Itoh,29,7,16,13,0,0,0,0,0,0,0,0,2,3,0,0.133,0,0.133,0,1,0,1,0,0
2018,Orix Buffaloes,kaneko001chi,Chihiro Kaneko*,34,17,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
2018,Orix Buffaloes,kojima000shu,Shuhei Kojima*,31,40,54,50,4,6,1,0,0,2,3,1,4,9,0.12,0.185,0.14,0.325,7,0,0,0,0,0
2018,Orix Buffaloes,koyano001eii,Eiichi Koyano,37,70,258,230,19,48,9,0,1,17,0,0,22,41,0.209,0.284,0.261,0.544,60,4,2,4,0,1
2018,Orix Buffaloes,kuroki000yut,Yuta Kuroki*,23,39,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2018,Orix Buffaloes,marrer002chr,Chris Marrero,29,68,245,219,22,44,12,1,11,26,1,0,24,68,0.201,0.282,0.416,0.697,91,5,1,0,1,0
2018,Orix Buffaloes,miyaza000yuk,Yuki Miyazaki,31,33,102,84,14,20,3,0,3,8,1,0,14,22,0.238,0.366,0.381,0.747,32,2,3,1,0,0
2018,Orix Buffaloes,mune--000yum,Yuma Mune*,22,74,289,266,28,62,16,3,5,22,3,2,15,53,0.233,0.281,0.372,0.653,99,1,3,4,1,1
2018,Orix Buffaloes,nakaji001hir,Hiroyuki Nakajima,35,77,251,225,13,65,7,0,5,34,0,0,21,38,0.289,0.356,0.387,0.743,87,8,3,1,1,2
2018,Orix Buffaloes,nishi-001yuk,Yuki Nishi,27,25,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2018,Orix Buffaloes,nishim011ryo,Ryo Nishimura,22,31,93,88,9,17,4,0,2,8,2,0,3,27,0.193,0.217,0.307,0.524,27,1,0,1,1,0
2018,Orix Buffaloes,nishin000mas,Masahiro Nishino*,27,60,207,188,21,55,8,4,0,16,7,3,12,28,0.293,0.333,0.378,0.711,71,5,0,6,1,1
2018,Orix Buffaloes,nishiu000hay,Hayato Nishiura*,19,2,7,6,0,1,0,0,0,0,1,1,1,3,0.167,0.286,0.167,0.452,1,0,0,0,0,0
2018,Orix Buffaloes,oda---000yuy,Yuya Oda*,28,90,164,143,25,41,5,1,2,15,10,2,12,38,0.287,0.348,0.378,0.725,54,4,3,3,3,0
2018,Orix Buffaloes,oshiro000koj,Koji Ohshiro,25,128,428,377,45,87,14,2,4,28,15,9,28,77,0.231,0.289,0.31,0.6,117,8,3,20,0,1
2018,Orix Buffaloes,okada-001tak,Takahiro Okada*,30,97,333,298,31,67,11,0,13,43,2,2,31,82,0.225,0.3,0.393,0.693,117,9,2,0,2,5
2018,Orix Buffaloes,romero003ste,Stefen Romero,29,119,501,443,63,105,18,1,25,63,7,2,42,114,0.237,0.313,0.452,0.765,200,10,10,0,6,2
2018,Orix Buffaloes,sano--000kod,Kodai Sano,21,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
2018,Orix Buffaloes,shiras000hir,Hiroyuki Shirasaki,27,30,73,67,4,16,5,0,1,9,0,0,3,20,0.239,0.288,0.358,0.646,24,1,2,0,1,0
2018,Orix Buffaloes,sugimo000yut,Yutaro Sugimoto,27,7,14,12,2,3,1,0,2,8,0,0,1,3,0.25,0.357,0.833,1.19,10,0,1,0,0,0
2018,Orix Buffaloes,suzuki000koh,Kohei Suzuki,27,43,22,17,6,3,0,0,0,0,0,0,0,4,0.177,0.263,0.177,0.44,3,1,2,3,0,0
2018,Orix Buffaloes,tajima000dai,Daiki Tajima*,21,12,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2018,Orix Buffaloes,takeda000ken,Kengo Takeda,24,69,107,95,12,21,4,1,1,12,0,0,2,20,0.221,0.245,0.316,0.561,30,2,2,5,3,0
2018,Orix Buffaloes,wakats000ken,Kenya Wakatsuki,22,114,302,269,22,66,9,2,1,27,1,0,7,80,0.245,0.269,0.305,0.574,82,6,2,23,1,0
2018,Orix Buffaloes,yamaas000tat,Tatsuya Yamaashi,24,25,72,60,8,10,2,0,1,7,2,0,7,15,0.167,0.286,0.25,0.536,15,2,3,2,0,0
2018,Orix Buffaloes,yamamo004yos,Yoshinobu Yamamoto,19,54,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2018,Orix Buffaloes,yamasa000sac,Sachiya Yamasaki*,25,7,3,3,0,1,0,0,0,0,0,0,0,2,0.333,0.333,0.333,0.667,1,0,0,0,0,0
2018,Orix Buffaloes,yamaza001kat,Katsuki Yamazaki,35,81,104,92,6,19,4,0,0,5,0,1,4,21,0.207,0.24,0.25,0.49,23,2,0,8,0,0
2018,Orix Buffaloes,yoshid002mas,Masataka Yoshida*,24,143,598,514,77,165,37,2,26,86,3,1,69,74,0.321,0.403,0.553,0.956,284,9,7,0,8,10
2018,Orix Buffaloes,yoshid001yut,Yuto Yoshida*,23,3,6,6,0,1,0,0,0,0,1,0,0,1,0.167,0.167,0.167,0.333,1,0,0,0,0,0
