Year,Team,PlayerID,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
2022,Chiba Lotte Marines,chatan000ken,Kenta Chatani,24,57,156,137,17,34,5,1,1,9,1,3,12,33,0.248,0.322,0.321,0.644,44,3,3,4,0,0
2022,Chiba Lotte Marines,fujiok000yud,Yudai Fujioka*,28,28,81,68,4,12,2,0,0,1,0,0,7,17,0.177,0.25,0.206,0.456,14,0,0,5,1,0
2022,Chiba Lotte Marines,fujiwa000kyo,Kyota Fujiwara*,22,49,126,115,10,24,2,0,1,5,9,0,9,23,0.209,0.272,0.252,0.524,29,1,1,1,0,1
2022,Chiba Lotte Marines,fukuda000kok,Koki Fukuda*,24,13,22,18,0,3,1,0,0,1,0,0,4,3,0.167,0.318,0.222,0.54,4,0,0,0,0,0
2022,Chiba Lotte Marines,fukuda001shu,Shuhei Fukuda*,33,20,48,41,3,7,1,0,0,4,1,0,7,13,0.171,0.292,0.195,0.487,8,0,0,0,0,0
2022,Chiba Lotte Marines,hechav001ade,Adeiny Hechavarría,33,76,257,243,19,54,13,0,2,20,4,0,10,48,0.222,0.251,0.3,0.551,73,5,0,2,2,0
2022,Chiba Lotte Marines,hirasa000tai,Taiga Hirasawa*,24,13,32,27,3,4,0,0,0,3,1,0,4,4,0.148,0.25,0.148,0.398,4,0,0,0,1,0
2022,Chiba Lotte Marines,ikeda-000rai,Raito Ikeda,22,11,22,22,1,2,1,0,0,0,0,0,0,6,0.091,0.091,0.136,0.227,3,0,0,0,0,0
2022,Chiba Lotte Marines,inoue-000sei,Seiya Inoue,32,60,232,199,23,49,14,0,7,34,0,0,29,54,0.246,0.345,0.422,0.767,84,2,2,0,2,0
2022,Chiba Lotte Marines,ishika000ayu,Ayumu Ishikawa,34,20,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
2022,Chiba Lotte Marines,kakinu000tom,Tomoya Kakinuma,29,34,23,19,1,3,0,0,0,0,0,0,0,4,0.158,0.158,0.158,0.316,3,1,0,4,0,0
2022,Chiba Lotte Marines,kakuna001kat,Katsuya Kakunaka*,35,53,138,129,10,33,4,0,1,11,1,2,9,35,0.256,0.304,0.31,0.614,40,0,0,0,0,0
2022,Chiba Lotte Marines,kato--006tak,Takuma Katoh,30,24,10,9,2,1,1,0,0,0,0,0,0,3,0.111,0.111,0.222,0.333,2,0,0,1,0,0
2022,Chiba Lotte Marines,kawamu001tok,Tokito Kawamura,25,4,2,2,0,1,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1,1,0,0,0,0,0
2022,Chiba Lotte Marines,laird-001bra,Brandon Laird,34,112,396,365,24,69,9,0,15,48,0,0,19,92,0.189,0.237,0.337,0.574,123,9,6,0,6,2
2022,Chiba Lotte Marines,martin007leo,Leonys Martín*,34,68,266,221,22,36,7,0,9,25,5,2,31,76,0.163,0.293,0.317,0.61,70,1,11,0,3,2
2022,Chiba Lotte Marines,matsuk000kou,Kou Matsukawa,18,76,212,185,12,32,5,0,0,14,1,0,18,60,0.173,0.245,0.2,0.445,37,7,0,8,1,0
2022,Chiba Lotte Marines,miki--000ryo,Ryo Miki,30,46,34,25,2,4,0,0,0,1,1,0,1,8,0.16,0.222,0.16,0.382,4,0,1,7,0,0
2022,Chiba Lotte Marines,mima--000man,Manabu Mima*,35,20,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022,Chiba Lotte Marines,motoma000fum,Fumiya Motomae*,24,12,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2022,Chiba Lotte Marines,nakamu000sho,Shogo Nakamura,30,138,596,498,52,128,31,0,12,68,15,6,70,86,0.257,0.354,0.392,0.746,195,13,10,9,9,3
2022,Chiba Lotte Marines,nishim003ken,Kenji Nishimaki,23,2,1,0,0,0,0,0,0,0,0,0,1,0,NA,1,NA,NA,0,0,0,0,0,0
