Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1952,Nishitetsu Lions,OF,oshita000hir,Hiroshi Oshita,98,NA,NA,NA,NA,NA,NA,NA
1952,Nishitetsu Lions,OF,sekigu000sei,Seiji Sekiguchi,92,NA,NA,NA,NA,NA,NA,NA
1952,Nishitetsu Lions,OF,odano-000kas,Kashiwa Odano,82,NA,NA,NA,NA,NA,NA,NA
1952,Nishitetsu Lions,OF,tsukam000ets,Etsuro Tsukamoto,80,NA,NA,NA,NA,NA,NA,NA
1952,Nishitetsu Lions,OF,nagato000yuk,Yukichi Nagatoshi,73,NA,NA,NA,NA,NA,NA,NA
1952,Nishitetsu Lions,OF,yatsun000tom,Tomoyuki Yatsunami,21,NA,NA,NA,NA,NA,NA,NA
1952,Nishitetsu Lions,OF,fukami000yas,Yasuhiro Fukami,12,NA,NA,NA,NA,NA,NA,NA
1952,Nishitetsu Lions,OF,chikam000kum,Kumeo Chikami,1,NA,NA,NA,NA,NA,NA,NA
1952,Nishitetsu Lions,OF,kinosh000isa,Isamu Kinoshita,1,NA,NA,NA,NA,NA,NA,NA
1952,Nishitetsu Lions,OF,tabe--000ter,Teruo Tabe,1,NA,NA,NA,NA,NA,NA,NA
