Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1954,Taiyo-Shochiku Robins,P,gondo-000mas,Masatoshi Gondo,38,NA,NA,NA,NA,NA,NA,NA
1954,Taiyo-Shochiku Robins,P,oishi-001mas,Masahiko Oishi,33,NA,NA,NA,NA,NA,NA,NA
1954,Taiyo-Shochiku Robins,P,sugika000kik,Kikuo Sugikawa,32,NA,NA,NA,NA,NA,NA,NA
1954,Taiyo-Shochiku Robins,P,eda---000tak,Takashi Eda,31,NA,NA,NA,NA,NA,NA,NA
1954,Taiyo-Shochiku Robins,P,kobaya000tsu,Tsuneo Kobayashi,21,NA,NA,NA,NA,NA,NA,NA
1954,Taiyo-Shochiku Robins,P,hattor000shi,Shigetsugu Hattori,20,NA,NA,NA,NA,NA,NA,NA
1954,Taiyo-Shochiku Robins,P,hayash000nao,Naoaki Hayashi,19,NA,NA,NA,NA,NA,NA,NA
1954,Taiyo-Shochiku Robins,P,takano000hir,Hiroyoshi Takano,16,NA,NA,NA,NA,NA,NA,NA
1954,Taiyo-Shochiku Robins,P,kanda-000mas,Masao Kanda,12,NA,NA,NA,NA,NA,NA,NA
1954,Taiyo-Shochiku Robins,P,ogiwar000tak,Takashi Ogihara,4,NA,NA,NA,NA,NA,NA,NA
1954,Taiyo-Shochiku Robins,P,arimur000ien,Ienari Arimura,3,NA,NA,NA,NA,NA,NA,NA
1954,Taiyo-Shochiku Robins,P,kitaga000his,Hisaji Kitagawa,2,NA,NA,NA,NA,NA,NA,NA
1954,Taiyo-Shochiku Robins,P,suzuki000koj,Koji Suzuki,1,NA,NA,NA,NA,NA,NA,NA
