Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1956,Hankyu Braves,P,kajimo000tak,Takao Kajimoto,68,NA,NA,NA,NA,NA,NA,NA
1956,Hankyu Braves,P,yoneda000tet,Tetsuya Yoneda,51,NA,NA,NA,NA,NA,NA,NA
1956,Hankyu Braves,P,abe---000hac,Hachiro Abe,44,NA,NA,NA,NA,NA,NA,NA
1956,Hankyu Braves,P,shibat000eij,Eiji Shibata,44,NA,NA,NA,NA,NA,NA,NA
1956,Hankyu Braves,P,taneda000hir,Hiroshi Taneda,41,NA,NA,NA,NA,NA,NA,NA
1956,Hankyu Braves,P,harada000koi,Koichi Harada,27,NA,NA,NA,NA,NA,NA,NA
1956,Hankyu Braves,P,kanagu000yos,Yosuke Kanagu,16,NA,NA,NA,NA,NA,NA,NA
1956,Hankyu Braves,P,kura--000fum,Fumio Kura,16,NA,NA,NA,NA,NA,NA,NA
1956,Hankyu Braves,P,suzuki000sac,Sachio Suzuki,7,NA,NA,NA,NA,NA,NA,NA
1956,Hankyu Braves,P,akimot000yus,Yusaku Akimoto,4,NA,NA,NA,NA,NA,NA,NA
1956,Hankyu Braves,P,arasun000tad,Tadashi Arasuna,3,NA,NA,NA,NA,NA,NA,NA
1956,Hankyu Braves,P,yamamo000kan,Kansuke Yamamoto,3,NA,NA,NA,NA,NA,NA,NA
