Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1956,Mainichi Orions,OF,yamauc001kaz,Kazuhiro Yamauchi,147,NA,NA,NA,NA,NA,NA,NA
1956,Mainichi Orions,OF,arakaw000hir,Hiroshi Arakawa,102,NA,NA,NA,NA,NA,NA,NA
1956,Mainichi Orions,OF,suzuki000hid,Hideyuki Suzuki,101,NA,NA,NA,NA,NA,NA,NA
1956,Mainichi Orions,OF,miyake001tak,Takuzo Miyake,91,NA,NA,NA,NA,NA,NA,NA
1956,Mainichi Orions,OF,hashim000chi,Chikara Hashimoto,52,NA,NA,NA,NA,NA,NA,NA
1956,Mainichi Orions,OF,otake-000hit,Hitoshi Otake,47,NA,NA,NA,NA,NA,NA,NA
1956,Mainichi Orions,OF,go----000sho,Shosei Go,36,NA,NA,NA,NA,NA,NA,NA
1956,Mainichi Orions,OF,betto-000kao,Kaoru Betto,31,NA,NA,NA,NA,NA,NA,NA
1956,Mainichi Orions,OF,mizuno000haj,Hajime Mizuno,18,NA,NA,NA,NA,NA,NA,NA
1956,Mainichi Orions,OF,numaza000koi,Koichiro Numazawa,17,NA,NA,NA,NA,NA,NA,NA
