Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1956,Toei Flyers,P,miyaza000sum,Sumiya Miyazawa,50,NA,NA,NA,NA,NA,NA,NA
1956,Toei Flyers,P,yoneka000yas,Yasuo Yonekawa,44,NA,NA,NA,NA,NA,NA,NA
1956,Toei Flyers,P,kanaya000kat,Katsumi Kanayama,42,NA,NA,NA,NA,NA,NA,NA
1956,Toei Flyers,P,tomina000tad,Kakuro Tominaga,41,NA,NA,NA,NA,NA,NA,NA
1956,Toei Flyers,P,fukush000iku,Ikuo Fukushima,35,NA,NA,NA,NA,NA,NA,NA
1956,Toei Flyers,P,hara--000tos,Toshitada Hara,33,NA,NA,NA,NA,NA,NA,NA
1956,Toei Flyers,P,unno--000nao,Naotake Unno,30,NA,NA,NA,NA,NA,NA,NA
1956,Toei Flyers,P,makino000nob,Noboru Makino,26,NA,NA,NA,NA,NA,NA,NA
1956,Toei Flyers,P,tarui-000kat,Seiichi Tarui,20,NA,NA,NA,NA,NA,NA,NA
1956,Toei Flyers,P,teraka000sho,Shoji Terakawa,13,NA,NA,NA,NA,NA,NA,NA
1956,Toei Flyers,P,kubota000osa,Osamu Kubota,11,NA,NA,NA,NA,NA,NA,NA
1956,Toei Flyers,P,yana--000nob,Nobuo Yana,9,NA,NA,NA,NA,NA,NA,NA
1956,Toei Flyers,P,dobash000mas,Masayuki Dobashi,4,NA,NA,NA,NA,NA,NA,NA
1956,Toei Flyers,P,terash000tor,Toru Terashima,1,NA,NA,NA,NA,NA,NA,NA
