Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1957,Kintetsu Pearls,P,kuroda000tsu,Tsutomu Kuroda,50,NA,NA,NA,NA,NA,NA,NA
1957,Kintetsu Pearls,P,ebara-000yos,Yoshimi Ebara,45,NA,NA,NA,NA,NA,NA,NA
1957,Kintetsu Pearls,P,yamash000nob,Noboru Yamashita,45,NA,NA,NA,NA,NA,NA,NA
1957,Kintetsu Pearls,P,takech000fum,Fumio Takechi,39,NA,NA,NA,NA,NA,NA,NA
1957,Kintetsu Pearls,P,itoh--001shi,Shiro Ito,38,NA,NA,NA,NA,NA,NA,NA
1957,Kintetsu Pearls,P,fukita000tos,Toshiaki Fukita,37,NA,NA,NA,NA,NA,NA,NA
1957,Kintetsu Pearls,P,sawafu000mit,Mitsuro Sawafuji,26,NA,NA,NA,NA,NA,NA,NA
1957,Kintetsu Pearls,P,arai--002tak,Takeshi Arai,13,NA,NA,NA,NA,NA,NA,NA
1957,Kintetsu Pearls,P,nagao-000mas,Masaru Nagao,12,NA,NA,NA,NA,NA,NA,NA
1957,Kintetsu Pearls,P,kashiw000kun,Kunio Kashiwagi,9,NA,NA,NA,NA,NA,NA,NA
1957,Kintetsu Pearls,P,nagai-000yas,Yasuo Nagai,9,NA,NA,NA,NA,NA,NA,NA
1957,Kintetsu Pearls,P,sato--000ryo,Ryoichi Sato,9,NA,NA,NA,NA,NA,NA,NA
1957,Kintetsu Pearls,P,ozawa-000fum,Fumio Ozawa,5,NA,NA,NA,NA,NA,NA,NA
1957,Kintetsu Pearls,P,tsuta-000yuk,Yukio Tsuta,3,NA,NA,NA,NA,NA,NA,NA
1957,Kintetsu Pearls,P,kitano000tsu,Tsutomu Kitano,2,NA,NA,NA,NA,NA,NA,NA
1957,Kintetsu Pearls,P,sekine000jun,Junzo Sekine,2,NA,NA,NA,NA,NA,NA,NA
