Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1957,Kokutetsu Swallows,P,kaneda002mas,Masaichi Kaneda,61,NA,NA,NA,NA,NA,NA,NA
1957,Kokutetsu Swallows,P,tadoko000zen,Zenjiro Tadokoro,56,NA,NA,NA,NA,NA,NA,NA
1957,Kokutetsu Swallows,P,owaki-000ter,Teruo Owaki,38,NA,NA,NA,NA,NA,NA,NA
1957,Kokutetsu Swallows,P,miyaji000yos,Yoshitomo Miyaji,31,NA,NA,NA,NA,NA,NA,NA
1957,Kokutetsu Swallows,P,kitaha000tos,Toshio Kitabatake,27,NA,NA,NA,NA,NA,NA,NA
1957,Kokutetsu Swallows,P,mitsub000sei,Seiji Mitsubayashi,21,NA,NA,NA,NA,NA,NA,NA
1957,Kokutetsu Swallows,P,inoue-000yos,Yoshiaki Inoue,18,NA,NA,NA,NA,NA,NA,NA
1957,Kokutetsu Swallows,P,tashir000ter,Terukatsu Tashiro,18,NA,NA,NA,NA,NA,NA,NA
1957,Kokutetsu Swallows,P,kuroiw000hir,Hiroshi Kuroiwa,17,NA,NA,NA,NA,NA,NA,NA
1957,Kokutetsu Swallows,P,koya--000tos,Toshio Koya,3,NA,NA,NA,NA,NA,NA,NA
1957,Kokutetsu Swallows,P,negoro000hir,Hiromitsu Negoro,3,NA,NA,NA,NA,NA,NA,NA
1957,Kokutetsu Swallows,P,murata000gen,Genichi Murata,1,NA,NA,NA,NA,NA,NA,NA
1957,Kokutetsu Swallows,P,saito-001yos,Yoshio Saito,1,NA,NA,NA,NA,NA,NA,NA
