Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1957,Mainichi Orions,P,ono---002sho,Shoichi Ono,55,NA,NA,NA,NA,NA,NA,NA
1957,Mainichi Orions,P,uemura000yos,Yoshinobu Uemura,47,NA,NA,NA,NA,NA,NA,NA
1957,Mainichi Orions,P,aramak000ats,Atsushi Aramaki,46,NA,NA,NA,NA,NA,NA,NA
1957,Mainichi Orions,P,nakani000kat,Katsumi Nakanishi,36,NA,NA,NA,NA,NA,NA,NA
1957,Mainichi Orions,P,wada--001isa,Isao Wada,29,NA,NA,NA,NA,NA,NA,NA
1957,Mainichi Orions,P,esaki-000ter,Teruo Esaki,28,NA,NA,NA,NA,NA,NA,NA
1957,Mainichi Orions,P,yamane001tos,Toshihide Yamane,24,NA,NA,NA,NA,NA,NA,NA
1957,Mainichi Orions,P,wako--000tom,Tomoo Wako,19,NA,NA,NA,NA,NA,NA,NA
1957,Mainichi Orions,P,nakaga001tak,Takashi Nakagawa,17,NA,NA,NA,NA,NA,NA,NA
1957,Mainichi Orions,P,shimiz003hir,Hirokazu Shimizu,8,NA,NA,NA,NA,NA,NA,NA
1957,Mainichi Orions,P,hattor000tak,Takeo Hattori,6,NA,NA,NA,NA,NA,NA,NA
1957,Mainichi Orions,P,mukai-000kik,Kikuzo Mukai,4,NA,NA,NA,NA,NA,NA,NA
1957,Mainichi Orions,P,umeno-000chi,Chikashi Umeno,1,NA,NA,NA,NA,NA,NA,NA
