Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1961,Daimai Orions,OF,yamauc001kaz,Kazuhiro Yamauchi,138,NA,NA,NA,NA,NA,NA,NA
1961,Daimai Orions,OF,tamiya000ken,Kenjiro Tamiya,130,NA,NA,NA,NA,NA,NA,NA
1961,Daimai Orions,OF,yato--000tak,Takao Yato,127,NA,NA,NA,NA,NA,NA,NA
1961,Daimai Orions,OF,komori000kos,Kosei Komori,60,NA,NA,NA,NA,NA,NA,NA
1961,Daimai Orions,OF,ishika000sus,Susumu Ishikawa,31,NA,NA,NA,NA,NA,NA,NA
1961,Daimai Orions,OF,kamijo000tak,Takahiro Kamijo,5,NA,NA,NA,NA,NA,NA,NA
1961,Daimai Orions,OF,nakaga001tak,Takashi Nakagawa,4,NA,NA,NA,NA,NA,NA,NA
1961,Daimai Orions,OF,inoue-000kat,Katsumi Inoue,2,NA,NA,NA,NA,NA,NA,NA
1961,Daimai Orions,OF,arakaw000hir,Hiroshi Arakawa,1,NA,NA,NA,NA,NA,NA,NA
1961,Daimai Orions,OF,desa--000dic,Dick DeSa,1,NA,NA,NA,NA,NA,NA,NA
1961,Daimai Orions,OF,miura-004mas,Masayoshi Miura,1,NA,NA,NA,NA,NA,NA,NA
1961,Daimai Orions,OF,nishit001wil,Bill Nishita,1,NA,NA,NA,NA,NA,NA,NA
1961,Daimai Orions,OF,uemura000yos,Yoshinobu Uemura,1,NA,NA,NA,NA,NA,NA,NA
1961,Daimai Orions,OF,wako--000tom,Tomoo Wako,1,NA,NA,NA,NA,NA,NA,NA
