Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1962,Taiyo Whales,P,akiyam000nob,Noboru Akiyama,72,NA,NA,NA,NA,NA,NA,NA
1962,Taiyo Whales,P,gondo-000mas,Masatoshi Gondo,68,NA,NA,NA,NA,NA,NA,NA
1962,Taiyo Whales,P,suzuki007tak,Takashi Suzuki,56,NA,NA,NA,NA,NA,NA,NA
1962,Taiyo Whales,P,inagaw000mak,Makoto Inagawa,55,NA,NA,NA,NA,NA,NA,NA
1962,Taiyo Whales,P,shimad000gen,Gentaro Shimada,47,NA,NA,NA,NA,NA,NA,NA
1962,Taiyo Whales,P,grunwa001alf,Al Grunwald,26,NA,NA,NA,NA,NA,NA,NA
1962,Taiyo Whales,P,shinod000soh,Sohei Shinoda,26,NA,NA,NA,NA,NA,NA,NA
1962,Taiyo Whales,P,oishi-001mas,Masahiko Oishi,11,NA,NA,NA,NA,NA,NA,NA
1962,Taiyo Whales,P,sasaki000kic,Yoshiro Sasaki,7,NA,NA,NA,NA,NA,NA,NA
1962,Taiyo Whales,P,osaki-000tak,Takao Osaki,6,NA,NA,NA,NA,NA,NA,NA
1962,Taiyo Whales,P,wako--000ter,Terumoto Wako,5,NA,NA,NA,NA,NA,NA,NA
1962,Taiyo Whales,P,sasaki000koi,Koichiro Sasaki,4,NA,NA,NA,NA,NA,NA,NA
1962,Taiyo Whales,P,hayama000jir,Jiro Hayama,2,NA,NA,NA,NA,NA,NA,NA
1962,Taiyo Whales,P,koda--001mas,Masaru Koda,2,NA,NA,NA,NA,NA,NA,NA
1962,Taiyo Whales,P,iwamot000yas,Yasuhide Iwamoto,1,NA,NA,NA,NA,NA,NA,NA
1962,Taiyo Whales,P,morita000sak,Sakan Morita,1,NA,NA,NA,NA,NA,NA,NA
