Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1963,Kokutetsu Swallows,OF,takaba000tsu,Tsuneo Takabayashi,136,NA,NA,NA,NA,NA,NA,NA
1963,Kokutetsu Swallows,OF,maruya000kan,Kanji Maruyama,120,NA,NA,NA,NA,NA,NA,NA
1963,Kokutetsu Swallows,OF,miyamo000tos,Toshio Miyamoto,112,NA,NA,NA,NA,NA,NA,NA
1963,Kokutetsu Swallows,OF,machid000yuk,Yukihiko Machida,109,NA,NA,NA,NA,NA,NA,NA
1963,Kokutetsu Swallows,OF,sato--005tak,Takao Sato,38,NA,NA,NA,NA,NA,NA,NA
1963,Kokutetsu Swallows,OF,wakebe000yos,Yoshio Wakebe,35,NA,NA,NA,NA,NA,NA,NA
1963,Kokutetsu Swallows,OF,takaya000tad,Tadakatsu Takayama,5,NA,NA,NA,NA,NA,NA,NA
1963,Kokutetsu Swallows,OF,ugai--000kat,Katsumi Ukai,4,NA,NA,NA,NA,NA,NA,NA
1963,Kokutetsu Swallows,OF,akagi-000ken,Kenichi Akagi,1,NA,NA,NA,NA,NA,NA,NA
1963,Kokutetsu Swallows,OF,saito-001yos,Yoshio Saito,1,NA,NA,NA,NA,NA,NA,NA
