Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1964,Nishitetsu Lions,P,inoue-002yos,Yoshio Inoue,60,NA,NA,NA,NA,NA,NA,NA
1964,Nishitetsu Lions,P,yoda--000yor,Yoshinobu Yoda,60,NA,NA,NA,NA,NA,NA,NA
1964,Nishitetsu Lions,P,tanaka000tsu,Tsutomu Tanaka,52,NA,NA,NA,NA,NA,NA,NA
1964,Nishitetsu Lions,P,abe---001kaz,Kazuharu Abe,49,NA,NA,NA,NA,NA,NA,NA
1964,Nishitetsu Lions,P,wako--000tad,Tadao Wako,41,NA,NA,NA,NA,NA,NA,NA
1964,Nishitetsu Lions,P,ando--000tos,Toshio Ando,39,NA,NA,NA,NA,NA,NA,NA
1964,Nishitetsu Lions,P,sei---000tos,Toshihiko Sei,35,NA,NA,NA,NA,NA,NA,NA
1964,Nishitetsu Lions,P,sugima000osa,Isao Sugimachi,25,NA,NA,NA,NA,NA,NA,NA
1964,Nishitetsu Lions,P,hata--000tak,Takayuki Hata,15,NA,NA,NA,NA,NA,NA,NA
1964,Nishitetsu Lions,P,inao--000kaz,Kazuhisa Inao,6,NA,NA,NA,NA,NA,NA,NA
1964,Nishitetsu Lions,P,maita-000tos,Toshimi Maita,6,NA,NA,NA,NA,NA,NA,NA
1964,Nishitetsu Lions,P,oba---000kiy,Kiyoshi Oba,4,NA,NA,NA,NA,NA,NA,NA
1964,Nishitetsu Lions,P,ishida000its,Itsuo Ishida,2,NA,NA,NA,NA,NA,NA,NA
1964,Nishitetsu Lions,P,shimok000mit,Mitsuyasu Shimokawa,1,NA,NA,NA,NA,NA,NA,NA
