Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1965,Taiyo Whales,OF,osada-000yuk,Yukio Osada,128,NA,NA,NA,NA,NA,NA,NA
1965,Taiyo Whales,OF,kuroki000mot,Motoyasu Kuroki,112,NA,NA,NA,NA,NA,NA,NA
1965,Taiyo Whales,OF,kondo-000kaz,Kazuhiko Kondo,107,NA,NA,NA,NA,NA,NA,NA
1965,Taiyo Whales,OF,shigem000sho,Shozo Shigematsu,103,NA,NA,NA,NA,NA,NA,NA
1965,Taiyo Whales,OF,mori--000tor,Toru Mori,60,NA,NA,NA,NA,NA,NA,NA
1965,Taiyo Whales,OF,kanemi000hid,Hidenori Kanemitsu,53,NA,NA,NA,NA,NA,NA,NA
1965,Taiyo Whales,OF,kusaka000mas,Masakatsu Kusaka,10,NA,NA,NA,NA,NA,NA,NA
1965,Taiyo Whales,OF,ejiri-000aki,Akira Ejiri,8,NA,NA,NA,NA,NA,NA,NA
1965,Taiyo Whales,OF,tsuji-001yos,Yoshiyuki Tsuji,6,NA,NA,NA,NA,NA,NA,NA
1965,Taiyo Whales,OF,hiraya000yos,Yoshihiro Hirayama,5,NA,NA,NA,NA,NA,NA,NA
1965,Taiyo Whales,OF,aso---000san,Saneo Aso,3,NA,NA,NA,NA,NA,NA,NA
1965,Taiyo Whales,OF,krsnic001mic,Mike Krsnich,3,NA,NA,NA,NA,NA,NA,NA
1965,Taiyo Whales,OF,yamada000tad,Tadao Yamada,3,NA,NA,NA,NA,NA,NA,NA
1965,Taiyo Whales,OF,sasaki000kic,Yoshiro Sasaki,2,NA,NA,NA,NA,NA,NA,NA
1965,Taiyo Whales,OF,yamada000yut,Yutaka Yamada,2,NA,NA,NA,NA,NA,NA,NA
1965,Taiyo Whales,OF,abe---000nar,Narihiro Abe,1,NA,NA,NA,NA,NA,NA,NA
1965,Taiyo Whales,OF,haba--000yuj,Yuji Haba,1,NA,NA,NA,NA,NA,NA,NA
1965,Taiyo Whales,OF,hayash000ken,Kenzo Hayashi,1,NA,NA,NA,NA,NA,NA,NA
1965,Taiyo Whales,OF,imai--000tsu,Tsutomu Imai,1,NA,NA,NA,NA,NA,NA,NA
1965,Taiyo Whales,OF,ono---002sho,Shoichi Ono,1,NA,NA,NA,NA,NA,NA,NA
1965,Taiyo Whales,OF,shimad000yuk,Yukio Shimada,1,NA,NA,NA,NA,NA,NA,NA
1965,Taiyo Whales,OF,takama000nob,Nobutsugu Takamatsu,1,NA,NA,NA,NA,NA,NA,NA
