Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1966,Sankei Atoms,P,suzuki000kiy,Kiyotake Suzuki,62,NA,NA,NA,NA,NA,NA,NA
1966,Sankei Atoms,P,ishido000shi,Shiroku Ishido,50,NA,NA,NA,NA,NA,NA,NA
1966,Sankei Atoms,P,murata000gen,Genichi Murata,39,NA,NA,NA,NA,NA,NA,NA
1966,Sankei Atoms,P,sato--000sus,Susumu Sato,39,NA,NA,NA,NA,NA,NA,NA
1966,Sankei Atoms,P,tatsum000haj,Hajimu Tatsumi,38,NA,NA,NA,NA,NA,NA,NA
1966,Sankei Atoms,P,ishiok000koz,Kozo Ishioka,33,NA,NA,NA,NA,NA,NA,NA
1966,Sankei Atoms,P,shibut000sei,Seiji Shibutani,32,NA,NA,NA,NA,NA,NA,NA
1966,Sankei Atoms,P,morita002yos,Yoshimi Moritaki,20,NA,NA,NA,NA,NA,NA,NA
1966,Sankei Atoms,P,aizawa000mas,Masaru Ogata,17,NA,NA,NA,NA,NA,NA,NA
1966,Sankei Atoms,P,tomina000tad,Kakuro Tominaga,5,NA,NA,NA,NA,NA,NA,NA
1966,Sankei Atoms,P,hanzaw000shi,Shiro Hanzawa,3,NA,NA,NA,NA,NA,NA,NA
1966,Sankei Atoms,P,hosoda000mas,Masahiko Hosoda,3,NA,NA,NA,NA,NA,NA,NA
1966,Sankei Atoms,P,watana000kaz,Kazushi Watanabe,3,NA,NA,NA,NA,NA,NA,NA
1966,Sankei Atoms,P,taigo-000tos,Toshimitsu Daigo,1,NA,NA,NA,NA,NA,NA,NA
1966,Sankei Atoms,P,hamagu000mas,Masanobu Hamaguchi,1,NA,NA,NA,NA,NA,NA,NA
