Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1966,Tokyo Orions,OF,palys-001sta,Stan Palys,110,NA,NA,NA,NA,NA,NA,NA
1966,Tokyo Orions,OF,iishii000rei,Reiji Iishi,104,NA,NA,NA,NA,NA,NA,NA
1966,Tokyo Orions,OF,mori--000tor,Toru Mori,98,NA,NA,NA,NA,NA,NA,NA
1966,Tokyo Orions,OF,ikebe-000tak,Takenori Ikebe,94,NA,NA,NA,NA,NA,NA,NA
1966,Tokyo Orions,OF,nishid001tak,Takayuki Nishida,92,NA,NA,NA,NA,NA,NA,NA
1966,Tokyo Orions,OF,yato--000tak,Takao Yato,40,NA,NA,NA,NA,NA,NA,NA
1966,Tokyo Orions,OF,kitaru000mas,Masaaki Kitaru,4,NA,NA,NA,NA,NA,NA,NA
1966,Tokyo Orions,OF,tsumas000yos,Yoshiro Tsumajima,4,NA,NA,NA,NA,NA,NA,NA
1966,Tokyo Orions,OF,kurimo000mit,Mitsuaki Kurimoto,3,NA,NA,NA,NA,NA,NA,NA
1966,Tokyo Orions,OF,koyama000mas,Masaaki Koyama,2,NA,NA,NA,NA,NA,NA,NA
1966,Tokyo Orions,OF,sakai-000kat,Katsuji Sakai,2,NA,NA,NA,NA,NA,NA,NA
1966,Tokyo Orions,OF,ishita000kui,Kunihiro Ishitani,1,NA,NA,NA,NA,NA,NA,NA
1966,Tokyo Orions,OF,nishiy002kaz,Kazuyoshi Nishiyama,1,NA,NA,NA,NA,NA,NA,NA
1966,Tokyo Orions,OF,osaka-000mas,Masahiko Osaka,1,NA,NA,NA,NA,NA,NA,NA
1966,Tokyo Orions,OF,ryu---000tak,Takayuki Ryu,1,NA,NA,NA,NA,NA,NA,NA
1966,Tokyo Orions,OF,sakota000shi,Shichiro Sakota,1,NA,NA,NA,NA,NA,NA,NA
1966,Tokyo Orions,OF,satomi000sus,Susumu Satomi,1,NA,NA,NA,NA,NA,NA,NA
1966,Tokyo Orions,OF,tsujin000kin,Kinya Tsujino,1,NA,NA,NA,NA,NA,NA,NA
1966,Tokyo Orions,OF,yokoya000koj,Kojiro Yokoyama,1,NA,NA,NA,NA,NA,NA,NA
