Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1968,Hiroshima Toyo Carp,P,aniya-000soh,Sohachi Aniya,57,NA,NA,NA,NA,NA,NA,NA
1968,Hiroshima Toyo Carp,P,sotoko000yos,Yoshiro Sotokoba,45,NA,NA,NA,NA,NA,NA,NA
1968,Hiroshima Toyo Carp,P,oba---000sus,Susumu Oba,38,NA,NA,NA,NA,NA,NA,NA
1968,Hiroshima Toyo Carp,P,ryu---000ken,Kenichi Ryu,34,NA,NA,NA,NA,NA,NA,NA
1968,Hiroshima Toyo Carp,P,miyosh000yuk,Yukio Miyoshi,30,NA,NA,NA,NA,NA,NA,NA
1968,Hiroshima Toyo Carp,P,shirai000shi,Shizuo Shiraishi,29,NA,NA,NA,NA,NA,NA,NA
1968,Hiroshima Toyo Carp,P,jono--000kat,Katsuhiro Jono,20,NA,NA,NA,NA,NA,NA,NA
1968,Hiroshima Toyo Carp,P,oishi-000yat,Yataro Oishi,20,NA,NA,NA,NA,NA,NA,NA
1968,Hiroshima Toyo Carp,P,akimot000yus,Yusaku Akimoto,15,NA,NA,NA,NA,NA,NA,NA
1968,Hiroshima Toyo Carp,P,ikeda-000hid,Hidetoshi Ikeda,11,NA,NA,NA,NA,NA,NA,NA
1968,Hiroshima Toyo Carp,P,nishik000kat,Katsuhiro Nishikawa,11,NA,NA,NA,NA,NA,NA,NA
1968,Hiroshima Toyo Carp,P,hasato000isa,Isao Hasato,4,NA,NA,NA,NA,NA,NA,NA
1968,Hiroshima Toyo Carp,P,nakamu000mit,Mitsuya Nakamura,3,NA,NA,NA,NA,NA,NA,NA
1968,Hiroshima Toyo Carp,P,nishim000aki,Akikazu Nishimoto,3,NA,NA,NA,NA,NA,NA,NA
1968,Hiroshima Toyo Carp,P,yagi--000tak,Takashi Yagi,3,NA,NA,NA,NA,NA,NA,NA
1968,Hiroshima Toyo Carp,P,miyamo000yoj,Yojiro Miyamoto,2,NA,NA,NA,NA,NA,NA,NA
