Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1969,Nankai Hawks,P,watana000tai,Taisuke Watanabe,36,NA,NA,NA,NA,NA,NA,NA
1969,Nankai Hawks,P,minaga000mut,Mutsuo Minagawa,33,NA,NA,NA,NA,NA,NA,NA
1969,Nankai Hawks,P,miura-000kiy,Kiyohiro Miura,33,NA,NA,NA,NA,NA,NA,NA
1969,Nankai Hawks,P,muraka001mas,Masanori Murakami,31,NA,NA,NA,NA,NA,NA,NA
1969,Nankai Hawks,P,sugiur000tad,Tadashi Sugiura,30,NA,NA,NA,NA,NA,NA,NA
1969,Nankai Hawks,P,nishio000san,Sanshiro Nishioka,29,NA,NA,NA,NA,NA,NA,NA
1969,Nankai Hawks,P,izumi-000yos,Yoshiro Izumi,28,NA,NA,NA,NA,NA,NA,NA
1969,Nankai Hawks,P,sato--000kim,Kimihiro Sato,22,NA,NA,NA,NA,NA,NA,NA
1969,Nankai Hawks,P,hayash000tos,Toshihiro Hayashi,19,NA,NA,NA,NA,NA,NA,NA
1969,Nankai Hawks,P,goda--000eiz,Eizo Goda,17,NA,NA,NA,NA,NA,NA,NA
1969,Nankai Hawks,P,niiyam000aki,Akitada Niiyama,10,NA,NA,NA,NA,NA,NA,NA
1969,Nankai Hawks,P,nishim000sho,Shozo Nishimura,10,NA,NA,NA,NA,NA,NA,NA
1969,Nankai Hawks,P,ueda--001tak,Takuzo Ueda,6,NA,NA,NA,NA,NA,NA,NA
1969,Nankai Hawks,P,maeda-002shi,Shiro Maeda,3,NA,NA,NA,NA,NA,NA,NA
1969,Nankai Hawks,P,takaha002sat,Satoshi Takahashi,2,NA,NA,NA,NA,NA,NA,NA
