Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1970,Osaka Kintetsu Buffaloes,P,sei---000tos,Toshihiko Sei,46,NA,NA,NA,NA,NA,NA,NA
1970,Osaka Kintetsu Buffaloes,P,suzuki000kei,Keishi Suzuki,45,NA,NA,NA,NA,NA,NA,NA
1970,Osaka Kintetsu Buffaloes,P,sasaki000koi,Koichiro Sasaki,43,NA,NA,NA,NA,NA,NA,NA
1970,Osaka Kintetsu Buffaloes,P,bando-000sat,Satomi Bando,39,NA,NA,NA,NA,NA,NA,NA
1970,Osaka Kintetsu Buffaloes,P,kanbe-000tos,Toshio Kanbe,38,NA,NA,NA,NA,NA,NA,NA
1970,Osaka Kintetsu Buffaloes,P,ota---000koj,Koji Ota,25,NA,NA,NA,NA,NA,NA,NA
1970,Osaka Kintetsu Buffaloes,P,handa-000min,Minoru Handa,24,NA,NA,NA,NA,NA,NA,NA
1970,Osaka Kintetsu Buffaloes,P,okada-000mit,Mitsuo Okada,17,NA,NA,NA,NA,NA,NA,NA
1970,Osaka Kintetsu Buffaloes,P,onosak000kiy,Kiyoshi Onozaka,13,NA,NA,NA,NA,NA,NA,NA
1970,Osaka Kintetsu Buffaloes,P,igaras002hid,Hideo Igarashi,6,NA,NA,NA,NA,NA,NA,NA
1970,Osaka Kintetsu Buffaloes,P,hashim003tak,Takashi Hashimoto,1,NA,NA,NA,NA,NA,NA,NA
1970,Osaka Kintetsu Buffaloes,P,kawauc000yas,Yasuo Kawauchi,1,NA,NA,NA,NA,NA,NA,NA
1970,Osaka Kintetsu Buffaloes,P,mizuta001hir,Hiroshi Mizutani,1,NA,NA,NA,NA,NA,NA,NA
