Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1970,Toei Flyers,OF,haku--000jin,In-cheon Paek,127,NA,NA,NA,NA,NA,NA,NA
1970,Toei Flyers,OF,harimo000isa,Isao Harimoto,125,NA,NA,NA,NA,NA,NA,NA
1970,Toei Flyers,OF,busuji000sho,Shoichi Busujima,80,NA,NA,NA,NA,NA,NA,NA
1970,Toei Flyers,OF,hagiwa000chi,Chiaki Hagiwara,59,NA,NA,NA,NA,NA,NA,NA
1970,Toei Flyers,OF,sedoha000his,Hisashi Sedohara,46,NA,NA,NA,NA,NA,NA,NA
1970,Toei Flyers,OF,morton001wyc,Bubba Morton,28,NA,NA,NA,NA,NA,NA,NA
1970,Toei Flyers,OF,yoshid000mak,Makoto Yoshida,18,NA,NA,NA,NA,NA,NA,NA
1970,Toei Flyers,OF,sakudo000sus,Susumu Sakudo,16,NA,NA,NA,NA,NA,NA,NA
1970,Toei Flyers,OF,oishi-000kat,Katsuhiko Oishi,11,NA,NA,NA,NA,NA,NA,NA
1970,Toei Flyers,OF,ando--000jun,Junzo Ando,2,NA,NA,NA,NA,NA,NA,NA
1970,Toei Flyers,OF,misawa000kes,Kesaharu Misawa,2,NA,NA,NA,NA,NA,NA,NA
1970,Toei Flyers,OF,inoue-002mas,Masaharu Inoue,1,NA,NA,NA,NA,NA,NA,NA
