Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1971,Chunichi Dragons,OF,yazawa000ken,Kenichi Yazawa,119,NA,NA,NA,NA,NA,NA,NA
1971,Chunichi Dragons,OF,naka--000tos,Toshio Naka,98,NA,NA,NA,NA,NA,NA,NA
1971,Chunichi Dragons,OF,ejima-000tak,Takumi Ejima,95,NA,NA,NA,NA,NA,NA,NA
1971,Chunichi Dragons,OF,hishik000aki,Akira Hishikawa,93,NA,NA,NA,NA,NA,NA,NA
1971,Chunichi Dragons,OF,oshima000yas,Yasunori Oshima,62,NA,NA,NA,NA,NA,NA,NA
1971,Chunichi Dragons,OF,takagi000tok,Tokio Takagi,25,NA,NA,NA,NA,NA,NA,NA
1971,Chunichi Dragons,OF,kimata000tat,Tatsuhiko Kimata,13,NA,NA,NA,NA,NA,NA,NA
1971,Chunichi Dragons,OF,takagi000mor,Morimichi Takagi,13,NA,NA,NA,NA,NA,NA,NA
1971,Chunichi Dragons,OF,inaba-000mit,Mitsuo Inaba,3,NA,NA,NA,NA,NA,NA,NA
1971,Chunichi Dragons,OF,koizum000tsu,Tsunemi Koizumi,3,NA,NA,NA,NA,NA,NA,NA
1971,Chunichi Dragons,OF,matsum002yuk,Yukitsura Matsumoto,2,NA,NA,NA,NA,NA,NA,NA
1971,Chunichi Dragons,OF,tanabe000osa,Osamu Tanabe,2,NA,NA,NA,NA,NA,NA,NA
1971,Chunichi Dragons,OF,chihar000yoz,Yozaburo Chihara,1,NA,NA,NA,NA,NA,NA,NA
1971,Chunichi Dragons,OF,kawaba002kaz,Kazuto Kawabata,1,NA,NA,NA,NA,NA,NA,NA
1971,Chunichi Dragons,OF,shibuy000yuk,Yukiharu Shibuya,1,NA,NA,NA,NA,NA,NA,NA
1971,Chunichi Dragons,OF,takeuc001hir,Hiroshi Takeuchi,1,NA,NA,NA,NA,NA,NA,NA
