Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1972,Osaka Kintetsu Buffaloes,3B,sekine000tom,Tomoo Sekine,79,NA,NA,NA,NA,NA,NA,NA
1972,Osaka Kintetsu Buffaloes,3B,yasui-000tos,Tomonori Yasui,37,NA,NA,NA,NA,NA,NA,NA
1972,Osaka Kintetsu Buffaloes,3B,hattor000tos,Toshikazu Hattori,34,NA,NA,NA,NA,NA,NA,NA
1972,Osaka Kintetsu Buffaloes,3B,sasaki000kyo,Kyosuke Sasaki,25,NA,NA,NA,NA,NA,NA,NA
1972,Osaka Kintetsu Buffaloes,3B,sano--000kat,Katsutoshi Sano,22,NA,NA,NA,NA,NA,NA,NA
1972,Osaka Kintetsu Buffaloes,3B,hankin001ter,Terry Hankins,19,NA,NA,NA,NA,NA,NA,NA
1972,Osaka Kintetsu Buffaloes,3B,nishim000shu,Shunji Nishimura,13,NA,NA,NA,NA,NA,NA,NA
1972,Osaka Kintetsu Buffaloes,3B,nakaza000har,Haruo Nakazawa,3,NA,NA,NA,NA,NA,NA,NA
1972,Osaka Kintetsu Buffaloes,3B,ise---000tak,Takao Ise,2,NA,NA,NA,NA,NA,NA,NA
1972,Osaka Kintetsu Buffaloes,3B,tameik000tos,Toshitaka Tameike,2,NA,NA,NA,NA,NA,NA,NA
1972,Osaka Kintetsu Buffaloes,3B,mizuta001hir,Hiroshi Mizutani,1,NA,NA,NA,NA,NA,NA,NA
