Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1972,Toei Flyers,3B,takaha001hir,Hiroshi Takahashi,87,NA,NA,NA,NA,NA,NA,NA
1972,Toei Flyers,3B,suenag000yos,Yoshiyuki Suenaga,44,NA,NA,NA,NA,NA,NA,NA
1972,Toei Flyers,3B,nakaha000mas,Katsutoshi Nakahara,36,NA,NA,NA,NA,NA,NA,NA
1972,Toei Flyers,3B,yaezaw000ken,Kenichi Yaezawa,10,NA,NA,NA,NA,NA,NA,NA
1972,Toei Flyers,3B,christ002rob,Bob Christian,6,NA,NA,NA,NA,NA,NA,NA
1972,Toei Flyers,3B,minaga000yas,Yasuo Minagawa,2,NA,NA,NA,NA,NA,NA,NA
1972,Toei Flyers,3B,saruwa000hir,Hiroshige Saruwatari,2,NA,NA,NA,NA,NA,NA,NA
1972,Toei Flyers,3B,uda---000tos,Toshoku Uda,2,NA,NA,NA,NA,NA,NA,NA
1972,Toei Flyers,3B,yamamo000tsu,Tsuneyoshi Yamamoto,2,NA,NA,NA,NA,NA,NA,NA
1972,Toei Flyers,3B,yokoya000har,Haruhisa Yokoyama,2,NA,NA,NA,NA,NA,NA,NA
1972,Toei Flyers,3B,fujiwa000mak,Makoto Fujiwara,1,NA,NA,NA,NA,NA,NA,NA
1972,Toei Flyers,3B,kamano000yut,Yutaka Kamano,1,NA,NA,NA,NA,NA,NA,NA
