Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1973,Yakult Atoms,1B,oda---000yos,Yoshihito Oda,67,NA,NA,NA,NA,NA,NA,NA
1973,Yakult Atoms,1B,funada000kaz,Kazuhide Funada,42,NA,NA,NA,NA,NA,NA,NA
1973,Yakult Atoms,1B,robert004dav,Dave Roberts,36,NA,NA,NA,NA,NA,NA,NA
1973,Yakult Atoms,1B,nakamu000kun,Kuniaki Nakamura,35,NA,NA,NA,NA,NA,NA,NA
1973,Yakult Atoms,1B,sugiur000tor,Toru Sugiura,19,NA,NA,NA,NA,NA,NA,NA
1973,Yakult Atoms,1B,pepito001jos,Joe Pepitone,13,NA,NA,NA,NA,NA,NA,NA
1973,Yakult Atoms,1B,lopez-002art,Art López,6,NA,NA,NA,NA,NA,NA,NA
1973,Yakult Atoms,1B,kido--000nor,Norifumi Kido,3,NA,NA,NA,NA,NA,NA,NA
1973,Yakult Atoms,1B,matsuo000hir,Hiromu Matsuoka,3,NA,NA,NA,NA,NA,NA,NA
1973,Yakult Atoms,1B,nakano001tak,Takayuki Nakano,1,NA,NA,NA,NA,NA,NA,NA
