Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1974,Nippon Ham Flyers,P,watana003hid,Hidetake Watanabe,42,NA,NA,NA,NA,NA,NA,NA
1974,Nippon Ham Flyers,P,niimi-000sat,Satoshi Niimi,41,NA,NA,NA,NA,NA,NA,NA
1974,Nippon Ham Flyers,P,nomura000osa,Osamu Nomura,39,NA,NA,NA,NA,NA,NA,NA
1974,Nippon Ham Flyers,P,miura-001mas,Masaki Miura,35,NA,NA,NA,NA,NA,NA,NA
1974,Nippon Ham Flyers,P,takaha000nao,Naoki Takahashi,35,NA,NA,NA,NA,NA,NA,NA
1974,Nippon Ham Flyers,P,fujiwa000mak,Makoto Fujiwara,31,NA,NA,NA,NA,NA,NA,NA
1974,Nippon Ham Flyers,P,minaga000yas,Yasuo Minagawa,31,NA,NA,NA,NA,NA,NA,NA
1974,Nippon Ham Flyers,P,nakaha000isa,Isamu Nakahara,20,NA,NA,NA,NA,NA,NA,NA
1974,Nippon Ham Flyers,P,kekich001mic,Mike Kekich,18,NA,NA,NA,NA,NA,NA,NA
1974,Nippon Ham Flyers,P,miyaza000sho,Shoji Miyazaki,17,NA,NA,NA,NA,NA,NA,NA
1974,Nippon Ham Flyers,P,eda---000koi,Koichi Eda,16,NA,NA,NA,NA,NA,NA,NA
1974,Nippon Ham Flyers,P,morina000chi,Chikara Morinaka,15,NA,NA,NA,NA,NA,NA,NA
1974,Nippon Ham Flyers,P,ley---001ter,Terry Ley,13,NA,NA,NA,NA,NA,NA,NA
1974,Nippon Ham Flyers,P,ukai--000kat,Katsuo Ukai,11,NA,NA,NA,NA,NA,NA,NA
1974,Nippon Ham Flyers,P,yamaza003tak,Takeaki Yamasaki,11,NA,NA,NA,NA,NA,NA,NA
1974,Nippon Ham Flyers,P,kosaka000tos,Toshihiko Kosaka,4,NA,NA,NA,NA,NA,NA,NA
1974,Nippon Ham Flyers,P,hosaka000eij,Eiji Hosaka,3,NA,NA,NA,NA,NA,NA,NA
1974,Nippon Ham Flyers,P,sugita000his,Hisao Sugita,3,NA,NA,NA,NA,NA,NA,NA
1974,Nippon Ham Flyers,P,uda---000tos,Toshoku Uda,2,NA,NA,NA,NA,NA,NA,NA
1974,Nippon Ham Flyers,P,takaha001hir,Hiroshi Takahashi,1,NA,NA,NA,NA,NA,NA,NA
