Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1974,Taiheiyo Club Lions,P,tanaka003aki,Akira Tanaka,50,NA,NA,NA,NA,NA,NA,NA
1974,Taiheiyo Club Lions,P,yanagi000yut,Yutaka Yanagida,41,NA,NA,NA,NA,NA,NA,NA
1974,Taiheiyo Club Lions,P,kato--000haj,Hajime Kato,34,NA,NA,NA,NA,NA,NA,NA
1974,Taiheiyo Club Lions,P,ishii-000shi,Shigeo Ishii,33,NA,NA,NA,NA,NA,NA,NA
1974,Taiheiyo Club Lions,P,kawaha001aki,Akira Kawahara,30,NA,NA,NA,NA,NA,NA,NA
1974,Taiheiyo Club Lions,P,higash000osa,Osamu Higashio,27,NA,NA,NA,NA,NA,NA,NA
1974,Taiheiyo Club Lions,P,miwa--000sat,Satoru Miwa,26,NA,NA,NA,NA,NA,NA,NA
1974,Taiheiyo Club Lions,P,miura-000kiy,Kiyohiro Miura,21,NA,NA,NA,NA,NA,NA,NA
1974,Taiheiyo Club Lions,P,hamaur001tor,Toru Hamaura,20,NA,NA,NA,NA,NA,NA,NA
1974,Taiheiyo Club Lions,P,nagai-000tam,Tamotsu Nagai,14,NA,NA,NA,NA,NA,NA,NA
1974,Taiheiyo Club Lions,P,maeda-000kos,Kosuke Maeda,4,NA,NA,NA,NA,NA,NA,NA
1974,Taiheiyo Club Lions,P,shibai000hir,Hiroaki Shibaike,4,NA,NA,NA,NA,NA,NA,NA
