Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1975,Hanshin Tigers,P,aniya-000soh,Sohachi Aniya,66,NA,NA,NA,NA,NA,NA,NA
1975,Hanshin Tigers,P,enatsu000yut,Yutaka Enatsu,49,NA,NA,NA,NA,NA,NA,NA
1975,Hanshin Tigers,P,yamamo004kaz,Kazuyuki Yamamoto,49,NA,NA,NA,NA,NA,NA,NA
1975,Hanshin Tigers,P,tanimu000tom,Tomohiro Tanimura,44,NA,NA,NA,NA,NA,NA,NA
1975,Hanshin Tigers,P,furusa000ken,Kenji Furusawa,36,NA,NA,NA,NA,NA,NA,NA
1975,Hanshin Tigers,P,ueda--000jir,Jiro Ueda,36,NA,NA,NA,NA,NA,NA,NA
1975,Hanshin Tigers,P,yoneda000tet,Tetsuya Yoneda,22,NA,NA,NA,NA,NA,NA,NA
1975,Hanshin Tigers,P,yamamo000shi,Shigemasa Yamamoto,20,NA,NA,NA,NA,NA,NA,NA
1975,Hanshin Tigers,P,muraka001mas,Masanori Murakami,18,NA,NA,NA,NA,NA,NA,NA
1975,Hanshin Tigers,P,saotom000yut,Yutaka Saotome,10,NA,NA,NA,NA,NA,NA,NA
1975,Hanshin Tigers,P,miyaza000sho,Shoji Miyazaki,3,NA,NA,NA,NA,NA,NA,NA
1975,Hanshin Tigers,P,watana004hir,Hirotoshi Watanabe,3,NA,NA,NA,NA,NA,NA,NA
