Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1975,Hiroshima Toyo Carp,OF,yamamo002koj,Koji Yamamoto,130,NA,NA,NA,NA,NA,NA,NA
1975,Hiroshima Toyo Carp,OF,schein001ric,Richie Scheinblum,115,NA,NA,NA,NA,NA,NA,NA
1975,Hiroshima Toyo Carp,OF,mizuta000jit,Jitsuo Mizutani,111,NA,NA,NA,NA,NA,NA,NA
1975,Hiroshima Toyo Carp,OF,fukaza000shu,Shuichi Fukazawa,92,NA,NA,NA,NA,NA,NA,NA
1975,Hiroshima Toyo Carp,OF,yamamo006kaz,Kazuyoshi Yamamoto,39,NA,NA,NA,NA,NA,NA,NA
1975,Hiroshima Toyo Carp,OF,sonoda000tos,Toshihiko Sonoda,10,NA,NA,NA,NA,NA,NA,NA
1975,Hiroshima Toyo Carp,OF,kubo--000tos,Toshimi Kubo,5,NA,NA,NA,NA,NA,NA,NA
1975,Hiroshima Toyo Carp,OF,miwa--000sat,Satoru Miwa,4,NA,NA,NA,NA,NA,NA,NA
1975,Hiroshima Toyo Carp,OF,saeki-000kaz,Kazushi Saeki,4,NA,NA,NA,NA,NA,NA,NA
1975,Hiroshima Toyo Carp,OF,sotoko000yos,Yoshiro Sotokoba,4,NA,NA,NA,NA,NA,NA,NA
1975,Hiroshima Toyo Carp,OF,kinosh000tom,Tomio Kinoshita,3,NA,NA,NA,NA,NA,NA,NA
1975,Hiroshima Toyo Carp,OF,kawaba002kaz,Kazuto Kawabata,2,NA,NA,NA,NA,NA,NA,NA
1975,Hiroshima Toyo Carp,OF,oka---000yos,Yoshiaki Oka,2,NA,NA,NA,NA,NA,NA,NA
1975,Hiroshima Toyo Carp,OF,ikegay000koj,Kojiro Ikegaya,1,NA,NA,NA,NA,NA,NA,NA
1975,Hiroshima Toyo Carp,OF,moriok000shi,Shigeki Morioka,1,NA,NA,NA,NA,NA,NA,NA
1975,Hiroshima Toyo Carp,OF,sano--000yos,Yoshiyuki Sano,1,NA,NA,NA,NA,NA,NA,NA
1975,Hiroshima Toyo Carp,OF,wako--000tom,Tomoo Wako,1,NA,NA,NA,NA,NA,NA,NA
