Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1975,Nippon Ham Fighters,2B,sakamo000tos,Toshizo Sakamoto,94,NA,NA,NA,NA,NA,NA,NA
1975,Nippon Ham Fighters,2B,suenag000yos,Yoshiyuki Suenaga,33,NA,NA,NA,NA,NA,NA,NA
1975,Nippon Ham Fighters,2B,saruwa000hir,Hiroshige Saruwatari,25,NA,NA,NA,NA,NA,NA,NA
1975,Nippon Ham Fighters,2B,nakaha000mas,Katsutoshi Nakahara,9,NA,NA,NA,NA,NA,NA,NA
1975,Nippon Ham Fighters,2B,yaezaw000ken,Kenichi Yaezawa,3,NA,NA,NA,NA,NA,NA,NA
1975,Nippon Ham Fighters,2B,nomura000osa,Osamu Nomura,2,NA,NA,NA,NA,NA,NA,NA
1975,Nippon Ham Fighters,2B,hidaka000aki,Masahiko Hidaka,1,NA,NA,NA,NA,NA,NA,NA
1975,Nippon Ham Fighters,2B,jestad001gar,Garry Jestadt,1,NA,NA,NA,NA,NA,NA,NA
1975,Nippon Ham Fighters,2B,niimi-000sat,Satoshi Niimi,1,NA,NA,NA,NA,NA,NA,NA
1975,Nippon Ham Fighters,2B,omuro-000kat,Katsumi Omuro,1,NA,NA,NA,NA,NA,NA,NA
1975,Nippon Ham Fighters,2B,sugano000mit,Mitsuo Sugano,1,NA,NA,NA,NA,NA,NA,NA
1975,Nippon Ham Fighters,2B,yokoya000har,Haruhisa Yokoyama,1,NA,NA,NA,NA,NA,NA,NA
