Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1975,Taiheiyo Club Lions,1B,doi---002mas,Masahiro Doi,78,NA,NA,NA,NA,NA,NA,NA
1975,Taiheiyo Club Lions,1B,takeno000mas,Masashi Takenouchi,29,NA,NA,NA,NA,NA,NA,NA
1975,Taiheiyo Club Lions,1B,fujii-000eij,Eiji Fujii,24,NA,NA,NA,NA,NA,NA,NA
1975,Taiheiyo Club Lions,1B,suzuki000har,Haruhiko Suzuki,11,NA,NA,NA,NA,NA,NA,NA
1975,Taiheiyo Club Lions,1B,etoh--000shi,Shinichi Eto,8,NA,NA,NA,NA,NA,NA,NA
1975,Taiheiyo Club Lions,1B,alou--001mat,Matty Alou,6,NA,NA,NA,NA,NA,NA,NA
1975,Taiheiyo Club Lions,1B,ihara-001har,Haruki Ihara,2,NA,NA,NA,NA,NA,NA,NA
1975,Taiheiyo Club Lions,1B,buford002don,Don Buford,1,NA,NA,NA,NA,NA,NA,NA
1975,Taiheiyo Club Lions,1B,hamaur001tor,Toru Hamaura,1,NA,NA,NA,NA,NA,NA,NA
1975,Taiheiyo Club Lions,1B,nishiz000mas,Masaji Nishizawa,1,NA,NA,NA,NA,NA,NA,NA
1975,Taiheiyo Club Lions,1B,yoshio000sat,Satoru Yoshioka,1,NA,NA,NA,NA,NA,NA,NA
