Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1975,Taiheiyo Club Lions,OF,haku--000jin,In-cheon Paek,101,NA,NA,NA,NA,NA,NA,NA
1975,Taiheiyo Club Lions,OF,alou--001mat,Matty Alou,72,NA,NA,NA,NA,NA,NA,NA
1975,Taiheiyo Club Lions,OF,yoshid000mak,Makoto Yoshida,68,NA,NA,NA,NA,NA,NA,NA
1975,Taiheiyo Club Lions,OF,fujii-000eij,Eiji Fujii,61,NA,NA,NA,NA,NA,NA,NA
1975,Taiheiyo Club Lions,OF,doi---002mas,Masahiro Doi,52,NA,NA,NA,NA,NA,NA,NA
1975,Taiheiyo Club Lions,OF,buford002don,Don Buford,45,NA,NA,NA,NA,NA,NA,NA
1975,Taiheiyo Club Lions,OF,takeno000mas,Masashi Takenouchi,42,NA,NA,NA,NA,NA,NA,NA
1975,Taiheiyo Club Lions,OF,ota---001tak,Takuji Ota,35,NA,NA,NA,NA,NA,NA,NA
1975,Taiheiyo Club Lions,OF,takaha001fum,Fumio Takahashi,24,NA,NA,NA,NA,NA,NA,NA
1975,Taiheiyo Club Lions,OF,mayumi001aki,Akinobu Mayumi,22,NA,NA,NA,NA,NA,NA,NA
1975,Taiheiyo Club Lions,OF,etoh--000shi,Shinichi Eto,15,NA,NA,NA,NA,NA,NA,NA
1975,Taiheiyo Club Lions,OF,tanaka003aki,Akira Tanaka,2,NA,NA,NA,NA,NA,NA,NA
1975,Taiheiyo Club Lions,OF,kataok000shi,Shinnosuke Kataoka,1,NA,NA,NA,NA,NA,NA,NA
1975,Taiheiyo Club Lions,OF,kato--000haj,Hajime Kato,1,NA,NA,NA,NA,NA,NA,NA
1975,Taiheiyo Club Lions,OF,kihara000yos,Yoshitaka Kihara,1,NA,NA,NA,NA,NA,NA,NA
1975,Taiheiyo Club Lions,OF,yasuki000sho,Shoji Yasuki,1,NA,NA,NA,NA,NA,NA,NA
