Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1977,Crown Lighter Lions,OF,rosari001ang,Jimmy Rosario,105,NA,NA,NA,NA,NA,NA,NA
1977,Crown Lighter Lions,OF,takeno000mas,Masashi Takenouchi,103,NA,NA,NA,NA,NA,NA,NA
1977,Crown Lighter Lions,OF,mayumi001aki,Akinobu Mayumi,98,NA,NA,NA,NA,NA,NA,NA
1977,Crown Lighter Lions,OF,doi---002mas,Masahiro Doi,80,NA,NA,NA,NA,NA,NA,NA
1977,Crown Lighter Lions,OF,hasega000kaz,Kazuo Hasegawa,54,NA,NA,NA,NA,NA,NA,NA
1977,Crown Lighter Lions,OF,kawamu000hir,Hiroaki Kawamura,49,NA,NA,NA,NA,NA,NA,NA
1977,Crown Lighter Lions,OF,tokuya000fum,Fumimune Tokuyama,19,NA,NA,NA,NA,NA,NA,NA
1977,Crown Lighter Lions,OF,ota---001tak,Takuji Ota,17,NA,NA,NA,NA,NA,NA,NA
1977,Crown Lighter Lions,OF,suzuki000har,Haruhiko Suzuki,10,NA,NA,NA,NA,NA,NA,NA
1977,Crown Lighter Lions,OF,kusuki000tor,Toru Kusuki,4,NA,NA,NA,NA,NA,NA,NA
1977,Crown Lighter Lions,OF,shimad000kei,Keiichi Shimazu,4,NA,NA,NA,NA,NA,NA,NA
1977,Crown Lighter Lions,OF,suzuki000ter,Teruo Suzuki,1,NA,NA,NA,NA,NA,NA,NA
