Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1979,Hanshin Tigers,OF,reinba001mic,Mike Reinbach,128,NA,NA,NA,NA,NA,NA,NA
1979,Hanshin Tigers,OF,stanto001ler,Leroy Stanton,121,NA,NA,NA,NA,NA,NA,NA
1979,Hanshin Tigers,OF,takeno000mas,Masashi Takenouchi,110,NA,NA,NA,NA,NA,NA,NA
1979,Hanshin Tigers,OF,kato--000hir,Hirokazu Kato,56,NA,NA,NA,NA,NA,NA,NA
1979,Hanshin Tigers,OF,kawato000koz,Kozo Kawato,48,NA,NA,NA,NA,NA,NA,NA
1979,Hanshin Tigers,OF,shiman000iku,Ikuo Shimano,22,NA,NA,NA,NA,NA,NA,NA
1979,Hanshin Tigers,OF,sano--000nor,Noriyoshi Sano,8,NA,NA,NA,NA,NA,NA,NA
1979,Hanshin Tigers,OF,uemats000sei,Seiichi Uematsu,7,NA,NA,NA,NA,NA,NA,NA
1979,Hanshin Tigers,OF,ikeuch000yut,Yutaka Ikeuchi,2,NA,NA,NA,NA,NA,NA,NA
1979,Hanshin Tigers,OF,kuwano000hak,Hakaru Kuwano,1,NA,NA,NA,NA,NA,NA,NA
1979,Hanshin Tigers,OF,yamamo004kaz,Kazuyuki Yamamoto,1,NA,NA,NA,NA,NA,NA,NA
