Year,Team,position,PlayerID,Name,G,Inn,PO,A,E,DP,Fld%,RF/G
1979,Lotte Orions,OF,haku--000jin,In-cheon Paek,101,NA,NA,NA,NA,NA,NA,NA
1979,Lotte Orions,OF,hirota000sum,Sumio Hirota,96,NA,NA,NA,NA,NA,NA,NA
1979,Lotte Orions,OF,tokuts000tak,Takahiro Tokutsu,76,NA,NA,NA,NA,NA,NA,NA
1979,Lotte Orions,OF,yoshio000tos,Toshiaki Yoshioka,74,NA,NA,NA,NA,NA,NA,NA
1979,Lotte Orions,OF,ejima-000tak,Takumi Ejima,70,NA,NA,NA,NA,NA,NA,NA
1979,Lotte Orions,OF,yano--000tos,Toshikazu Yano,48,NA,NA,NA,NA,NA,NA,NA
1979,Lotte Orions,OF,iwasak000tad,Tadayoshi Iwasaki,40,NA,NA,NA,NA,NA,NA,NA
1979,Lotte Orions,OF,shinya000yos,Yoshitaka Shinya,32,NA,NA,NA,NA,NA,NA,NA
1979,Lotte Orions,OF,kenmot000tak,Takahiro Kenmotsu,30,NA,NA,NA,NA,NA,NA,NA
1979,Lotte Orions,OF,lee---001ler,Leron Lee,16,NA,NA,NA,NA,NA,NA,NA
1979,Lotte Orions,OF,moriya000mas,Masayoshi Moriyama,9,NA,NA,NA,NA,NA,NA,NA
1979,Lotte Orions,OF,lee---001leo,Leon Lee,3,NA,NA,NA,NA,NA,NA,NA
